rank,term,raw_construct,score,kind,original_chart,display_label
1,Edad,Edad,100.0,single_numeric_model_column,True,Age
2,remanentes,remanentes,77.9155633166657,single_numeric_model_column,True,Remaining teeth
3,die11,die11,53.981911139722,single_numeric_model_column,True,Water intake
4,frecsembebida,frecsembebida,45.5470783335195,single_numeric_model_column,True,Sugared soda frequency
5,frecsemjugo,frecsemjugo,38.223475969295,single_numeric_model_column,True,Sugared juice frequency
6,die7,die7,36.7813106715315,single_numeric_model_column,True,Fruit portions
7,die9,die9,31.136903470074,single_numeric_model_column,True,Vegetable portions
8,sexomujer,sexo,14.0015633355089,category_indicator,True,Sex: women
9,die5al_menos_una_vez_por_semana,die5,11.9097129028126,category_indicator,True,Legumes: at least once/week
10,die2una_vez_al_dia,die2,11.8800673080662,category_indicator,True,Dairy: once/day
11,nedu8-12,nedu,11.4860247587383,category_indicator,True,Education: 8–12 years
12,die3enteros,die3,11.0555535610236,category_indicator,False,die3enteros
13,die67,die6,10.9188967591449,category_indicator,False,die67
14,die1a1_vez_a_la_semana,die1a,10.8094658979621,category_indicator,False,die1a1_vez_a_la_semana
15,die4nunca,die4,10.5745912342965,category_indicator,False,die4nunca
16,die87,die8,10.4574238425542,category_indicator,False,die87
17,die1amenos_de_1_vez_al_mes_o_nunca,die1a,10.4063947860472,category_indicator,False,die1amenos_de_1_vez_al_mes_o_nunca
18,die1amenos_de_3_veces_al_mes,die1a,10.2507931873929,category_indicator,False,die1amenos_de_3_veces_al_mes
19,regionxiii._metropolitana,region,10.2451835550679,category_indicator,False,regionxiii._metropolitana
20,zonarural,zona,10.0608980265823,category_indicator,False,zonarural
21,regionv._valparaiso,region,9.85966336057029,category_indicator,False,regionv._valparaiso
22,die10_fnunca,die10_f,9.68465744645323,category_indicator,False,die10_fnunca
23,die2al_menos_una_vez_por_semana,die2,9.48793858568626,category_indicator,False,die2al_menos_una_vez_por_semana
24,regionviii._biobio,region,9.40373131366958,category_indicator,False,regionviii._biobio
25,die63,die6,9.3753866762154,category_indicator,False,die63
26,die62,die6,9.02562800014468,category_indicator,False,die62
27,die2dia_por_medio,die2,8.89001204565565,category_indicator,False,die2dia_por_medio
28,regionvi._l._bdo._ohiggins,region,8.828595351963,category_indicator,False,regionvi._l._bdo._ohiggins
29,die10_cnunca,die10_c,8.71399296066345,category_indicator,False,die10_cnunca
30,die5menos_de_una_vez_al_mes_o_nunca,die5,8.64102790671181,category_indicator,False,die5menos_de_una_vez_al_mes_o_nunca
31,die10_enunca,die10_e,8.50243764051013,category_indicator,False,die10_enunca
32,regionxi._aysen,region,8.44148164632523,category_indicator,False,regionxi._aysen
33,regioniv._coquimbo,region,8.34364306471627,category_indicator,False,regioniv._coquimbo
