bin,n,predicted,observed,model
"(0.0989, 0.43]",504,0.3773677487995931,0.39951200869790426,spline_logistic__context_diet_labels
"(0.43, 0.473]",504,0.4516233337868237,0.45664825299601597,spline_logistic__context_diet_labels
"(0.473, 0.51]",503,0.49153554963681584,0.44699595237636885,spline_logistic__context_diet_labels
"(0.51, 0.534]",504,0.5224408915456501,0.48374278821290945,spline_logistic__context_diet_labels
"(0.534, 0.558]",503,0.54647587090633,0.5589147043178844,spline_logistic__context_diet_labels
"(0.558, 0.581]",504,0.5694724388319811,0.5414405587052347,spline_logistic__context_diet_labels
"(0.581, 0.605]",503,0.5927826753941552,0.602308187492414,spline_logistic__context_diet_labels
"(0.605, 0.631]",504,0.6177600297694594,0.629263908630719,spline_logistic__context_diet_labels
"(0.631, 0.666]",503,0.6469136926437398,0.6948024658158686,spline_logistic__context_diet_labels
"(0.666, 0.915]",504,0.7147396846991471,0.7245997247633842,spline_logistic__context_diet_labels
"(0.113, 0.406]",504,0.3492989793987099,0.387977607237061,spline_logistic__symptoms_diet_labels
"(0.406, 0.456]",504,0.43244167101003483,0.4403197872735984,spline_logistic__symptoms_diet_labels
"(0.456, 0.494]",503,0.4766092303150665,0.45577092306416356,spline_logistic__symptoms_diet_labels
"(0.494, 0.525]",504,0.5092260124245243,0.4691695271999907,spline_logistic__symptoms_diet_labels
"(0.525, 0.553]",503,0.5401321421600846,0.5476881530867792,spline_logistic__symptoms_diet_labels
"(0.553, 0.582]",504,0.5687230924190029,0.543201991498534,spline_logistic__symptoms_diet_labels
"(0.582, 0.611]",503,0.5963863778131151,0.6061857285042284,spline_logistic__symptoms_diet_labels
"(0.611, 0.643]",504,0.626419425178036,0.6064986777612048,spline_logistic__symptoms_diet_labels
"(0.643, 0.692]",503,0.6643901302034948,0.6950999101422055,spline_logistic__symptoms_diet_labels
"(0.692, 0.937]",504,0.7524751636523496,0.7567495763672037,spline_logistic__symptoms_diet_labels
"(0.264, 0.429]",504,0.39907031769934803,0.41418413738140686,random_forest__context_diet_labels
"(0.429, 0.472]",504,0.4525841682301697,0.45442214062433356,random_forest__context_diet_labels
"(0.472, 0.502]",503,0.48715716708487145,0.45704629962077176,random_forest__context_diet_labels
"(0.502, 0.528]",504,0.5150415848865703,0.5326298505576269,random_forest__context_diet_labels
"(0.528, 0.551]",503,0.5387427567240837,0.5245563533378083,random_forest__context_diet_labels
"(0.551, 0.573]",504,0.5619866111221028,0.6011711897435131,random_forest__context_diet_labels
"(0.573, 0.599]",503,0.5848229784631306,0.4930446665977913,random_forest__context_diet_labels
"(0.599, 0.627]",504,0.6122647923089163,0.5826970496609901,random_forest__context_diet_labels
"(0.627, 0.671]",503,0.648013603985421,0.7128394400486371,random_forest__context_diet_labels
"(0.671, 0.833]",504,0.7210886723192086,0.7635545523606128,random_forest__context_diet_labels
"(0.241, 0.427]",504,0.383411598738851,0.3865210476455152,random_forest__symptoms_diet_labels
"(0.427, 0.468]",504,0.45064766553399477,0.4236196977797483,random_forest__symptoms_diet_labels
"(0.468, 0.498]",503,0.4827566936884941,0.4850285932203733,random_forest__symptoms_diet_labels
"(0.498, 0.526]",504,0.5111219902887307,0.4757289335122054,random_forest__symptoms_diet_labels
"(0.526, 0.551]",503,0.5385847065587553,0.49278839994173324,random_forest__symptoms_diet_labels
"(0.551, 0.577]",504,0.5625296103517924,0.5831462402214902,random_forest__symptoms_diet_labels
"(0.577, 0.602]",503,0.589645840333682,0.6186308157102165,random_forest__symptoms_diet_labels
"(0.602, 0.632]",504,0.6165058145009128,0.6147846964317297,random_forest__symptoms_diet_labels
"(0.632, 0.674]",503,0.6523227028297346,0.6775779970657392,random_forest__symptoms_diet_labels
"(0.674, 0.879]",504,0.7204947436699004,0.7735505990345408,random_forest__symptoms_diet_labels
