feature,models,models_with_positive_mean,models_positive_in_at_least_four_folds,models_in_top10,median_overall_rank,best_overall_rank,worst_overall_rank,classical_models,classical_models_with_positive_mean,classical_models_positive_in_at_least_four_folds,classical_models_in_top10,classical_median_overall_rank,classical_best_overall_rank,classical_worst_overall_rank
oral_health_selfrating,4,4,4,4,1.0,1.0,2.0,3,3,3,3,1.0,1.0,2.0
age,4,3,3,3,3.0,1.0,42.0,3,3,3,3,2.0,1.0,4.0
dental_visit_reason,4,4,4,4,3.0,3.0,4.0,3,3,3,3,3.0,3.0,4.0
teeth_remaining,4,4,3,3,3.5,2.0,21.0,3,3,3,3,3.0,2.0,4.0
region,4,4,3,2,8.5,5.0,24.0,3,3,2,2,5.0,5.0,12.0
sex,4,4,4,4,5.5,5.0,7.0,3,3,3,3,6.0,5.0,7.0
dental_visit,4,4,4,4,8.0,6.0,9.0,3,3,3,3,8.0,6.0,8.0
health_insurance,4,2,3,2,19.5,7.0,33.0,3,2,2,2,10.0,7.0,33.0
oral_eating,4,3,3,1,14.5,9.0,36.0,3,3,2,1,11.0,9.0,18.0
smoking_status,4,2,2,1,20.5,10.0,33.0,3,2,2,1,11.0,10.0,30.0
education,4,4,3,1,12.0,9.0,26.0,3,3,3,1,12.0,9.0,12.0
income_band,4,3,3,1,14.0,9.0,32.0,3,3,3,1,13.0,9.0,15.0
dairy_type,4,3,0,0,18.5,13.0,38.0,3,2,0,0,14.0,13.0,38.0
oral_pain,4,3,2,0,12.5,11.0,40.0,3,2,1,0,14.0,11.0,40.0
diabetes_reported,4,4,1,0,15.0,14.0,24.0,3,3,1,0,15.0,15.0,24.0
juice_glasses_daily,4,3,2,1,18.5,7.0,39.0,3,3,2,1,16.0,7.0,21.0
vegetable_days,4,3,3,0,17.0,16.0,27.0,3,2,2,0,17.0,17.0,27.0
legumes,4,2,1,0,26.0,18.0,41.0,3,2,1,0,19.0,18.0,33.0
soda_frequency,4,2,0,0,23.0,13.0,32.0,3,2,0,0,19.0,13.0,32.0
rural_water_consumption,4,1,1,0,23.0,18.0,28.0,3,1,1,0,20.0,18.0,26.0
oil,4,2,0,0,20.5,20.0,29.0,3,1,0,0,21.0,20.0,29.0
soda_glasses_daily,4,3,0,1,19.0,4.0,32.0,3,2,0,0,22.0,16.0,32.0
oral_social,4,3,2,0,24.0,14.0,28.0,3,2,1,0,23.0,14.0,28.0
wholegrain,4,3,0,0,19.5,15.0,29.0,3,2,0,0,23.0,16.0,29.0
juice_frequency,4,2,3,1,26.0,8.0,44.0,3,2,3,1,24.0,8.0,28.0
dairy_frequency,4,2,0,0,31.5,20.0,39.0,3,2,0,0,25.0,20.0,39.0
indigenous,4,0,0,0,26.0,20.0,37.0,3,0,0,0,25.0,20.0,27.0
oral_daily_activities,4,1,1,0,28.5,22.0,34.0,3,1,1,0,26.0,22.0,31.0
rural,4,1,0,0,28.5,19.0,33.0,3,1,0,0,27.0,19.0,33.0
dental_access,4,2,2,1,25.0,6.0,36.0,3,1,1,1,28.0,6.0,36.0
label_health,4,2,0,0,23.0,12.0,43.0,3,1,0,0,29.0,17.0,43.0
fruit_portions,4,1,0,0,34.5,20.0,43.0,3,1,0,0,31.0,20.0,38.0
label_brand,4,1,0,0,30.5,19.0,35.0,3,0,0,0,31.0,30.0,35.0
born_chile,4,1,1,0,26.0,18.0,38.0,3,0,0,0,32.0,20.0,38.0
label_nutrition,4,1,1,1,34.5,6.0,43.0,3,0,0,0,35.0,34.0,43.0
water,4,2,0,1,30.5,7.0,43.0,3,1,0,0,35.0,26.0,43.0
household_water_source,4,0,0,0,33.5,20.0,40.0,3,0,0,0,36.0,20.0,40.0
label_discounts,4,1,0,1,33.5,8.0,39.0,3,0,0,0,37.0,30.0,39.0
oral_speech,4,0,0,0,36.0,34.0,39.0,3,0,0,0,37.0,34.0,39.0
vegetable_portions,4,0,0,0,38.5,34.0,41.0,3,0,0,0,37.0,34.0,41.0
label_ingredients,4,1,0,1,30.0,10.0,42.0,3,0,0,0,40.0,20.0,42.0
label_warnings,4,2,0,2,25.5,2.0,41.0,3,1,0,1,41.0,10.0,41.0
fruit_days,4,1,0,0,39.0,13.0,44.0,3,0,0,0,42.0,36.0,44.0
fish,4,1,0,0,43.0,17.0,44.0,3,0,0,0,44.0,42.0,44.0
