domain,variable,description,kind,domain_n,observed_n,missing_n,df,units,row_type,level,n,estimate,weighted_sd,ci_low,ci_high,se
No caries,age,Age at survey,numeric,2347,2347,0,1045,years,mean,Mean,2347,39.71736604746539,17.83705700733436,38.5106888130897,40.92404328184108,0.6149498896341257
No caries,age,Age at survey,numeric,2347,2347,0,1045,years,missing,Missing,0,,,,,
Caries,age,Age at survey,numeric,2689,2689,0,1045,years,mean,Mean,2689,43.37901098681461,16.635646287461004,42.439671817806435,44.31835015582279,0.4787083918173483
Caries,age,Age at survey,numeric,2689,2689,0,1045,years,missing,Missing,0,,,,,
Total,age,Age at survey,numeric,5036,5036,0,1045,years,mean,Mean,5036,41.71802598876856,17.28741581316962,40.92191203642986,42.51413994110726,0.40571759637129784
Total,age,Age at survey,numeric,5036,5036,0,1045,years,missing,Missing,0,,,,,
No caries,sex,Recorded sex,categorical,2347,2347,0,1045,percent,category,Female,1546,53.97211297273897,,50.11510401175927,57.78212835648709,1.957461027066782
No caries,sex,Recorded sex,categorical,2347,2347,0,1045,percent,category,Male,801,46.02788702726102,,42.21787164351291,49.884895988240714,1.9574610270667825
No caries,sex,Recorded sex,categorical,2347,2347,0,1045,percent,missing,Missing,0,,,,,
Caries,sex,Recorded sex,categorical,2689,2689,0,1045,percent,category,Female,1579,46.26771830134571,,43.0352988471886,49.53181753209305,1.6577076284710686
Caries,sex,Recorded sex,categorical,2689,2689,0,1045,percent,category,Male,1110,53.73228169865429,,50.46818246790695,56.9647011528114,1.6577076284710686
Caries,sex,Recorded sex,categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,sex,Recorded sex,categorical,5036,5036,0,1045,percent,category,Female,3125,49.76256397321594,,47.39268586736014,52.133509397389,1.2089214336098855
Total,sex,Recorded sex,categorical,5036,5036,0,1045,percent,category,Male,1911,50.23743602678405,,47.86649060261101,52.607314132639836,1.2089214336098855
Total,sex,Recorded sex,categorical,5036,5036,0,1045,percent,missing,Missing,0,,,,,
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,01 Arica and Parinacota,154,1.4014959665222724,,1.1302225259602483,1.7367361183685655,0.15343151726586465
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,02 Tarapaca,150,2.170620072329271,,1.6574490686608268,2.8380911764324788,0.297563167994583
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,03 Antofagasta,133,4.067257926741178,,3.121451767827631,5.28401435158879,0.5457961106779717
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,04 Atacama,140,1.9573046191822663,,1.3138532461378631,2.9066008528640066,0.3962172989779114
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,05 Coquimbo,83,3.7371086658066397,,2.574850557851044,5.394945261333092,0.7049603225737131
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,06 Valparaiso,293,12.625828993114466,,10.631541679727981,14.931705480862496,1.093410668256023
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,07 Metropolitan,374,42.329887840330144,,37.8680404179582,46.920445764449354,2.3128267784517402
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,08 O'Higgins,70,2.8156680537343486,,1.9851556778663977,3.9795276083424738,0.49925620904497664
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,09 Maule,117,5.96178008860841,,3.881269571494208,9.052491576735813,1.288818848467051
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,10 Biobio,231,10.127438811216285,,8.212632002224128,12.428240488645278,1.0698970682789002
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,11 La Araucania,102,5.332656429580501,,4.019042229433502,7.04411181839608,0.7630340642749495
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,12 Los Rios,112,1.836824259532701,,1.399100129579265,2.408150598346429,0.25421912095935223
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,13 Los Lagos,97,3.829711473465762,,2.739575704772376,5.329864012346664,0.64991348710997
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,14 Aysen,162,0.7309367650361456,,0.5867361053485507,0.9102527628537659,0.0817963781326227
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,category,15 Magallanes and Antarctica,129,1.0754800347996096,,0.8380266783357595,1.3792795247115555,0.13656242497201176
No caries,region,Survey region (2016 boundaries),categorical,2347,2347,0,1045,percent,missing,Missing,0,,,,,
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,01 Arica and Parinacota,133,1.255682307652415,,0.9834047006720119,1.602126288952168,0.15618215662547041
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,02 Tarapaca,121,1.6022801967496596,,1.149247812552467,2.229869004240257,0.27070150334148335
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,03 Antofagasta,126,2.968341738361342,,2.262758481804061,3.885197018342464,0.40903185220982674
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,04 Atacama,123,1.5140600328524487,,1.0781541697099206,2.122424594147173,0.2613814003198814
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,05 Coquimbo,181,4.797169631878957,,3.773652522324417,6.080749896266116,0.5834407001845876
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,06 Valparaiso,239,8.520777866601982,,6.879213858915177,10.509852213285754,0.9207522537318273
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,07 Metropolitan,397,39.823597352655895,,35.50963698866683,44.301624412480386,2.2458246295897744
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,08 O'Higgins,184,6.568447145956176,,4.7872946723320595,8.949998965552213,1.0483445783022922
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,09 Maule,190,5.7006845473294625,,4.479467592757603,7.229637594522425,0.6957148572069839
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,10 Biobio,317,13.144942641843299,,10.238490164517238,16.72275249065673,1.6454302339407436
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,11 La Araucania,139,5.228714296874838,,3.98969254745811,6.825167746427245,0.7157839166511413
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,12 Los Rios,142,2.5341640855987873,,1.8358320882715946,3.488693900223931,0.4147612892113165
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,13 Los Lagos,167,5.11312781233144,,3.9839540820907433,6.540542675326468,0.6462361406279613
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,14 Aysen,113,0.45122136658700496,,0.30652522601381854,0.6637669737712082,0.0888442964313643
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,category,15 Magallanes and Antarctica,117,0.7767889767262914,,0.6017841434436528,1.0021738358984535,0.10096069119821943
Caries,region,Survey region (2016 boundaries),categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,01 Arica and Parinacota,287,1.321825886263858,,1.1014681644878341,1.585561204457073,0.12270921791730065
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,02 Tarapaca,271,1.860088920087229,,1.4982266685710401,2.3073034454016152,0.20468929630962315
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,03 Antofagasta,259,3.466828984733531,,2.871165162401529,4.180752440250269,0.33202102103995046
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,04 Atacama,263,1.7151233856770958,,1.2246392935598776,2.3972850452877137,0.29364590540059804
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,05 Coquimbo,264,4.316307781310436,,3.3859742797702737,5.487741249338608,0.5313100341037766
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,06 Valparaiso,532,10.382899522384673,,8.955809933063472,12.007401615198383,0.7760532271582922
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,07 Metropolitan,771,40.96049373931438,,37.51140140326647,44.500875770036636,1.7838006159774085
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,08 O'Higgins,254,4.866122131813986,,3.7559465110372523,6.283019455167549,0.6383059808629994
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,09 Maule,307,5.819121966659945,,4.626946870826904,7.2949764071604335,0.6754308541348388
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,10 Biobio,548,11.7761511076459,,9.931844452182425,13.910046217152205,1.0113832528305078
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,11 La Araucania,241,5.275864232477197,,4.371671953875155,6.354643116700073,0.5029952425114108
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,12 Los Rios,254,2.2178387703863107,,1.775668051961358,2.7670155343275016,0.2507332844922097
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,13 Los Lagos,264,4.5309481306821455,,3.6151637625974584,5.665081711149451,0.5187971384885464
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,14 Aysen,275,0.5781050727469663,,0.4614082238930453,0.7241015471046216,0.06638723691877021
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,category,15 Magallanes and Antarctica,246,0.9122803678163457,,0.7718135509358057,1.0780338178422912,0.07767983840826746
Total,region,Survey region (2016 boundaries),categorical,5036,5036,0,1045,percent,missing,Missing,0,,,,,
No caries,rural,Urban/rural residence,categorical,2347,2347,0,1045,percent,category,Rural,329,9.878864046453927,,7.93842674435304,12.230600503163034,1.088847253156061
No caries,rural,Urban/rural residence,categorical,2347,2347,0,1045,percent,category,Urban,2018,90.12113595354607,,87.76939949683697,92.06157325564696,1.088847253156061
No caries,rural,Urban/rural residence,categorical,2347,2347,0,1045,percent,missing,Missing,0,,,,,
Caries,rural,Urban/rural residence,categorical,2689,2689,0,1045,percent,category,Rural,431,11.2616289299991,,9.498005666666101,13.304586182232644,0.967636909646434
Caries,rural,Urban/rural residence,categorical,2689,2689,0,1045,percent,category,Urban,2258,88.7383710700009,,86.69541381776736,90.50199433333391,0.9676369096464341
Caries,rural,Urban/rural residence,categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,rural,Urban/rural residence,categorical,5036,5036,0,1045,percent,category,Rural,760,10.63438304312684,,9.307294479641413,12.125396864931224,0.7169609576308614
Total,rural,Urban/rural residence,categorical,5036,5036,0,1045,percent,category,Urban,4276,89.36561695687317,,87.8746031350688,90.6927055203586,0.7169609576308614
Total,rural,Urban/rural residence,categorical,5036,5036,0,1045,percent,missing,Missing,0,,,,,
No caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,2347,2331,16,1045,percent,category,High,654,32.936336996552946,,28.62226839687191,37.558491021086596,2.2821282220535672
No caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,2347,2331,16,1045,percent,category,Intermediate,1275,54.890111532476496,,50.533480519573246,59.17304133359503,2.2069052443541834
No caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,2347,2331,16,1045,percent,category,Low,402,12.173551470970562,,9.882122631302185,14.908409291850697,1.276594043621553
No caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,2347,2331,16,1045,percent,missing,Missing,16,,,,,
Caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,2689,2667,22,1045,percent,category,High,525,25.51180350033016,,22.102203181967546,29.2498849349809,1.822825666428718
Caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,2689,2667,22,1045,percent,category,Intermediate,1536,59.192658782548676,,55.439918343858594,62.841184066938816,1.8892515357971738
Caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,2689,2667,22,1045,percent,category,Low,606,15.295537717121164,,13.093611626518758,17.791948760648683,1.1957433225469858
Caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,2689,2667,22,1045,percent,missing,Missing,22,,,,,
Total,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,5036,4998,38,1045,percent,category,High,1179,28.881490720416036,,25.869128277853214,32.09277232443498,1.5872689158363231
Total,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,5036,4998,38,1045,percent,category,Intermediate,2811,57.23991138235716,,54.169119903048845,60.25591208433669,1.552859994628331
Total,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,5036,4998,38,1045,percent,category,Low,1008,13.878597897226802,,12.127215446879328,15.837324998720362,0.9443117355610766
Total,education,"Low <8, intermediate 8–12, high >=13 years of schooling",categorical,5036,4998,38,1045,percent,missing,Missing,38,,,,,
No caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,categorical,2347,2347,0,1045,percent,category,No,2070,91.61634702782476,,89.73090261568164,93.18192044643729,0.875434317736722
No caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,categorical,2347,2347,0,1045,percent,category,Yes,277,8.383652972175234,,6.818079553562708,10.269097384318346,0.875434317736722
No caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,categorical,2347,2347,0,1045,percent,missing,Missing,0,,,,,
Caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,categorical,2689,2689,0,1045,percent,category,No,2362,91.15883952014354,,89.3534126592247,92.68317610176017,0.8453867245865728
Caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,categorical,2689,2689,0,1045,percent,category,Yes,327,8.841160479856462,,7.316823898239844,10.646587340775286,0.8453867245865729
Caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,indigenous,Self-reported membership/ancestry of a recognized indigenous people,categorical,5036,5036,0,1045,percent,category,No,4432,91.36637277892177,,90.06435166151363,92.51195585259298,0.6223694533255747
Total,indigenous,Self-reported membership/ancestry of a recognized indigenous people,categorical,5036,5036,0,1045,percent,category,Yes,604,8.633627221078232,,7.488044147407015,9.935648338486374,0.6223694533255746
Total,indigenous,Self-reported membership/ancestry of a recognized indigenous people,categorical,5036,5036,0,1045,percent,missing,Missing,0,,,,,
No caries,born_chile,Born in Chile,categorical,2347,2347,0,1045,percent,category,No,73,3.531807400305736,,2.162856857025572,5.716589529713591,0.8759226120922642
No caries,born_chile,Born in Chile,categorical,2347,2347,0,1045,percent,category,Yes,2274,96.46819259969426,,94.2834104702864,97.83714314297443,0.8759226120922642
No caries,born_chile,Born in Chile,categorical,2347,2347,0,1045,percent,missing,Missing,0,,,,,
Caries,born_chile,Born in Chile,categorical,2689,2689,0,1045,percent,category,No,58,3.737215302944083,,1.737160722207988,7.855904814538473,1.4422424870751098
Caries,born_chile,Born in Chile,categorical,2689,2689,0,1045,percent,category,Yes,2631,96.26278469705592,,92.14409518546152,98.26283927779201,1.4422424870751098
Caries,born_chile,Born in Chile,categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,born_chile,Born in Chile,categorical,5036,5036,0,1045,percent,category,No,131,3.6440387524009172,,2.1361687655212878,6.149396812753917,0.9834720240299413
Total,born_chile,Born in Chile,categorical,5036,5036,0,1045,percent,category,Yes,4905,96.35596124759908,,93.8506031872461,97.86383123447871,0.9834720240299413
Total,born_chile,Born in Chile,categorical,5036,5036,0,1045,percent,missing,Missing,0,,,,,
No caries,teeth_remaining,"Total remaining teeth, upper plus lower jaw",numeric,2347,2347,0,1045,teeth,mean,Mean,2347,24.445726342131742,7.035110384615011,24.012943054894716,24.878509629368768,0.2205561082451344
No caries,teeth_remaining,"Total remaining teeth, upper plus lower jaw",numeric,2347,2347,0,1045,teeth,missing,Missing,0,,,,,
Caries,teeth_remaining,"Total remaining teeth, upper plus lower jaw",numeric,2689,2689,0,1045,teeth,mean,Mean,2689,23.082961840006938,7.0117264385274165,22.667417598151708,23.498506081862168,0.2117707025434862
Caries,teeth_remaining,"Total remaining teeth, upper plus lower jaw",numeric,2689,2689,0,1045,teeth,missing,Missing,0,,,,,
Total,teeth_remaining,"Total remaining teeth, upper plus lower jaw",numeric,5036,5036,0,1045,teeth,mean,Mean,5036,23.701135210552607,7.055040319091191,23.38871866954513,24.013551751560083,0.15921450404409293
Total,teeth_remaining,"Total remaining teeth, upper plus lower jaw",numeric,5036,5036,0,1045,teeth,missing,Missing,0,,,,,
No caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2347,1956,391,1045,percent,category,"01 <78,000 CLP/month",41,0.9944988564206738,,0.6158908121253702,1.6020976651097314,0.24235212368841144
No caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2347,1956,391,1045,percent,category,"02 78,000–134,999 CLP/month",134,3.391195374266043,,2.5062836646821673,4.573891124857654,0.5200863460559402
No caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2347,1956,391,1045,percent,category,"03 135,000–217,999 CLP/month",258,8.211635210267353,,6.660966320857245,10.084297195798845,0.8682641431305982
No caries,income_band,"Monthly net income of the entire household, in questionnaire bands",categorical,2347,1956,391,1045,percent,category,"04 218,000–295,999 CLP/month",236,11.66635210897582,,9.427960558693268,14.351972228581673,1.2502139865500301
