model,block,brier_increase,auc_drop,minimum_fold_brier_increase,maximum_fold_brier_increase,minimum_fold_auc_drop,maximum_fold_auc_drop,median_rank,best_rank,worst_rank,fraction_top3,fraction_top10,fraction_positive_folds,folds,repeats_per_fold,overall_rank
hist_gradient_boosting__context_diet_labels,context,0.023675104677047944,0.11949250649366466,0.01529023882853332,0.028648716318902555,0.07285495999576796,0.14134751285941025,1.0,1.0,1.0,1.0,1.0,1.0,5,5,1.0
hist_gradient_boosting__context_diet_labels,diet,-0.0009817393304810934,-0.0024071173773289383,-0.002090136145760707,0.0005845850066844238,-0.010529029245654154,0.007015005330208069,3.0,2.0,3.0,1.0,1.0,0.4,5,5,3.0
hist_gradient_boosting__context_diet_labels,labels,-0.00014693055771310847,-0.00017191013903996013,-0.0009513053177188369,0.0006057954545777399,-0.004188909907041838,0.004580041232669285,2.0,2.0,3.0,1.0,1.0,0.4,5,5,2.0
hist_gradient_boosting__symptoms_diet_labels,context,0.01878077260567725,0.09463520258017386,0.011433195457077999,0.024839741118727592,0.055161574888053864,0.12814345562201324,1.0,1.0,1.0,1.0,1.0,1.0,5,5,1.0
hist_gradient_boosting__symptoms_diet_labels,diet,-0.00033427733487988246,0.0009698649956030979,-0.003344923911553388,0.000728265011446999,-0.011827660714121802,0.007243260797348672,3.0,3.0,4.0,0.6,1.0,0.6,5,5,4.0
hist_gradient_boosting__symptoms_diet_labels,labels,-0.0002570333742676129,-0.0008049739493127412,-0.001110746733690371,0.0003544986593369048,-0.00341859503497286,0.0016354652780224744,4.0,3.0,4.0,0.4,1.0,0.6,5,5,3.0
hist_gradient_boosting__symptoms_diet_labels,symptoms,0.006870569557774716,0.03506090780705636,0.003366794058631628,0.01017049882165107,0.01566122781219035,0.05313524523650992,2.0,2.0,2.0,1.0,1.0,1.0,5,5,2.0
mlp__context_diet_labels,context,1.80823702175103e-10,0.042947575083609524,9.49240686054509e-16,8.59521670504293e-10,0.0033447609004166544,0.06689188144569487,1.0,1.0,1.0,1.0,1.0,1.0,5,5,1.0
mlp__context_diet_labels,diet,6.407469682928182e-11,0.01589766751730079,-3.706572826445154e-11,3.5155224842320364e-10,-0.007790237069075767,0.0309639319078584,2.0,2.0,3.0,1.0,1.0,0.8,5,5,2.0
mlp__context_diet_labels,labels,-1.0590348454173386e-10,0.0019166694910669293,-5.394876212427846e-10,1.920645309461122e-11,-0.023136307950380332,0.017118099395823805,3.0,2.0,3.0,1.0,1.0,0.8,5,5,3.0
mlp__symptoms_diet_labels,context,1.6845318986202441e-12,0.029199382627928063,-3.415615013047102e-11,4.1905268144404315e-11,-0.04766344943191294,0.06758926643335565,1.0,1.0,4.0,0.8,1.0,0.8,5,5,3.0
mlp__symptoms_diet_labels,diet,1.0619236298697961e-13,-0.00261036696015617,-3.244464141793912e-11,3.2599195565197193e-11,-0.03701690501738938,0.02319240310417463,4.0,3.0,4.0,0.4,1.0,0.4,5,5,4.0
mlp__symptoms_diet_labels,labels,1.553936702582346e-11,0.0088066621642888,-4.988454094245753e-13,7.686969394349319e-11,-0.009393662185749307,0.04773291168677631,2.0,1.0,4.0,0.8,1.0,0.4,5,5,1.0
mlp__symptoms_diet_labels,symptoms,7.089141575835911e-12,0.011362764136428343,-1.616841660556645e-11,5.078130138613801e-11,-0.017676940114933336,0.02852802992893213,2.0,2.0,3.0,1.0,1.0,0.6,5,5,2.0
random_forest__context_diet_labels,context,0.017786735185183422,0.11391188405962263,0.00892587671830855,0.02158953581893297,0.05888116610264414,0.13681079599316637,1.0,1.0,1.0,1.0,1.0,1.0,5,5,1.0
random_forest__context_diet_labels,diet,-8.802433260597737e-05,0.0019097301597462957,-0.000802854888274429,0.0010490240221833979,-0.007002750613651054,0.01627354263923133,3.0,2.0,3.0,1.0,1.0,0.2,5,5,2.0
random_forest__context_diet_labels,labels,-0.0002963718176019335,-0.004258295689594943,-0.0011485095291157376,0.0003482551145063351,-0.010597203763682717,-0.0009369653475126416,2.0,2.0,3.0,1.0,1.0,0.4,5,5,3.0
random_forest__symptoms_diet_labels,context,0.012672744958352192,0.08089376997405295,0.006529767778361367,0.016216769320184475,0.043137603598741615,0.10556145191445598,1.0,1.0,2.0,1.0,1.0,1.0,5,5,1.0
random_forest__symptoms_diet_labels,diet,0.0005599265947657944,0.0015767585426257826,0.00015787620743074605,0.000979676166679222,-0.005959754298978437,0.0044778799003290185,3.0,3.0,4.0,0.8,1.0,1.0,5,5,3.0
random_forest__symptoms_diet_labels,labels,-0.0003534661854995237,-0.004793803895354855,-0.0028847544091560096,0.0007734529764006403,-0.022696318461183473,0.00116790048407176,4.0,3.0,4.0,0.2,1.0,0.6,5,5,4.0
random_forest__symptoms_diet_labels,symptoms,0.007440809754191733,0.04687341326944714,0.005900768788917143,0.00904121568023179,0.02894962196978239,0.06793503261742051,2.0,1.0,2.0,1.0,1.0,1.0,5,5,2.0
spline_logistic__context_diet_labels,context,0.017354938516834124,0.11256963989490225,0.014468065810929864,0.019624667886983655,0.07280747373922553,0.14186720878389963,1.0,1.0,1.0,1.0,1.0,1.0,5,5,1.0
spline_logistic__context_diet_labels,diet,0.0006720145184258629,0.006007418496033487,-0.0012687889971088385,0.0031040778584934094,-0.0009912362504916894,0.016603895754876842,2.0,2.0,3.0,1.0,1.0,0.6,5,5,2.0
spline_logistic__context_diet_labels,labels,9.068632037486178e-05,-0.001408058453543246,-0.001067547995292828,0.0008997687240571761,-0.004537113824789852,0.0014115365154710568,3.0,2.0,3.0,1.0,1.0,0.6,5,5,3.0
spline_logistic__symptoms_diet_labels,context,0.01663048527090372,0.093052774152688,0.013087586814354657,0.02524777636871271,0.05898223538833527,0.1139121218127422,1.0,1.0,1.0,1.0,1.0,1.0,5,5,1.0
spline_logistic__symptoms_diet_labels,diet,-0.00013415414145279524,0.0016762688488065616,-0.0034363123719884205,0.002713883484173957,-0.0074554268926751545,0.011019853800885993,3.0,2.0,4.0,0.6,1.0,0.6,5,5,3.0
spline_logistic__symptoms_diet_labels,labels,-0.00028821560558433336,-0.0019344333559063983,-0.002463988675993073,0.0008203221738103284,-0.009581754290455402,0.001624746522280085,4.0,3.0,4.0,0.4,1.0,0.6,5,5,4.0
spline_logistic__symptoms_diet_labels,symptoms,0.004888910233689788,0.022684217628679067,0.0024934368186953883,0.010037970328664459,0.010849377468304744,0.04477798139314963,2.0,2.0,3.0,1.0,1.0,1.0,5,5,2.0
