model,fold,candidate,params,inner_weighted_log_loss,inner_fold_log_losses,selected
spline_logistic__context_diet_labels,1,0,"{""C"": 0.0001}",0.6813631867603501,"[0.6817695301725768, 0.6804713764353282, 0.6818175420468596]",False
spline_logistic__context_diet_labels,1,1,"{""C"": 0.001}",0.6684903213563577,"[0.6707436063246949, 0.6690221607421636, 0.6655498331853272]",True
spline_logistic__context_diet_labels,1,2,"{""C"": 0.01}",0.6687659146509555,"[0.6735177104011023, 0.668520073092392, 0.6639280407953716]",False
spline_logistic__context_diet_labels,1,3,"{""C"": 0.1}",0.6909672119517299,"[0.693170662788527, 0.6862690669021324, 0.6932936309989067]",False
spline_logistic__context_diet_labels,1,4,"{""C"": 1.0}",0.712401623618389,"[0.7110524009713329, 0.7080164932892284, 0.7182162654924079]",False
spline_logistic__context_diet_labels,1,5,"{""C"": 10.0}",0.7179894662769734,"[0.717096725873812, 0.7141485259029595, 0.7227733288197496]",False
spline_logistic__context_diet_labels,2,0,"{""C"": 0.0001}",0.6843213206998102,"[0.6855905964565734, 0.6790157914567663, 0.687621992316843]",False
spline_logistic__context_diet_labels,2,1,"{""C"": 0.001}",0.6744624467535281,"[0.6857921485016452, 0.6629897588337589, 0.6737229569765975]",True
spline_logistic__context_diet_labels,2,2,"{""C"": 0.01}",0.6809481164457116,"[0.7076391990282361, 0.6616550584979943, 0.6726961463375949]",False
spline_logistic__context_diet_labels,2,3,"{""C"": 0.1}",0.7182904542488509,"[0.7498130613877688, 0.700658330806989, 0.7042076163048375]",False
spline_logistic__context_diet_labels,2,4,"{""C"": 1.0}",0.7499857214171904,"[0.7788416501425381, 0.7380211901602903, 0.7335796276017129]",False
spline_logistic__context_diet_labels,2,5,"{""C"": 10.0}",0.7591078234174571,"[0.7863745876127702, 0.7481021362805177, 0.7433528253854205]",False
spline_logistic__context_diet_labels,3,0,"{""C"": 0.0001}",0.6819437705811388,"[0.6795910102981058, 0.6877995447450407, 0.6782636105996245]",False
spline_logistic__context_diet_labels,3,1,"{""C"": 0.001}",0.6695929173402474,"[0.6659981153788407, 0.6772491308638521, 0.6653893232735956]",True
spline_logistic__context_diet_labels,3,2,"{""C"": 0.01}",0.676335451486989,"[0.6688091278302467, 0.6901148364761331, 0.6700086682816343]",False
spline_logistic__context_diet_labels,3,3,"{""C"": 0.1}",0.7033976893495237,"[0.6963397375173259, 0.7182357957537044, 0.6953576785393221]",False
spline_logistic__context_diet_labels,3,4,"{""C"": 1.0}",0.7260512055862539,"[0.7144614210062217, 0.7480082944126575, 0.7154969024121175]",False
