model,feature,brier_increase,auc_drop,minimum_fold_brier_increase,maximum_fold_brier_increase,minimum_fold_auc_drop,maximum_fold_auc_drop,median_rank,best_rank,worst_rank,fraction_top3,fraction_top10,fraction_positive_folds,folds,repeats_per_fold,overall_rank
hist_gradient_boosting__context_diet_labels,age,0.0033342400229411416,0.018985838160064574,-0.0013387938403128907,0.009620646849385295,-0.0027139005175838447,0.04275255307747505,3.0,1.0,37.0,0.6,0.8,0.8,5,5,3.0
hist_gradient_boosting__context_diet_labels,born_chile,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,22.0,0.0,0.0,0.0,5,5,20.0
hist_gradient_boosting__context_diet_labels,dairy_frequency,-0.00035051747285102874,-0.0016736175915724003,-0.0009336650956413173,1.1723960790116506e-05,-0.004296919348617067,0.0,33.0,14.0,36.0,0.0,0.0,0.2,5,5,35.0
hist_gradient_boosting__context_diet_labels,dairy_type,-0.00021520049446565538,-0.0012576553353573737,-0.0011388694772206053,7.135804551799962e-06,-0.0063632668564596925,0.00017028644164456263,21.0,17.0,37.0,0.0,0.0,0.2,5,5,33.0
hist_gradient_boosting__context_diet_labels,dental_access,8.80322231072789e-05,-0.0005044510093995561,-0.0002645286843790562,0.0008012396973899605,-0.001542790433832697,0.0,18.0,7.0,34.0,0.0,0.2,0.2,5,5,15.0
hist_gradient_boosting__context_diet_labels,dental_visit,0.0015095692860500468,0.00838371020129309,0.0005087651298898877,0.003373756273598766,0.0035125970488101067,0.018404729022040843,5.0,3.0,6.0,0.2,1.0,1.0,5,5,5.0
hist_gradient_boosting__context_diet_labels,dental_visit_reason,0.004512383740210303,0.023649372594338008,0.0028535945904175075,0.007305216865839037,0.016131074392060164,0.03656304358917393,2.0,1.0,4.0,0.8,1.0,1.0,5,5,2.0
hist_gradient_boosting__context_diet_labels,diabetes_reported,-7.021810074231266e-05,-0.0005613684367173564,-0.00024631250858969114,3.445330927176471e-05,-0.0010791077781758585,0.0,17.0,16.0,32.0,0.0,0.0,0.4,5,5,27.0
hist_gradient_boosting__context_diet_labels,education,0.0002197410184233513,0.0016729473681203343,-0.00012520186724397918,0.0005695092180037553,-0.0005484384791384133,0.0035720702931471005,11.0,7.0,27.0,0.0,0.4,0.8,5,5,9.0
hist_gradient_boosting__context_diet_labels,fish,-0.0006664319121602437,-0.003455467845629122,-0.002201675643190665,0.0,-0.011473218197080071,0.0,29.0,16.0,38.0,0.0,0.0,0.0,5,5,38.0
hist_gradient_boosting__context_diet_labels,fruit_days,-0.00016223248441553343,-0.0002496098149037751,-0.0010252874339560514,0.0002857402211616955,-0.002043330117083375,0.0012396735776313062,28.0,15.0,38.0,0.0,0.0,0.2,5,5,29.0
hist_gradient_boosting__context_diet_labels,fruit_portions,-0.00016754939015052651,-8.439393217371318e-05,-0.002487926090217618,0.0007236123373357383,-0.010127906201515113,0.004371161294475345,10.0,8.0,38.0,0.0,0.6,0.8,5,5,30.0
hist_gradient_boosting__context_diet_labels,health_insurance,0.00024971321680417285,0.0021545693024395567,-0.00010723271553010338,0.001035219825659023,-0.0010050662390304055,0.0075981167772128265,11.0,9.0,26.0,0.0,0.4,0.8,5,5,8.0
hist_gradient_boosting__context_diet_labels,household_water_source,-0.00040792620586760337,-0.0016098316497197437,-0.0019670058263420998,0.0,-0.0077625516303710725,0.0,17.0,15.0,38.0,0.0,0.0,0.0,5,5,36.0
hist_gradient_boosting__context_diet_labels,income_band,0.000701743068245723,0.003307690089453862,-0.00015555073636017714,0.0016604225548044692,-0.005408867819804386,0.009925159226920787,8.0,6.0,28.0,0.0,0.8,0.8,5,5,7.0
hist_gradient_boosting__context_diet_labels,indigenous,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,22.0,0.0,0.0,0.0,5,5,20.0
hist_gradient_boosting__context_diet_labels,juice_frequency,-0.00019648626024805203,-0.00046704849827080945,-0.0005841850519622716,0.0,-0.0020654009004227535,0.0,17.0,15.0,37.0,0.0,0.0,0.0,5,5,32.0
hist_gradient_boosting__context_diet_labels,juice_glasses_daily,0.00019067691173208688,0.000872532102577532,3.930522515982471e-05,0.00033192977339026043,-0.0011865581251391255,0.002767795256935224,12.0,8.0,17.0,0.0,0.2,1.0,5,5,10.0
hist_gradient_boosting__context_diet_labels,label_brand,0.00013313533956566667,0.0006825616841938398,-1.4904495644352257e-05,0.0004008138687805085,-0.0009404944124870917,0.0030327834695931476,15.0,11.0,30.0,0.0,0.0,0.4,5,5,13.0
hist_gradient_boosting__context_diet_labels,label_discounts,3.421988627154868e-05,-0.00036402028544966163,-0.0006600745694405885,0.0005618647248618547,-0.0038780206241799233,0.0013259586110364152,14.0,9.0,36.0,0.0,0.2,0.6,5,5,18.0
hist_gradient_boosting__context_diet_labels,label_health,-1.823888190007914e-05,-4.959960700838746e-05,-0.00020840411301560336,0.0001241443483728233,-0.0013998132185194302,0.0011961758931534395,16.0,15.0,30.0,0.0,0.0,0.2,5,5,22.0
hist_gradient_boosting__context_diet_labels,label_ingredients,-3.601564245465074e-05,-0.0002118973576312822,-0.00011514482713029239,0.0,-0.000616131048009505,0.0,18.0,16.0,30.0,0.0,0.0,0.0,5,5,24.0
hist_gradient_boosting__context_diet_labels,label_nutrition,-0.0005153275898542594,-0.0016604398952951892,-0.001829563286160385,0.0,-0.00624198942920644,0.0,33.0,17.0,37.0,0.0,0.0,0.0,5,5,37.0
hist_gradient_boosting__context_diet_labels,label_warnings,-0.00018726152582629598,-0.0006547639320964545,-0.0006404777388704652,0.0003735780436278424,-0.004371195193328204,0.0031632849992309755,34.0,7.0,36.0,0.0,0.2,0.4,5,5,31.0
hist_gradient_boosting__context_diet_labels,legumes,4.285334112808151e-05,0.00024806375949387033,0.0,0.00011524276085851937,-0.0010133444532266056,0.0021437295657422252,16.0,12.0,22.0,0.0,0.0,0.6,5,5,17.0
hist_gradient_boosting__context_diet_labels,oil,1.4329336164030599e-05,9.530433560529297e-05,0.0,6.909555531573464e-05,0.0,0.000459554156400821,17.0,15.0,18.0,0.0,0.0,0.2,5,5,19.0
hist_gradient_boosting__context_diet_labels,region,0.0025988070201544405,0.012901114698323737,0.001230219049299258,0.003671557225538935,0.0052174388345971765,0.017806017932857743,4.0,3.0,4.0,0.4,1.0,1.0,5,5,4.0
hist_gradient_boosting__context_diet_labels,rural,-9.472027651849392e-05,-0.0004838001170783291,-0.0004567378440135883,0.0,-0.0023328671592796058,0.0,17.0,15.0,33.0,0.0,0.0,0.0,5,5,28.0
hist_gradient_boosting__context_diet_labels,rural_water_consumption,9.847667668957415e-05,0.00015617500506355045,0.0,0.00047485107360341615,0.0,0.0007530703849625064,16.0,10.0,18.0,0.0,0.2,0.2,5,5,14.0
hist_gradient_boosting__context_diet_labels,sex,0.000809184069450296,0.005696453631579818,0.00025344283455703274,0.0015494142660373578,0.0008298476735946414,0.01463442867436362,7.0,4.0,13.0,0.0,0.8,1.0,5,5,6.0
hist_gradient_boosting__context_diet_labels,smoking_status,0.00016170071947975388,0.001461081778652822,-0.0005140607172036737,0.0008304337554401464,-0.0017057552924154562,0.0037663098803082827,12.0,6.0,35.0,0.0,0.4,0.6,5,5,11.0
hist_gradient_boosting__context_diet_labels,soda_frequency,-4.228854758125795e-05,0.0008426559905658911,-0.00027836264387465226,0.0003588207279760558,-0.0012390665596441418,0.004419415779844971,32.0,14.0,34.0,0.0,0.0,0.2,5,5,25.0
hist_gradient_boosting__context_diet_labels,soda_glasses_daily,8.461551510023908e-05,0.0010318021204386925,-0.001455145906284805,0.0011383535606029449,-0.008237264642166231,0.006706248279775529,19.0,5.0,38.0,0.0,0.4,0.6,5,5,16.0
hist_gradient_boosting__context_diet_labels,teeth_remaining,0.005139235783478163,0.02918719242671107,0.0038042469010847015,0.006478403004346156,0.024775647218007978,0.03271076650289784,2.0,1.0,2.0,1.0,1.0,1.0,5,5,1.0
hist_gradient_boosting__context_diet_labels,vegetable_days,-2.3939395764985544e-05,-0.00035809479804202617,-0.0005457863027438115,0.0002233303396056152,-0.0033809969921159365,0.002046818233080261,13.0,9.0,35.0,0.0,0.2,0.6,5,5,23.0
hist_gradient_boosting__context_diet_labels,vegetable_portions,-0.0003446434829828194,-0.0014345610312406878,-0.000645432326854678,0.0,-0.0026862818373539323,0.0,34.0,16.0,37.0,0.0,0.0,0.0,5,5,34.0
hist_gradient_boosting__context_diet_labels,water,0.00013748126309125544,0.0005183120568714518,-4.822375747831065e-05,0.0006183720904372858,-0.0007453612026949941,0.0035296825282593812,13.0,8.0,30.0,0.0,0.2,0.6,5,5,12.0
hist_gradient_boosting__context_diet_labels,wholegrain,-6.509380829798949e-05,-0.00021381980739428827,-0.0004088481223242679,0.00039616843473512243,-0.0014246097696091198,0.001596628163019087,32.0,12.0,35.0,0.0,0.0,0.2,5,5,26.0
hist_gradient_boosting__symptoms_diet_labels,age,0.002873648134885828,0.015017155118403468,-0.0017913153990911923,0.0064892814436653175,-0.009820408474614562,0.02955619238915168,3.0,2.0,43.0,0.6,0.8,0.8,5,5,4.0
hist_gradient_boosting__symptoms_diet_labels,born_chile,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,22.0,0.0,0.0,0.0,5,5,20.0
hist_gradient_boosting__symptoms_diet_labels,dairy_frequency,-0.00021090059538481402,-0.001107782127727618,-0.00089165886358889,0.00013824903773023144,-0.005411875846521852,0.0016822238502203213,20.0,12.0,42.0,0.0,0.0,0.2,5,5,39.0
hist_gradient_boosting__symptoms_diet_labels,dairy_type,5.604788174698831e-05,0.0005696281251481837,-0.0002446793063277275,0.00027802130641247925,-0.0005037523645813335,0.0018694154867708202,19.0,11.0,32.0,0.0,0.0,0.6,5,5,14.0
hist_gradient_boosting__symptoms_diet_labels,dental_access,-0.00013944123850684044,-0.00027049530406456773,-0.000416112951056069,7.440958280005016e-05,-0.0015378791616623034,0.0006364195021670183,33.0,16.0,41.0,0.0,0.0,0.2,5,5,36.0
