model,weighting,classification_threshold,bootstrap_replicates,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status,auc_bootstrap_valid,auc_low,auc_high,brier_bootstrap_valid,brier_low,brier_high,log_loss_bootstrap_valid,log_loss_low,log_loss_high,sensitivity_bootstrap_valid,sensitivity_low,sensitivity_high,specificity_bootstrap_valid,specificity_low,specificity_high,ppv_bootstrap_valid,ppv_low,ppv_high,accuracy_bootstrap_valid,accuracy_low,accuracy_high
hist_gradient_boosting__context_diet_labels,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6117261595033876,0.6610264878165866,0.2390785579295065,0.6705146385011462,0.6826542129549176,0.45112990420869525,0.5996946453697009,0.541329743885116,0.5776308123029678,0.5668920585818065,0.5457710657742814,0.0026275211556818757,0.7814497262361031,0.04000913215216236,Estimated,1000.0,0.5826015274777293,0.6386081679457819,1000.0,0.23278246687082654,0.24524727601141633,1000.0,0.657057831772467,0.6838692190269768,1000.0,0.6464761242698597,0.7184229070219582,1000.0,0.41660235076623947,0.4846251333210091,1000.0,0.568301363902999,0.6325547782684611,1000.0,0.5531946215716099,0.6019916138811198
hist_gradient_boosting__context_diet_labels,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6360095406762993,0.6626418942088725,0.23506894841921677,0.662229599358126,0.7337300111565638,0.4341712824882829,0.5976976673735231,0.5873198847262248,0.5941223193010325,0.5839506468224234,0.5521845520131059,-0.0779249922006463,0.9968834007079092,-0.07729166557126937,Estimated,,,,,,,,,,,,,,,,,,,,,
hist_gradient_boosting__symptoms_diet_labels,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.634804361099663,0.6728320791257356,0.23474845772897596,0.6618827270138326,0.6960023161180543,0.49452813388605166,0.6238511615619613,0.5745690588098826,0.604610168675045,0.5952652250020529,0.5461865666038814,0.0008543682651019217,0.8443236994167164,0.027078719496500387,Estimated,1000.0,0.6045626764931323,0.6637224441826728,1000.0,0.2275080864989102,0.24200131286681129,1000.0,0.6462155867952163,0.6772002573325043,1000.0,0.658679886255765,0.7315128219760809,1000.0,0.45631366366060744,0.5349372358638312,1000.0,0.5890631899800902,0.6583078540889582,1000.0,0.5780229781072884,0.6306993692361785
hist_gradient_boosting__symptoms_diet_labels,Unweighted,0.5,,5036,2689,0.5339555202541699,0.647745719712449,0.6674177289150831,0.23287171987116698,0.6579819302662306,0.7244328746746003,0.4797613975287601,0.6147049542442411,0.6031065881092662,0.6104050833995234,0.6020971361016803,0.5506814242601819,-0.07238443794565907,0.9651411632508925,-0.06558678217549506,Estimated,,,,,,,,,,,,,,,,,,,,,
mlp__context_diet_labels,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.4881482709328495,0.5460707495597963,0.24815893437693295,0.6894637423632132,1.0,0.0,0.5463828346116878,,0.5463828346116878,0.5,0.5451360628671725,0.005030073642836407,-3.146763965429726,0.7561763607424734,Estimated,1000.0,0.4550411706237509,0.5193632252633096,1000.0,0.24576488091567672,0.2505095846392594,1000.0,0.6846597341741452,0.6941775960414602,1000.0,1.0,1.0,1000.0,0.0,0.0,1000.0,0.5211358168548327,0.5724648962261825,1000.0,0.5211358168548327,0.5724648962261825
mlp__context_diet_labels,Unweighted,0.5,,5036,2689,0.5339555202541699,0.5106141053762089,0.5472487909538011,0.24901375453533175,0.6911756340153897,1.0,0.0,0.53395552025417,,0.5339555202541699,0.5,0.5451557034077747,-0.045092465286734405,0.00725611430157356,0.1347170409932662,Estimated,,,,,,,,,,,,,,,,,,,,,
mlp__symptoms_diet_labels,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.48835766468154623,0.5505513367267336,0.24808402918327502,0.6893129613164808,1.0,0.0,0.5463828346116878,,0.5463828346116878,0.5,0.5452981541439283,0.0043759724845202136,-3.891829630346525,0.89355688177791,Estimated,1000.0,0.456585639327627,0.5185079643398205,1000.0,0.24568354285141383,0.25045642784204947,1000.0,0.6844998612692196,0.6940704647415579,1000.0,1.0,1.0,1000.0,0.0,0.0,1000.0,0.5211358168548327,0.5724648962261825,1000.0,0.5211358168548327,0.5724648962261825
mlp__symptoms_diet_labels,Unweighted,0.5,,5036,2689,0.5339555202541699,0.5085494042781564,0.5441968667095842,0.24900086771602004,0.6911495775555161,1.0,0.0,0.53395552025417,,0.5339555202541699,0.5,0.5452952349117027,-0.04565238194093668,0.016544888063282616,0.1330252860312291,Estimated,,,,,,,,,,,,,,,,,,,,,
prevalence_only,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.47664141225536083,0.5324945534767592,0.2480954463142797,0.6893361603947805,1.0,0.0,0.5463828346116878,,0.5463828346116878,0.5,0.5464025427913923,-7.952627803987748e-05,,,Within-fold constant benchmark; pooled slope not interpretable,1000.0,0.445288916694293,0.5061960348836784,1000.0,0.24565043930832486,0.2505095583591393,1000.0,0.6844299327646601,0.694180510530034,1000.0,1.0,1.0,1000.0,0.0,0.0,1000.0,0.5211358168548327,0.5724648962261825,1000.0,0.5211358168548327,0.5724648962261825
prevalence_only,Unweighted,0.5,,5036,2689,0.5339555202541699,0.49997829215682954,0.5339309680052325,0.2490289090913358,0.6912061883613332,1.0,0.0,0.53395552025417,,0.5339555202541699,0.5,0.5463898778326319,-0.05006881538619307,,,Within-fold constant benchmark; pooled slope not interpretable,,,,,,,,,,,,,,,,,,,,,
