model,fold,family,feature_set,n_features,auc,brier,log_loss,n_train,n_test,test_weight_sum,selected_params,weighted_training,converged,elapsed_seconds,beverage_training_caps,optimizer_status,epochs_completed
spline_logistic__context_diet_labels,1,spline_logistic,context_diet_labels,38,0.6358036671304554,0.23952536172234998,0.6718579039913434,4030,1006,2861322.5562906265,"{""C"": 0.001}",True,True,2.3263582500003395,{},,
spline_logistic__context_diet_labels,2,spline_logistic,context_diet_labels,38,0.6549127295396328,0.2323766937026227,0.6566850540117825,4029,1007,2574325.41285038,"{""C"": 0.001}",True,True,2.3500447499973234,{},,
spline_logistic__context_diet_labels,3,spline_logistic,context_diet_labels,38,0.6307192245570069,0.23676893183446762,0.6659693835509772,4025,1011,2776332.157348156,"{""C"": 0.001}",True,True,2.3022870830027387,{},,
spline_logistic__context_diet_labels,4,spline_logistic,context_diet_labels,38,0.6309085229666173,0.23509596839618704,0.6629296287613093,4029,1007,2777806.4952178,"{""C"": 0.001}",True,True,2.320739415998105,{},,
spline_logistic__context_diet_labels,5,spline_logistic,context_diet_labels,38,0.5814456656057595,0.2469729209450411,0.6870114216535892,4031,1005,2807410.1710247993,"{""C"": 0.01}",True,True,2.3173994579992723,{},,
spline_logistic__symptoms_diet_labels,1,spline_logistic,symptoms_diet_labels,44,0.6280124452042766,0.24187313969763088,0.6776916308899968,4030,1006,2861322.5562906265,"{""C"": 0.01}",True,True,2.8964570839962107,{},,
spline_logistic__symptoms_diet_labels,2,spline_logistic,symptoms_diet_labels,44,0.6617909301920435,0.23052211912479068,0.6525780411484094,4029,1007,2574325.41285038,"{""C"": 0.001}",True,True,2.8709265409997897,{},,
spline_logistic__symptoms_diet_labels,3,spline_logistic,symptoms_diet_labels,44,0.637149256019003,0.23512810327738834,0.6625047951774904,4025,1011,2776332.157348156,"{""C"": 0.001}",True,True,2.908418167004129,{},,
spline_logistic__symptoms_diet_labels,4,spline_logistic,symptoms_diet_labels,44,0.6478673395340584,0.23266780759724673,0.6578822199361473,4029,1007,2777806.4952178,"{""C"": 0.001}",True,True,2.908604208001634,{},,
spline_logistic__symptoms_diet_labels,5,spline_logistic,symptoms_diet_labels,44,0.6164148385256948,0.23917702094524992,0.670996171103238,4031,1005,2807410.1710247993,"{""C"": 0.01}",True,True,2.8304257499985397,{},,
