comparison,model,reference,metric,difference,ci_low,ci_high,contrast_id,direction,role
Neural network versus spline_logistic in context_diet_labels,mlp__context_diet_labels,spline_logistic__context_diet_labels,auc,-0.1302420715475986,-0.16652750925641338,-0.0960558458115282,neural_vs_spline_logistic__context_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
Neural network versus spline_logistic in context_diet_labels,mlp__context_diet_labels,spline_logistic__context_diet_labels,brier,-0.009898424275588236,-0.014811226065144083,-0.0052775963010990995,neural_vs_spline_logistic__context_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
Neural network versus spline_logistic in context_diet_labels,mlp__context_diet_labels,spline_logistic__context_diet_labels,log_loss,-0.020335901864090955,-0.030697212495968976,-0.01053555372911448,neural_vs_spline_logistic__context_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
Neural network versus random_forest in context_diet_labels,mlp__context_diet_labels,random_forest__context_diet_labels,auc,-0.12625985280654495,-0.16165300042404374,-0.09098518006000152,neural_vs_random_forest__context_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
Neural network versus random_forest in context_diet_labels,mlp__context_diet_labels,random_forest__context_diet_labels,brier,-0.010653841023829519,-0.01485144708683922,-0.006085774198748146,neural_vs_random_forest__context_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
Neural network versus random_forest in context_diet_labels,mlp__context_diet_labels,random_forest__context_diet_labels,log_loss,-0.022303410902350107,-0.031148866266389054,-0.012746844488116024,neural_vs_random_forest__context_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
Neural network versus hist_gradient_boosting in context_diet_labels,mlp__context_diet_labels,hist_gradient_boosting__context_diet_labels,auc,-0.12357788857053809,-0.1582859015519836,-0.0882128262229609,neural_vs_hist_gradient_boosting__context_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
Neural network versus hist_gradient_boosting in context_diet_labels,mlp__context_diet_labels,hist_gradient_boosting__context_diet_labels,brier,-0.009080376447426458,-0.014725035200000063,-0.0034495854405319176,neural_vs_hist_gradient_boosting__context_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
Neural network versus hist_gradient_boosting in context_diet_labels,mlp__context_diet_labels,hist_gradient_boosting__context_diet_labels,log_loss,-0.01894910386206694,-0.030808627061592368,-0.006961261440771527,neural_vs_hist_gradient_boosting__context_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
Neural network versus spline_logistic in symptoms_diet_labels,mlp__symptoms_diet_labels,spline_logistic__symptoms_diet_labels,auc,-0.14138838324130037,-0.1788130653128645,-0.10491450234074846,neural_vs_spline_logistic__symptoms_diet_labels,Positive favours the compared model over the reference,exploratory_conditional_comparison
