model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic__context_diet_labels,1,age,1,0.00917371142950174,0.07095635989972071,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,age,2,0.007825767500137193,0.05740670633458955,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,age,3,0.01326163145589812,0.09270242585276756,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,age,4,0.011854594820814496,0.08387083171909637,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,age,5,0.009962951354181904,0.07774249653431053,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,sex,1,0.0005537952639088073,0.005969146495660604,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,sex,2,-1.676888816742883e-05,0.003821991192362928,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,sex,3,0.001446161735241841,0.013260100773787142,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,sex,4,-0.0001725257825588855,0.0006972120739456855,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,sex,5,0.00046174143095503717,0.0035332188286488764,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,region,1,0.00024488661331392714,0.0007099639712914163,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,region,2,0.00012179478922677567,-0.00010382943527287303,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,region,3,0.0006774687592751849,0.0052089957913966645,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,region,4,-5.988304934978483e-07,0.0013347137423934674,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,region,5,0.00014920868721443603,0.0006972015216796246,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,rural,1,-0.0001669118163613037,1.685502246950854e-05,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,rural,2,-0.00024026822045353224,-0.0006940899754342977,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,rural,3,0.00010548557639303291,0.0015739617399501693,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,rural,4,-3.1851786371883684e-05,0.00010536472298650068,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,rural,5,0.00014176863412790341,0.001802415272050495,1006,2861322.5562906265
