model,variable,level,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status
spline_logistic__context_diet_labels,sex,Female,3125,1579,0.5080101397128755,0.579767100124191,0.5791515408335381,0.2461109937823243,0.6854607176482184,0.6677641775634785,0.4296089454473868,0.5472724372498979,0.556010691221509,0.5505942181880348,0.5486865615054326,0.5252710379929828,-0.07176746453566919,0.7078685188684024,-0.04127126719208313,Estimated
spline_logistic__context_diet_labels,sex,Male,1911,1110,0.5843928095576381,0.6443514033285089,0.7061160530830473,0.23048423353764524,0.6529493507456792,0.7909375825725979,0.36151388872369883,0.6352837156915672,0.5515251384676104,0.612466007662676,0.5762257356481484,0.5660042733688773,0.07840169268143649,1.1692402355170426,0.03690189797394677,Estimated
spline_logistic__context_diet_labels,age_group,15–24,729,280,0.40858932174513063,0.5427976356134371,0.4738452705495055,0.24355466857060276,0.6807261369553729,0.26322103771430966,0.7958059842279216,0.47106322460486577,0.6098942204044023,0.5781974621602581,0.5295135109711157,0.44665184861855534,-0.1596900935661722,0.4431337881840657,-0.27430680378436834,Estimated
spline_logistic__context_diet_labels,age_group,25–44,1569,828,0.5706988102525066,0.5814787756758566,0.6569226060729154,0.24164469881192085,0.676126475206119,0.6924480073700314,0.3779564749844749,0.5967462429992041,0.48036810844325456,0.5574364183513997,0.5352022411772531,0.5416608646385588,0.1214304597078312,0.7724300309272722,0.1568941994274869,Estimated
spline_logistic__context_diet_labels,age_group,45–64,1759,1034,0.5956123883526976,0.6169899926960325,0.6949700214848621,0.23187424962799424,0.6555391652940945,0.935690635344875,0.1402825257083471,0.6158327316331061,0.596941383460812,0.6140374496040637,0.5379865805266111,0.6041332340279684,-0.03648521841051683,1.2172369641534866,-0.12519844798441562,Estimated
spline_logistic__context_diet_labels,age_group,65+,979,547,0.572307948438002,0.6222388813562395,0.6702396994368306,0.2342621351603787,0.6607490201521269,0.9126486189427979,0.14330979438313593,0.5877201088435919,0.5507734030779693,0.5836085187205802,0.5279792066629669,0.5776539838136107,-0.02237726699854128,1.5204389835135783,-0.18012225244075397,Estimated
spline_logistic__context_diet_labels,rural,Rural,760,431,0.5786100342788364,0.6355972732545205,0.6814564330257669,0.2337117946047064,0.6601381616005477,0.8434991727537762,0.31180521332836775,0.6272780136886029,0.5920019020485088,0.6194486734173537,0.577652193041072,0.5719780735181567,0.028402904974826806,0.9572656761380866,0.04041876906642112,Estimated
spline_logistic__context_diet_labels,rural,Urban,4276,2258,0.5425478430641759,0.6155029932853545,0.6504621090656721,0.2388018008638625,0.6701975996760581,0.7200451213529968,0.40774388012863744,0.5904869270404021,0.5511719117970535,0.5771822449411785,0.5638945007408172,0.542611407282042,-0.0002665818357542393,0.9792459638818664,0.003135890493054741,Estimated
spline_logistic__context_diet_labels,education,High,1179,525,0.4824216379512012,0.5613381965088688,0.5731277880895016,0.24720011936913766,0.6873587234342374,0.5361343969607651,0.5359112641904227,0.5184832380002643,0.5534737589448495,0.5360189082669718,0.5360228305755939,0.5024214077760198,-0.08237625235384234,0.6980250598574848,-0.07853833976719363,Estimated
spline_logistic__context_diet_labels,education,Intermediate,2811,1536,0.5647732498189988,0.626327031061511,0.6656190610066552,0.23512587478667618,0.6629574178354968,0.7751298143187205,0.3834972085201212,0.6199944880259295,0.5678910658154216,0.604680828032079,0.5793135114194209,0.5530438194142,0.04962567436895133,1.0278203971059172,0.04398744098010885,Estimated
