variable,description,raw_variables,raw_labels,raw_value_labels,units,english_categories,missing_and_derivation_rule,predictor_role,expanded_predictor_role
participant_id,Unique survey participant identifier; excluded from predictors,IdEncuesta,IdEncuesta: IdEncuesta,"{""IdEncuesta"": {}}",identifier/indicator,{},Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,outcome/design/cohort,outcome/design/cohort or ancillary
age,Age at survey,Edad,Edad: Edad,"{""Edad"": {}}",years,{},Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,context
sex,Recorded sex,Sexo,Sexo: Sexo,"{""Sexo"": {""1.0"": ""HOMBRE"", ""2.0"": ""MUJER""}}",category,"{""1"": ""Male"", ""2"": ""Female""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,context
region,Survey region (2016 boundaries),Region,Region: Región,"{""Region"": {""1.0"": ""XV. Arica y Parinacota"", ""2.0"": ""I. Tarapacá"", ""3.0"": ""II. Antofagasta"", ""4.0"": ""III. Atacama"", ""5.0"": ""IV. Coquimbo"", ""6.0"": ""V. Valparaíso"", ""7.0"": ""XIII. Metropolitana"", ""8.0"": ""VI. L. Bdo. OHiggins"", ""9.0"": ""VII. Maule"", ""10.0"": ""VIII. Bíobío"", ""11.0"": ""IX. La Araucanía"", ""12.0"": ""XIV. Los Ríos"", ""13.0"": ""X. Los Lagos"", ""14.0"": ""XI. Aysén"", ""15.0"": ""XII. Magallanes y Antártica""}}",category,"{""1"": ""01 Arica and Parinacota"", ""2"": ""02 Tarapaca"", ""3"": ""03 Antofagasta"", ""4"": ""04 Atacama"", ""5"": ""05 Coquimbo"", ""6"": ""06 Valparaiso"", ""7"": ""07 Metropolitan"", ""8"": ""08 O'Higgins"", ""9"": ""09 Maule"", ""10"": ""10 Biobio"", ""11"": ""11 La Araucania"", ""12"": ""12 Los Rios"", ""13"": ""13 Los Lagos"", ""14"": ""14 Aysen"", ""15"": ""15 Magallanes and Antarctica""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,context
rural,Urban/rural residence,Zona,Zona: Área geográfica,"{""Zona"": {""1.0"": ""URBANA"", ""2.0"": ""RURAL""}}",category,"{""1"": ""Urban"", ""2"": ""Rural""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,context
education,"Low <8, intermediate 8–12, high >=13 years of schooling",NEDU1_MINSAL_1,NEDU1_MINSAL_1: Clasificacion Nivel Educacional_seleccionado (MINSAL),"{""NEDU1_MINSAL_1"": {""1.0"": ""< 8 años"", ""2.0"": ""8-12 años"", ""3.0"": ""13 o más años""}}",category,"{""1"": ""Low"", ""2"": ""Intermediate"", ""3"": ""High""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,context
indigenous,Self-reported membership/ancestry of a recognized indigenous people,c6,c6: c6. ¿Pertenece o es descendiente de algún pueblo indígena reconocido por la ley en Chile?,"{""c6"": {""1.0"": ""AYMARA"", ""2.0"": ""RAPA-NUI (PASCUENSES)"", ""3.0"": ""QUECHUA"", ""4.0"": ""MAPUCHE"", ""5.0"": ""ATACAMEÑO (LINKÁN ANTAI)"", ""6.0"": ""COYA"", ""7.0"": ""KAWÉSQAR (ALACALUFES)"", ""8.0"": ""YAGÁN (YÁMARA)"", ""9.0"": ""DIAGUITA"", ""10.0"": ""NO PERTENECE A NINGÚN PUEBLO INDÍGENA CHILENO.""}}",category,"{""1"": ""Yes"", ""2"": ""Yes"", ""3"": ""Yes"", ""4"": ""Yes"", ""5"": ""Yes"", ""6"": ""Yes"", ""7"": ""Yes"", ""8"": ""Yes"", ""9"": ""Yes"", ""10"": ""No""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,context
born_chile,Born in Chile,c1,c1: c1. ¿En qué país nació usted?,"{""c1"": {""1.0"": ""CHILE"", ""2.0"": ""OTRO (¿CUAL?)""}}",category,"{""1"": ""Yes"", ""2"": ""No""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,context
teeth_remaining,"Total remaining teeth, upper plus lower jaw",m5p3 + m5p6,m5p3: m5p3. Número total de dientes REMANENTES en el maxilar SUPERIOR | m5p6: m5p6. Número total de dientes REMANENTES en el maxilar INFERIOR,"{""m5p3"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}, ""m5p6"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}}",teeth,{},Negative special codes and nonfinite values become missing. Add both jaw counts only if both observed; each jaw must be integer 0–16.,primary,context
decayed_teeth,"Total clinically observed decayed teeth, upper plus lower jaw",m5p5 + m5p8,m5p5: m5p5. Número total de dientes CARIADOS en el maxilar SUPERIOR | m5p8: m5p8. Número total de dientes CARIADOS en el maxilar INFERIOR,"{""m5p5"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}, ""m5p8"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}}",teeth,{},Negative special codes and nonfinite values become missing. Add both jaw counts only if both observed; verify decay <= remaining teeth in each jaw.,outcome/design/cohort,outcome/design/cohort or ancillary
