bin,n,predicted,observed,model
"(0.179, 0.398]",504,0.3488770335544768,0.42800464631873536,spline_logistic__basic
"(0.398, 0.45]",504,0.4261852765635376,0.4419662405023176,spline_logistic__basic
"(0.45, 0.491]",503,0.47179836499991173,0.5377123784915286,spline_logistic__basic
"(0.491, 0.524]",504,0.5073484542012301,0.4175585350977398,spline_logistic__basic
"(0.524, 0.555]",503,0.5389296615564482,0.43603420123955455,spline_logistic__basic
"(0.555, 0.585]",504,0.5691776457558182,0.5241955601622458,spline_logistic__basic
"(0.585, 0.618]",503,0.6018469516850269,0.5957736736213944,spline_logistic__basic
"(0.618, 0.651]",504,0.634916998726008,0.7131132855303881,spline_logistic__basic
"(0.651, 0.69]",503,0.6676375111331561,0.6291618820687304,spline_logistic__basic
"(0.69, 0.89]",504,0.7336999442994249,0.7535274814923696,spline_logistic__basic
"(0.174, 0.389]",504,0.342312059175534,0.4240140740182876,spline_logistic__context
"(0.389, 0.439]",504,0.41465664420837905,0.4181773496500229,spline_logistic__context
"(0.439, 0.481]",503,0.4600950455856837,0.46864758943398926,spline_logistic__context
"(0.481, 0.517]",504,0.4998001137730032,0.48842009958281346,spline_logistic__context
"(0.517, 0.551]",503,0.5339842867388377,0.41606218894088043,spline_logistic__context
"(0.551, 0.586]",504,0.5699039141666143,0.5320531788129611,spline_logistic__context
"(0.586, 0.62]",503,0.6026713005589359,0.5641238751941645,spline_logistic__context
"(0.62, 0.662]",504,0.6411777021850746,0.6803984254828409,spline_logistic__context
"(0.662, 0.712]",503,0.6838446739164131,0.6886239972467033,spline_logistic__context
"(0.712, 0.869]",504,0.7537261904897519,0.7823667901388943,spline_logistic__context
"(0.1, 0.418]",504,0.36284506738204797,0.4139460126605792,spline_logistic__context_diet
"(0.418, 0.466]",504,0.4431737130138164,0.4233216373835393,spline_logistic__context_diet
"(0.466, 0.504]",503,0.4852296533910901,0.4998746567169357,spline_logistic__context_diet
"(0.504, 0.533]",504,0.5186168005731536,0.44449451213476276,spline_logistic__context_diet
"(0.533, 0.556]",503,0.5450558599811639,0.5071597490534168,spline_logistic__context_diet
"(0.556, 0.581]",504,0.5690098075420423,0.553693684012069,spline_logistic__context_diet
