model,block,brier_increase,auc_drop,minimum_fold_brier_increase,maximum_fold_brier_increase,median_rank,best_rank,worst_rank,fraction_top3
random_forest__context_diet_labels,context,0.017786735185183422,0.11391188405962263,0.00892587671830855,0.02158953581893297,1.0,1.0,1.0,1.0
random_forest__context_diet_labels,diet,-8.802433260597737e-05,0.0019097301597462957,-0.000802854888274429,0.0010490240221833979,3.0,2.0,3.0,1.0
random_forest__context_diet_labels,labels,-0.0002963718176019335,-0.004258295689594943,-0.0011485095291157376,0.0003482551145063351,2.0,2.0,3.0,1.0
random_forest__symptoms_diet_labels,context,0.012672744958352192,0.08089376997405295,0.006529767778361367,0.016216769320184475,1.0,1.0,2.0,1.0
random_forest__symptoms_diet_labels,diet,0.0005599265947657944,0.0015767585426257826,0.00015787620743074605,0.000979676166679222,3.0,3.0,4.0,0.8
random_forest__symptoms_diet_labels,labels,-0.0003534661854995237,-0.004793803895354855,-0.0028847544091560096,0.0007734529764006403,4.0,3.0,4.0,0.2
random_forest__symptoms_diet_labels,symptoms,0.007440809754191733,0.04687341326944714,0.005900768788917143,0.00904121568023179,2.0,1.0,2.0,1.0
spline_logistic__context_diet_labels,context,0.017354938516834124,0.11256963989490225,0.014468065810929864,0.019624667886983655,1.0,1.0,1.0,1.0
spline_logistic__context_diet_labels,diet,0.0006720145184258629,0.006007418496033487,-0.0012687889971088385,0.0031040778584934094,2.0,2.0,3.0,1.0
spline_logistic__context_diet_labels,labels,9.068632037486178e-05,-0.001408058453543246,-0.001067547995292828,0.0008997687240571761,3.0,2.0,3.0,1.0
spline_logistic__symptoms_diet_labels,context,0.01663048527090372,0.093052774152688,0.013087586814354657,0.02524777636871271,1.0,1.0,1.0,1.0
spline_logistic__symptoms_diet_labels,diet,-0.00013415414145279524,0.0016762688488065616,-0.0034363123719884205,0.002713883484173957,3.0,2.0,4.0,0.6
spline_logistic__symptoms_diet_labels,labels,-0.00028821560558433336,-0.0019344333559063983,-0.002463988675993073,0.0008203221738103284,4.0,3.0,4.0,0.4
spline_logistic__symptoms_diet_labels,symptoms,0.004888910233689788,0.022684217628679067,0.0024934368186953883,0.010037970328664459,2.0,2.0,3.0,1.0
