model,fold,candidate,params,inner_weighted_log_loss,inner_fold_log_losses,selected
spline_logistic__basic,1,0,"{""C"": 0.0001}",0.6830147931048548,"[0.683521293920276, 0.6811662917526308, 0.684315705034231]",False
spline_logistic__basic,1,1,"{""C"": 0.001}",0.6746055925077317,"[0.6773672177510672, 0.6703361449483946, 0.6759075838568378]",False
spline_logistic__basic,1,2,"{""C"": 0.01}",0.6702356011237283,"[0.6774467525181904, 0.6621529924966988, 0.6705791971581716]",True
spline_logistic__basic,1,3,"{""C"": 0.1}",0.6703041759583178,"[0.6776377294275882, 0.659287688982576, 0.6734415270269248]",False
spline_logistic__basic,1,4,"{""C"": 1.0}",0.6712852817754812,"[0.6766187564548936, 0.6602140810356817, 0.6766166381611527]",False
spline_logistic__basic,1,5,"{""C"": 10.0}",0.6714346707487,"[0.6762542501491752, 0.6605163006613339, 0.6771633835638413]",False
spline_logistic__basic,2,0,"{""C"": 0.0001}",0.6855963006126755,"[0.6867134888670197, 0.6807965759097878, 0.68861081842143]",False
spline_logistic__basic,2,1,"{""C"": 0.001}",0.6773313666254512,"[0.6865029644256373, 0.6691559554023793, 0.6757969063116158]",False
spline_logistic__basic,2,2,"{""C"": 0.01}",0.6686585674779203,"[0.6845445569380564, 0.6584946815025386, 0.6626371058438552]",False
spline_logistic__basic,2,3,"{""C"": 0.1}",0.6669710103414962,"[0.6777029704444009, 0.6600835381960796, 0.6629209388701437]",True
spline_logistic__basic,2,4,"{""C"": 1.0}",0.6683274455286414,"[0.6735883978652624, 0.66430014234451, 0.6668899169664327]",False
spline_logistic__basic,2,5,"{""C"": 10.0}",0.6689397524482219,"[0.6729186850179082, 0.6664942740583525, 0.6673471960571511]",False
spline_logistic__basic,3,0,"{""C"": 0.0001}",0.6829665269152263,"[0.680935309272263, 0.6888144603064648, 0.678918002889836]",False
spline_logistic__basic,3,1,"{""C"": 0.001}",0.6715554067396243,"[0.6704836603325697, 0.6782427928233252, 0.6654589695302073]",False
spline_logistic__basic,3,2,"{""C"": 0.01}",0.663944899146951,"[0.6645977685288481, 0.6717434924661497, 0.6546046705094873]",False
spline_logistic__basic,3,3,"{""C"": 0.1}",0.6631911720609084,"[0.6667477712667613, 0.6703619051338453, 0.6511368839169451]",True
spline_logistic__basic,3,4,"{""C"": 1.0}",0.6648176297477442,"[0.6693677810322067, 0.6720643553890733, 0.6515149184136622]",False
spline_logistic__basic,3,5,"{""C"": 10.0}",0.6653453389378392,"[0.6698876510244832, 0.6727373947228068, 0.6518920236409057]",False
spline_logistic__basic,4,0,"{""C"": 0.0001}",0.6856812564621321,"[0.6830157035273812, 0.684203268707042, 0.6897059000764367]",False
spline_logistic__basic,4,1,"{""C"": 0.001}",0.6758064640501011,"[0.672086364022257, 0.6753763068052264, 0.6798619273692177]",False
spline_logistic__basic,4,2,"{""C"": 0.01}",0.669544377961309,"[0.6694416427970066, 0.6693324913857868, 0.6698476661959999]",True
spline_logistic__basic,4,3,"{""C"": 0.1}",0.6699633367794834,"[0.6766665208872522, 0.6684907111657076, 0.6648056377551781]",False
spline_logistic__basic,4,4,"{""C"": 1.0}",0.6730163880592348,"[0.6843274815344449, 0.6699368003822159, 0.6648819140562167]",False
spline_logistic__basic,4,5,"{""C"": 10.0}",0.6743177721880101,"[0.687426416358218, 0.6705279757259586, 0.6651017546357535]",False
spline_logistic__basic,5,0,"{""C"": 0.0001}",0.6834022419004838,"[0.6862726032516017, 0.6841256726124918, 0.6797606423016206]",False
spline_logistic__basic,5,1,"{""C"": 0.001}",0.6711077971850892,"[0.67469913408845, 0.6732025219742072, 0.665486121976239]",False
spline_logistic__basic,5,2,"{""C"": 0.01}",0.6654206720627152,"[0.6712579801411448, 0.664953433720204, 0.6597509891908822]",True
spline_logistic__basic,5,3,"{""C"": 0.1}",0.6684950335077959,"[0.6792918475205004, 0.663172693631592, 0.6620009232671602]",False
spline_logistic__basic,5,4,"{""C"": 1.0}",0.6718119812607174,"[0.6840619200374953, 0.6665611870167063, 0.6637382296875721]",False
spline_logistic__basic,5,5,"{""C"": 10.0}",0.6730119871197253,"[0.6855020033723971, 0.6682010943835759, 0.6642938697552024]",False
spline_logistic__context,1,0,"{""C"": 0.0001}",0.6820813217975839,"[0.682485385972196, 0.6802549013767403, 0.683469797352264]",False
spline_logistic__context,1,1,"{""C"": 0.001}",0.6684752698912252,"[0.670397812712603, 0.6643818335619134, 0.6704993589311894]",False
spline_logistic__context,1,2,"{""C"": 0.01}",0.6564659480632209,"[0.6594552616723279, 0.6483506358381711, 0.6613582001114647]",True
spline_logistic__context,1,3,"{""C"": 0.1}",0.6626199238419503,"[0.6597618384238344, 0.6491514410322158, 0.6791034767042523]",False
spline_logistic__context,1,4,"{""C"": 1.0}",0.6724245550271146,"[0.6624361653348081, 0.6584080017209956, 0.6970816718783591]",False
spline_logistic__context,1,5,"{""C"": 10.0}",0.6747992052600639,"[0.6632578305698783, 0.6609404202754264, 0.7009602595343922]",False
spline_logistic__context,2,0,"{""C"": 0.0001}",0.684991783155586,"[0.6862740420877401, 0.6801188971416314, 0.6879164205435623]",False
