model,feature,brier_increase,auc_drop,minimum_fold_brier_increase,maximum_fold_brier_increase,median_rank,best_rank,worst_rank,fraction_top3
random_forest__context_diet_labels,age,0.0036615271502017945,0.024382980060105607,-0.00013307598347476747,0.005427971337355014,2.0,1.0,26.0,0.8
random_forest__context_diet_labels,born_chile,-0.00015320131041667243,-0.0010415376380570275,-0.0006403267742213503,1.1102230246251566e-17,20.0,18.0,35.0,0.0
random_forest__context_diet_labels,dairy_frequency,0.00013789740671584638,0.0008122746534541752,-0.0001451804410373736,0.0006750785577026186,25.0,7.0,30.0,0.0
random_forest__context_diet_labels,dairy_type,-0.00025445170389367744,-0.0020765373579666514,-0.0010581020003891661,9.467844992689933e-05,27.0,14.0,37.0,0.0
random_forest__context_diet_labels,dental_access,0.00024876303997619997,0.0006846094164644018,-0.00030377799574665134,0.0007812208054085834,11.0,6.0,32.0,0.0
random_forest__context_diet_labels,dental_visit,0.0008438107943714111,0.004637516591009391,1.9779305636907772e-05,0.0018031161175404986,7.0,4.0,13.0,0.0
random_forest__context_diet_labels,dental_visit_reason,0.0038826111044762044,0.02110441782093801,0.0031198963852155535,0.004931841020409838,2.0,1.0,3.0,1.0
random_forest__context_diet_labels,diabetes_reported,1.120793299354173e-05,-0.00044386842622314113,-0.0001967063400862723,0.00016248123482463518,22.0,13.0,30.0,0.0
random_forest__context_diet_labels,education,0.0005472665905077286,0.0033705305276679007,-0.00023443903524525967,0.0013975304812260502,11.0,5.0,30.0,0.0
random_forest__context_diet_labels,fish,-0.0004711349587162848,-0.0029683815749144736,-0.0012421682691752922,-8.196072799571686e-05,35.0,33.0,38.0,0.0
random_forest__context_diet_labels,fruit_days,-0.0002743848835906313,-0.0017150184328670595,-0.00072743560029217,0.0002001688601599716,32.0,12.0,37.0,0.0
random_forest__context_diet_labels,fruit_portions,-3.6693079918433615e-05,0.000469903295748029,-0.0004949251798983423,0.00035320870145025827,15.0,8.0,36.0,0.0
random_forest__context_diet_labels,health_insurance,0.00019633175847172634,0.0012964823653150602,-5.922268034101452e-05,0.0010001908056362142,14.0,5.0,20.0,0.0
random_forest__context_diet_labels,household_water_source,-9.001922308111695e-05,-0.0005819311826624239,-0.0005620520957714037,0.0001318036129824396,19.0,15.0,35.0,0.0
random_forest__context_diet_labels,income_band,0.00018148735306883763,0.0018563581930764847,-5.6659776764245164e-05,0.0003585930520571934,14.0,7.0,33.0,0.0
random_forest__context_diet_labels,indigenous,-6.137578516718859e-05,-0.00038961107960131425,-0.0002505845154284092,0.0,23.0,16.0,28.0,0.0
random_forest__context_diet_labels,juice_frequency,-0.00016872224007519903,-0.0008797207108865373,-0.0010629873667863776,0.00034750051295794895,24.0,10.0,38.0,0.0
random_forest__context_diet_labels,juice_glasses_daily,-4.659980488445814e-05,0.0001331527600305212,-0.0002728921589245925,0.0001325764933422513,26.0,11.0,29.0,0.0
random_forest__context_diet_labels,label_brand,-0.00024038873313673967,-0.0011524143479099283,-0.001160611735640449,0.000545042139121521,26.0,8.0,38.0,0.0
random_forest__context_diet_labels,label_discounts,-0.00010383216701237072,-0.000497763867238719,-0.00032736091567808214,2.3875430051800707e-05,21.0,15.0,33.0,0.0
random_forest__context_diet_labels,label_health,-0.0002864944217230566,-0.0010496396660241347,-0.0010131528719140082,-2.325205028205768e-05,29.0,21.0,36.0,0.0
random_forest__context_diet_labels,label_ingredients,-4.230096069295091e-05,-0.0008700218942284896,-0.0006592309064427871,0.0004671052193254144,29.0,9.0,38.0,0.0
random_forest__context_diet_labels,label_nutrition,-0.0002399261469189297,-0.0013304505717139474,-0.0010777679636272074,0.00013704681154190767,25.0,16.0,37.0,0.0
random_forest__context_diet_labels,label_warnings,-0.0003120375818077095,-0.002972659185833488,-0.0004021563847253995,-0.00017966257203090862,33.0,25.0,37.0,0.0
random_forest__context_diet_labels,legumes,1.1751417408035715e-05,0.00026581743356188074,-0.000532172697679939,0.0003123415801857488,16.0,8.0,34.0,0.0
random_forest__context_diet_labels,oil,-6.1895294622142e-05,-0.0005661075751269316,-0.0002304828394670888,0.0,20.0,18.0,28.0,0.0
random_forest__context_diet_labels,region,0.00034037610424218274,0.002970253205652279,-0.0002651677514037276,0.001055112783925355,13.0,4.0,35.0,0.0
random_forest__context_diet_labels,rural,-3.009868531805663e-05,-0.00015002000624241124,-0.0001977288284250811,0.0002077550801903083,25.0,14.0,28.0,0.0
random_forest__context_diet_labels,rural_water_consumption,6.558041483920368e-05,0.0005662102632115122,0.0,0.00024088602759717026,19.0,12.0,20.0,0.0
random_forest__context_diet_labels,sex,0.001255798619060091,0.006697756087087094,-0.00028107007006250573,0.002187873689666481,4.0,2.0,30.0,0.2
random_forest__context_diet_labels,smoking_status,0.0004438059824835043,0.002842888444876557,0.0002722844859972262,0.0007111529059912359,9.0,5.0,12.0,0.0
random_forest__context_diet_labels,soda_frequency,-2.148230636519303e-06,0.0006239338490381146,-0.0005663684579968464,0.0009917164805106683,32.0,8.0,38.0,0.0
random_forest__context_diet_labels,soda_glasses_daily,0.0002753365094126414,0.002856028023326329,-0.000928982595391703,0.0008365086673456756,9.0,5.0,36.0,0.0
random_forest__context_diet_labels,teeth_remaining,0.003137173648865062,0.019504063096867277,0.0013049576715331468,0.00491337031958482,3.0,1.0,3.0,1.0
random_forest__context_diet_labels,vegetable_days,-7.829865953395055e-05,-0.0013559843849926998,-0.0004172406600030265,0.00019670928397695907,20.0,10.0,36.0,0.0
random_forest__context_diet_labels,vegetable_portions,-0.00013898787309035685,-0.000928518032858754,-0.00038744134086169947,2.0616887977448205e-05,24.0,18.0,30.0,0.0
random_forest__context_diet_labels,water,-5.736842596725022e-05,-0.0007228078239063327,-0.0003373102013690843,0.000210730930612979,29.0,17.0,34.0,0.0
random_forest__context_diet_labels,wholegrain,0.0004118253476962532,0.0021281315137219275,-0.0001401930581997446,0.0013016805994125913,10.0,6.0,33.0,0.0
random_forest__symptoms_diet_labels,age,0.0030158742805966392,0.01488648877497917,-0.00029873548891353743,0.0052486875723147695,2.0,2.0,40.0,0.8
random_forest__symptoms_diet_labels,born_chile,-0.0001115737766588767,-0.0007009444227865639,-0.00037979788297382575,3.9473399308820324e-06,30.0,23.0,34.0,0.0
random_forest__symptoms_diet_labels,dairy_frequency,4.118086674798443e-06,-0.00036616327562620385,-0.00024781673981830177,0.00040476454426677244,31.0,14.0,35.0,0.0
random_forest__symptoms_diet_labels,dairy_type,0.0002506077787345794,0.0011937287922025698,-0.0004022024972013316,0.0014749918440650155,21.0,5.0,41.0,0.0
random_forest__symptoms_diet_labels,dental_access,0.0005861869233384349,0.0023354537125244296,0.00018494519915260855,0.0011922163722786038,9.0,5.0,16.0,0.0
random_forest__symptoms_diet_labels,dental_visit,0.000415115335044934,0.0002942304063011097,-0.00013407843135162522,0.0009878983679376119,12.0,6.0,36.0,0.0
random_forest__symptoms_diet_labels,dental_visit_reason,0.0025846153914713603,0.013934716497835035,0.0016168528328928567,0.003921742478428208,3.0,2.0,4.0,0.8
random_forest__symptoms_diet_labels,diabetes_reported,1.770401630687144e-05,5.153987488710623e-06,-0.0003709970199116452,0.00013332373082428073,22.0,15.0,37.0,0.0
random_forest__symptoms_diet_labels,education,0.0004119591507849354,0.0012977959137719763,8.91970166770506e-05,0.0006685540001412415,10.0,10.0,20.0,0.0
random_forest__symptoms_diet_labels,fish,-0.00028940123328724163,-0.0017471730025368612,-0.0015101379043871987,0.0002146496796549935,39.0,13.0,44.0,0.0
random_forest__symptoms_diet_labels,fruit_days,-0.0003966855765100075,-0.002154605527501816,-0.0008230581312092256,-4.027066541755775e-05,40.0,31.0,43.0,0.0
random_forest__symptoms_diet_labels,fruit_portions,4.881279997326642e-05,5.0264643847980734e-05,-0.0005797322179387665,0.0004788376769277791,13.0,8.0,44.0,0.0
random_forest__symptoms_diet_labels,health_insurance,0.0004438491066904351,0.0017287900347456127,-0.00012360767732031986,0.001236836183923984,10.0,4.0,37.0,0.0
random_forest__symptoms_diet_labels,household_water_source,-9.759772230345216e-05,-0.0005848898519673134,-0.0005066609737525984,4.0355615382497986e-05,26.0,23.0,38.0,0.0
random_forest__symptoms_diet_labels,income_band,0.00016023778317244641,0.00042944373881501687,4.123750076713284e-05,0.000289132376291501,18.0,15.0,22.0,0.0
random_forest__symptoms_diet_labels,indigenous,-1.4012355942882478e-06,7.814333828575592e-05,-0.00013520872150850073,0.00011421272357121648,27.0,19.0,29.0,0.0
random_forest__symptoms_diet_labels,juice_frequency,-2.493912199506436e-06,-0.0005226595118648784,-0.001126326785080689,0.00038033181925899997,17.0,13.0,44.0,0.0
random_forest__symptoms_diet_labels,juice_glasses_daily,4.714478693126574e-05,-0.0006255391736767329,-0.0009024975517306077,0.0003924697125719967,17.0,9.0,43.0,0.0
random_forest__symptoms_diet_labels,label_brand,-1.6314490648241982e-05,-0.0008910954776507569,-0.0008029970599409797,0.0005269645682351165,17.0,9.0,42.0,0.0
random_forest__symptoms_diet_labels,label_discounts,-0.0001385787548198009,-0.0006060704589672136,-0.0006706676304120806,0.0002202233734241832,34.0,12.0,40.0,0.0
random_forest__symptoms_diet_labels,label_health,-0.0003133262076298561,-0.002110804298635963,-0.000752292763842538,6.995568579525324e-05,39.0,23.0,42.0,0.0
random_forest__symptoms_diet_labels,label_ingredients,-0.00018064556419580846,-0.0024444878512562876,-0.0005060424131362706,0.00025237005708730886,37.0,20.0,43.0,0.0
random_forest__symptoms_diet_labels,label_nutrition,-6.608051627684016e-05,-0.0003506435446536128,-0.000585770974489097,0.00027804326423164216,23.0,14.0,39.0,0.0
random_forest__symptoms_diet_labels,label_warnings,-0.0002656148718021159,-0.003605759330928988,-0.0009118736639559144,0.00014479520171578053,33.0,14.0,44.0,0.0
random_forest__symptoms_diet_labels,legumes,5.502619414901705e-05,0.0005177344773511305,-0.0004908198976142031,0.0004694323514384535,21.0,7.0,41.0,0.0
random_forest__symptoms_diet_labels,oil,-4.0767113748598175e-06,0.00018443850271700362,-2.7025736838909298e-05,3.903252377037148e-05,26.0,23.0,30.0,0.0
random_forest__symptoms_diet_labels,oral_daily_activities,-2.0126826206435776e-05,-0.00010145461443740553,-0.0002691588172731185,9.722125015244609e-05,24.0,22.0,35.0,0.0
random_forest__symptoms_diet_labels,oral_eating,0.00026125357739975624,0.0012663339222164069,-8.8593321573599e-05,0.000981262948349354,20.0,5.0,32.0,0.0
random_forest__symptoms_diet_labels,oral_health_selfrating,0.0068811236094534975,0.04265264080746678,0.006251747825482346,0.007639198144841158,1.0,1.0,1.0,1.0
random_forest__symptoms_diet_labels,oral_pain,0.00017549381682996896,-8.533921316435996e-05,-0.00036052557657668125,0.001206352909021574,29.0,5.0,41.0,0.0
random_forest__symptoms_diet_labels,oral_social,2.4738520067016368e-05,-0.0003009171117778921,-2.1297690223592846e-05,0.0001435682553773021,28.0,23.0,31.0,0.0
random_forest__symptoms_diet_labels,oral_speech,-0.0001037364163567784,-0.0006798303126607647,-0.00035091496097310325,6.83168288923064e-05,30.0,21.0,36.0,0.0
random_forest__symptoms_diet_labels,region,0.0002511473869140509,0.0011218092742395834,-0.0002781836666121473,0.0006716483709692633,12.0,6.0,32.0,0.0
random_forest__symptoms_diet_labels,rural,-5.7037915848064944e-05,-0.0005589517800772119,-0.0004348320362955904,0.00018306873523844526,33.0,14.0,35.0,0.0
random_forest__symptoms_diet_labels,rural_water_consumption,0.00013101590080985494,0.000583722699363884,-5.5518281725952525e-06,0.0003349228568523932,21.0,16.0,27.0,0.0
random_forest__symptoms_diet_labels,sex,0.0010446448803334261,0.004908711864180612,0.00026379993795385136,0.0021159171640357357,6.0,3.0,21.0,0.2
random_forest__symptoms_diet_labels,smoking_status,0.0002951709459972946,0.0011092364837509863,-0.0002026794751608607,0.0009063622191924136,16.0,7.0,39.0,0.0
