model,weighting,classification_threshold,bootstrap_replicates,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status,auc_bootstrap_valid,auc_low,auc_high,brier_bootstrap_valid,brier_low,brier_high,log_loss_bootstrap_valid,log_loss_low,log_loss_high,sensitivity_bootstrap_valid,sensitivity_low,sensitivity_high,specificity_bootstrap_valid,specificity_low,specificity_high,ppv_bootstrap_valid,ppv_low,ppv_high,accuracy_bootstrap_valid,accuracy_low,accuracy_high
hist_gradient_boosting__basic,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6150053066207013,0.6548528225243218,0.2380265262570179,0.6685518761454121,0.6880962521815303,0.43065495360968775,0.5927893209798895,0.5340836243798865,0.571316460069485,0.559375602895609,0.5460046782214388,0.0016100930568363472,0.8672702319986669,0.02427047681988386,Estimated,1000.0,0.587496601162587,0.6397548783377517,1000.0,0.2324064657929019,0.24350541412266738,1000.0,0.6567509388750694,0.6801934886785723,1000.0,0.6575781185538676,0.718415445476789,1000.0,0.39484908276110875,0.46530254433252005,1000.0,0.5592225626193775,0.6259975777766148,1000.0,0.5478601324412069,0.5948304628613997
hist_gradient_boosting__basic,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6238582981716452,0.6461988636650777,0.23779948776601523,0.6682199501735375,0.7303830420230569,0.42011077971878996,0.5906766917293234,0.576271186440678,0.585782366957903,0.5752469108709235,0.5543183905798631,-0.08657808832375063,0.9357975308748956,-0.0730097270755404,Estimated,,,,,,,,,,,,,,,,,,,,,
hist_gradient_boosting__context,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6299540688047549,0.6753301108182804,0.235113536771176,0.6621410119332598,0.6880501325432309,0.4734708898544379,0.6114999038161023,0.5575393723177375,0.5907133047235699,0.5807605111988344,0.5477267062369569,-0.00578037179938723,0.9127174375123623,0.009526869150517163,Estimated,1000.0,0.6020606120671373,0.6573721917831638,1000.0,0.22889238639839293,0.24133555060782702,1000.0,0.6488547378096057,0.6751634519325408,1000.0,0.6517297005774227,0.7225527378126432,1000.0,0.4373498959484922,0.5097662468132798,1000.0,0.5791763850129292,0.6456878781806625,1000.0,0.5624256563691928,0.6151334578703993
hist_gradient_boosting__context,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6454572852234715,0.668006355523494,0.2335188043615173,0.6591498387600264,0.7322424693194496,0.4618662121857691,0.609220297029703,0.6008869179600888,0.6062351072279586,0.5970543407526093,0.5531155671472244,-0.08213734260285362,1.027878494526561,-0.08782137156678861,Estimated,,,,,,,,,,,,,,,,,,,,,
hist_gradient_boosting__context_diet,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6230708487748604,0.6680266694798261,0.2367757680500538,0.6657474919052307,0.6939571764161231,0.4811932319396235,0.6170262345605505,0.5662279530734801,0.597443799025857,0.5875752041778732,0.5467942132832964,-0.0017654480117255348,0.8673013972191,0.021299150754591305,Estimated,1000.0,0.5937361635370605,0.6512774721640661,1000.0,0.2304088603855446,0.2427433819129563,1000.0,0.6521259757582069,0.6784061896397049,1000.0,0.6581283498620605,0.7274199183497227,1000.0,0.4458023653988047,0.5170659852137234,1000.0,0.5842472988380887,0.6497759641831415,1000.0,0.5724600344820967,0.6217791146645912
hist_gradient_boosting__context_diet,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6404409512598712,0.6646695667963787,0.23435640365772065,0.6608108240102162,0.7378207512086278,0.443971026842778,0.6032228640924293,0.596451058958214,0.6008737092930898,0.5908958890257029,0.5527353109581659,-0.0801883283165453,1.03597689808581,-0.08755817853853909,Estimated,,,,,,,,,,,,,,,,,,,,,
hist_gradient_boosting__context_diet_labels,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6117261595033876,0.6610264878165866,0.2390785579295065,0.6705146385011462,0.6826542129549176,0.45112990420869525,0.5996946453697009,0.541329743885116,0.5776308123029678,0.5668920585818065,0.5457710657742814,0.0026275211556818757,0.7814497262361031,0.04000913215216236,Estimated,1000.0,0.5826015274777293,0.6386081679457819,1000.0,0.23278246687082654,0.24524727601141633,1000.0,0.657057831772467,0.6838692190269768,1000.0,0.6464761242698597,0.7184229070219582,1000.0,0.41660235076623947,0.4846251333210091,1000.0,0.568301363902999,0.6325547782684611,1000.0,0.5531946215716099,0.6019916138811198
hist_gradient_boosting__context_diet_labels,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6360095406762993,0.6626418942088725,0.23506894841921677,0.662229599358126,0.7337300111565638,0.4341712824882829,0.5976976673735231,0.5873198847262248,0.5941223193010325,0.5839506468224234,0.5521845520131059,-0.0779249922006463,0.9968834007079092,-0.07729166557126937,Estimated,,,,,,,,,,,,,,,,,,,,,
hist_gradient_boosting__symptoms,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6469757092137012,0.6872351109066658,0.23168353725062546,0.6549508236190649,0.6943111962215193,0.4876745408383046,0.6201126708290319,0.5697948896100793,0.600577262341264,0.590992868529912,0.5471299125759481,-0.0032502607126980716,0.946643887490341,0.005798299258032307,Estimated,1000.0,0.617486989541238,0.6753511151259096,1000.0,0.2247827346237102,0.23862051683446686,1000.0,0.6402182494224403,0.6695876210068572,1000.0,0.6590523280108838,0.7283920210731377,1000.0,0.4518930841278816,0.5258836945663762,1000.0,0.5873672891187429,0.6531438110601707,1000.0,0.576351410841801,0.6254999132771893
hist_gradient_boosting__symptoms,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6545049399603842,0.6732380529488977,0.23142311502726817,0.6548792388803214,0.7203421346225364,0.4904132935662548,0.6182572614107884,0.604834471886495,0.6131850675138999,0.6053777140943956,0.5497655125238907,-0.06846035648768832,1.0058965847476153,-0.06957550442938457,Estimated,,,,,,,,,,,,,,,,,,,,,
hist_gradient_boosting__symptoms_diet,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6409225529330863,0.6789631738928701,0.23311488896818094,0.6581432123749198,0.6953666588767158,0.4887790721809854,0.6209785476292857,0.571196717861189,0.6016549833953864,0.5920728655288505,0.5464841540766787,-0.00043948704490079957,0.919493556827941,0.013125470882240217,Estimated,1000.0,0.6097707583009262,0.6692835427963314,1000.0,0.22624409801642134,0.2402868050036659,1000.0,0.6432244333914247,0.6736735526441856,1000.0,0.6591453736171511,0.7314244841953108,1000.0,0.45306245555622676,0.5279661098321068,1000.0,0.5866478802537105,0.6547630205193893,1000.0,0.574400063142332,0.6288941878263545
hist_gradient_boosting__symptoms_diet,Unweighted,0.5,,5036,2689,0.5339555202541699,0.648965637118067,0.6694260146424614,0.23244230327068238,0.6569102104546872,0.7184827073261436,0.4810396250532595,0.6133333333333333,0.5986214209968187,0.607823669579031,0.5997611661897015,0.5499514551424791,-0.0689921577265072,1.0065882995737085,-0.07025450568338332,Estimated,,,,,,,,,,,,,,,,,,,,,
hist_gradient_boosting__symptoms_diet_labels,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.634804361099663,0.6728320791257356,0.23474845772897596,0.6618827270138326,0.6960023161180543,0.49452813388605166,0.6238511615619613,0.5745690588098826,0.604610168675045,0.5952652250020529,0.5461865666038814,0.0008543682651019217,0.8443236994167164,0.027078719496500387,Estimated,1000.0,0.6045626764931323,0.6637224441826728,1000.0,0.2275080864989102,0.24200131286681129,1000.0,0.6462155867952163,0.6772002573325043,1000.0,0.658679886255765,0.7315128219760809,1000.0,0.45631366366060744,0.5349372358638312,1000.0,0.5890631899800902,0.6583078540889582,1000.0,0.5780229781072884,0.6306993692361785
hist_gradient_boosting__symptoms_diet_labels,Unweighted,0.5,,5036,2689,0.5339555202541699,0.647745719712449,0.6674177289150831,0.23287171987116698,0.6579819302662306,0.7244328746746003,0.4797613975287601,0.6147049542442411,0.6031065881092662,0.6104050833995234,0.6020971361016803,0.5506814242601819,-0.07238443794565907,0.9651411632508925,-0.06558678217549506,Estimated,,,,,,,,,,,,,,,,,,,,,
prevalence_only,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.47664141225536083,0.5324945534767592,0.2480954463142797,0.6893361603947805,1.0,0.0,0.5463828346116878,,0.5463828346116878,0.5,0.5464025427913923,-7.952627803987748e-05,,,Within-fold constant benchmark; pooled slope not interpretable,1000.0,0.445288916694293,0.5061960348836784,1000.0,0.24565043930832486,0.2505095583591393,1000.0,0.6844299327646601,0.694180510530034,1000.0,1.0,1.0,1000.0,0.0,0.0,1000.0,0.5211358168548327,0.5724648962261825,1000.0,0.5211358168548327,0.5724648962261825
prevalence_only,Unweighted,0.5,,5036,2689,0.5339555202541699,0.49997829215682954,0.5339309680052325,0.2490289090913358,0.6912061883613332,1.0,0.0,0.53395552025417,,0.5339555202541699,0.5,0.5463898778326319,-0.05006881538619307,,,Within-fold constant benchmark; pooled slope not interpretable,,,,,,,,,,,,,,,,,,,,,
random_forest__basic,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.600776526730866,0.6371683662584788,0.24069230782424433,0.674663314046384,0.6876537552320416,0.4202801667665973,0.5882672326285808,0.5276574706502352,0.5663685059326456,0.5539669609993194,0.5466869886163099,-0.0012804718774095168,0.822479769843451,0.02999445051764979,Estimated,1000.0,0.573038540176896,0.6266947448716952,1000.0,0.23565706382974178,0.24608791223010532,1000.0,0.6640972993991463,0.6860023371498939,1000.0,0.6546751176627478,0.7205010565484371,1000.0,0.38452053030045513,0.4541173020714735,1000.0,0.5537974119050468,0.6217016461187387,1000.0,0.5404421914369224,0.5917998083455297
random_forest__basic,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6221051917713649,0.6403164632814574,0.2386421501201293,0.6702645526503286,0.7504648568240981,0.39923306348530035,0.588681446907818,0.5827114427860697,0.5867752184273233,0.5748489601546992,0.5541236372762335,-0.08477222257533677,1.0104371642327736,-0.08696829425905829,Estimated,,,,,,,,,,,,,,,,,,,,,
