comparison,model,reference,metric,difference,ci_low,ci_high,contrast_id,family,unoriented_difference,direction,role,relative_loss_reduction_percent
Diet beyond context,spline_logistic__context_diet,spline_logistic__context,auc,-0.014404730203959382,-0.02732385200919705,-0.0014383386310631962,diet_context,spline_logistic,-0.014404730203959382,Positive favours added variables or sensitivity,secondary_exploratory,
Diet beyond context,spline_logistic__context_diet,spline_logistic__context,brier,-0.004394667474802411,-0.007161474960857293,-0.001616877985518242,diet_context,spline_logistic,0.004394667474802411,Positive favours added variables or sensitivity,primary_incremental_contrast,-1.8821709835400695
Diet beyond context,spline_logistic__context_diet,spline_logistic__context,log_loss,-0.010159840018207134,-0.016080863064330063,-0.004213655587962173,diet_context,spline_logistic,0.010159840018207134,Positive favours added variables or sensitivity,secondary_exploratory,-1.5429496143756567
Diet beyond context and symptoms,spline_logistic__symptoms_diet,spline_logistic__symptoms,auc,-0.021399435280837542,-0.0322430860766942,-0.010286784912480222,diet_symptoms,spline_logistic,-0.021399435280837542,Positive favours added variables or sensitivity,secondary_exploratory,
Diet beyond context and symptoms,spline_logistic__symptoms_diet,spline_logistic__symptoms,brier,-0.0053599195438382985,-0.00808206481640632,-0.0027100377337566837,diet_symptoms,spline_logistic,0.0053599195438382985,Positive favours added variables or sensitivity,secondary_exploratory,-2.332462002585964
Diet beyond context and symptoms,spline_logistic__symptoms_diet,spline_logistic__symptoms,log_loss,-0.012114342901504038,-0.018291656716867548,-0.006208299190362957,diet_symptoms,spline_logistic,0.012114342901504038,Positive favours added variables or sensitivity,secondary_exploratory,-1.8621077905610632
Label behaviours beyond context and diet,spline_logistic__context_diet_labels,spline_logistic__context_diet,auc,-0.0041168536027030855,-0.012423064869743438,0.004173625953081134,labels_context,spline_logistic,-0.0041168536027030855,Positive favours added variables or sensitivity,secondary_exploratory,
Label behaviours beyond context and diet,spline_logistic__context_diet_labels,spline_logistic__context_diet,brier,-0.00037656278775063945,-0.0020902613876366423,0.0013610529901022296,labels_context,spline_logistic,0.00037656278775063945,Positive favours added variables or sensitivity,secondary_exploratory,-0.1582968468461766
Label behaviours beyond context and diet,spline_logistic__context_diet_labels,spline_logistic__context_diet,log_loss,-0.0004993166335660604,-0.00451571396183999,0.003319138711985883,labels_context,spline_logistic,0.0004993166335660604,Positive favours added variables or sensitivity,secondary_exploratory,-0.07467773445849282
Label behaviours beyond symptoms and diet,spline_logistic__symptoms_diet_labels,spline_logistic__symptoms_diet,auc,-0.0030700263931963123,-0.010740743598041462,0.00450871162371317,labels_symptoms,spline_logistic,-0.0030700263931963123,Positive favours added variables or sensitivity,secondary_exploratory,
Label behaviours beyond symptoms and diet,spline_logistic__symptoms_diet_labels,spline_logistic__symptoms_diet,brier,-0.0008394760170331861,-0.0027346374293028865,0.0008448563674642521,labels_symptoms,spline_logistic,0.0008394760170331861,Positive favours added variables or sensitivity,secondary_exploratory,-0.35698599395186237
Label behaviours beyond symptoms and diet,spline_logistic__symptoms_diet_labels,spline_logistic__symptoms_diet,log_loss,-0.0019134111509344631,-0.0063065663925441565,0.0018182940807738967,labels_symptoms,spline_logistic,0.0019134111509344631,Positive favours added variables or sensitivity,secondary_exploratory,-0.2887357746211907
Expanded context beyond basic,spline_logistic__context,spline_logistic__basic,auc,0.018613967656632258,0.00263905355592127,0.03642449126615693,context_basic,spline_logistic,0.018613967656632258,Positive favours added variables or sensitivity,secondary_exploratory,
Expanded context beyond basic,spline_logistic__context,spline_logistic__basic,brier,0.004491156206357871,0.0011023683772398594,0.008179999763284951,context_basic,spline_logistic,-0.004491156206357871,Positive favours added variables or sensitivity,secondary_exploratory,1.8871955531276576
Expanded context beyond basic,spline_logistic__context,spline_logistic__basic,log_loss,0.010212450440473031,0.0031187782630860447,0.018159090970468778,context_basic,spline_logistic,-0.010212450440473031,Positive favours added variables or sensitivity,secondary_exploratory,1.5272526645079927
Symptoms beyond context,spline_logistic__symptoms,spline_logistic__context,auc,0.017303583309769888,0.005265348661087066,0.029216984317141637,symptoms_context,spline_logistic,0.017303583309769888,Positive favours added variables or sensitivity,secondary_exploratory,
Symptoms beyond context,spline_logistic__symptoms,spline_logistic__context,brier,0.0036926298656800027,0.0009068624541305188,0.006295968280208432,symptoms_context,spline_logistic,-0.0036926298656800027,Positive favours added variables or sensitivity,secondary_exploratory,1.5814986744699844
Symptoms beyond context,spline_logistic__symptoms,spline_logistic__context,log_loss,0.007897166832540714,0.002136873601240507,0.013469058066505103,symptoms_context,spline_logistic,-0.007897166832540714,Positive favours added variables or sensitivity,secondary_exploratory,1.1993230697621897
"Symptoms beyond context, diet and labels",spline_logistic__symptoms_diet_labels,spline_logistic__context_diet_labels,auc,0.0113557054423985,0.00036798766427733335,0.02257083026952504,symptoms_full,spline_logistic,0.0113557054423985,Positive favours added variables or sensitivity,secondary_exploratory,
"Symptoms beyond context, diet and labels",spline_logistic__symptoms_diet_labels,spline_logistic__context_diet_labels,brier,0.002264464567361568,-0.00021118374846624752,0.004572689014476999,symptoms_full,spline_logistic,-0.002264464567361568,Positive favours added variables or sensitivity,secondary_exploratory,0.9504153946444471
"Symptoms beyond context, diet and labels",spline_logistic__symptoms_diet_labels,spline_logistic__context_diet_labels,log_loss,0.004528569431875407,-0.0010899855473132524,0.009760711454292378,symptoms_full,spline_logistic,-0.004528569431875407,Positive favours added variables or sensitivity,secondary_exploratory,0.6767868795441859
