variable,n,missing,percent_missing
age,5036,0,0.0
sex,5036,0,0.0
region,5036,0,0.0
rural,5036,0,0.0
education,5036,38,0.7545671167593329
indigenous,5036,0,0.0
born_chile,5036,0,0.0
teeth_remaining,5036,0,0.0
income_band,5036,755,14.99205718824464
health_insurance,5036,52,1.0325655281969817
smoking_status,5036,0,0.0
diabetes_reported,5036,43,0.8538522637013503
dental_visit,5036,0,0.0
dental_visit_reason,5036,193,3.8324066719618743
dental_access,5036,196,3.8919777601270846
household_water_source,5036,6,0.11914217633042098
rural_water_consumption,5036,1,0.019857029388403495
oral_health_selfrating,5036,0,0.0
oral_pain,5036,0,0.0
oral_speech,5036,0,0.0
oral_eating,5036,0,0.0
oral_daily_activities,5036,0,0.0
oral_social,5036,0,0.0
fish,5036,0,0.0
dairy_frequency,5036,0,0.0
dairy_type,5036,0,0.0
wholegrain,5036,0,0.0
legumes,5036,0,0.0
fruit_days,5036,0,0.0
fruit_portions,5036,0,0.0
vegetable_days,5036,0,0.0
vegetable_portions,5036,0,0.0
water,5036,4,0.07942811755361398
soda_frequency,5036,0,0.0
juice_frequency,5036,0,0.0
oil,5036,0,0.0
soda_glasses_daily,5036,3,0.05957108816521049
juice_glasses_daily,5036,2,0.03971405877680699
label_ingredients,5036,0,0.0
label_nutrition,5036,0,0.0
label_warnings,5036,0,0.0
label_health,5036,0,0.0
label_brand,5036,0,0.0
label_discounts,5036,0,0.0
