model,variable,level,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status
spline_logistic__context,sex,Female,3125,1579,0.5080101397128755,0.6101616038971877,0.6162506474602518,0.2409233056489376,0.6745200947461318,0.6107892548189614,0.5319365040134167,0.5740003104469249,0.5696344487076597,0.5719945009668861,0.5713628794161891,0.5134143210073533,-0.022995490495901817,0.7945373758270389,-0.012031055290429594,Estimated
spline_logistic__context,sex,Male,1911,1110,0.5843928095576381,0.6540994245407937,0.7341839710430497,0.22612552455560614,0.6425689997694197,0.7757889243853651,0.3530935140519049,0.6277348616797583,0.5282977808518913,0.6001136724837944,0.564441219218635,0.5795053454369088,0.021345253585461126,1.1133851370209946,-0.011949267583054972,Estimated
spline_logistic__context,age_group,15–24,729,280,0.40858932174513063,0.5469338339020047,0.4755804110432481,0.2412410219476061,0.675084385665236,0.25166533283372056,0.7927911074488073,0.456255283249219,0.605278824332864,0.5716928942200206,0.5222282201412639,0.4238935869930406,-0.06542511427813001,0.5416671367006199,-0.202059020653912,Estimated
spline_logistic__context,age_group,25–44,1569,828,0.5706988102525066,0.5833856592340668,0.6550521040862678,0.24178674284613863,0.6762076752977237,0.6838623183953199,0.4132274343990255,0.6077399733912239,0.4957794661933374,0.5676784407085359,0.5485448763971726,0.55360024061809,0.07327641906710283,0.6327152432081523,0.14663744651423835,Estimated
spline_logistic__context,age_group,45–64,1759,1034,0.5956123883526976,0.6818429148111507,0.7619148190328853,0.22091614714695404,0.6311620049726023,0.8898608548053327,0.1917124761783895,0.61854180435959,0.5416621668109983,0.6075382993969465,0.5407866654918612,0.6123229270104293,-0.07326486376108962,1.4903335278785528,-0.2855736357911901,Estimated
spline_logistic__context,age_group,65+,979,547,0.572307948438002,0.679765573841318,0.7175437863226144,0.22452893548944985,0.6405290674079105,0.7819947911581502,0.4042891933267185,0.6372311345048284,0.5808680178325988,0.6204531091351744,0.5931419922424344,0.5598154796272177,0.053238228902018354,1.4947677917499287,-0.054889596744306934,Estimated
spline_logistic__context,rural,Rural,760,431,0.5786100342788364,0.645850496691225,0.6986010534354985,0.2315582328596275,0.6555668548338499,0.8004294883072076,0.33257492916551334,0.6221752540371643,0.5482562082336164,0.6032802716679989,0.5665022087363605,0.58947499348506,-0.04808035817098017,0.8466370281613985,0.005537931049200806,Estimated
spline_logistic__context,rural,Urban,4276,2258,0.5425478430641759,0.6353832109307298,0.6854053434925205,0.23371907172016607,0.6588139974288588,0.6866318774007396,0.4624489306789591,0.6023768399971081,0.5544219356631548,0.5840789048746322,0.5745404040398494,0.5415166871253048,0.004427147505008139,0.9831895804668813,0.007015256193153903,Estimated
spline_logistic__context,education,High,1179,525,0.4824216379512012,0.5785606266313112,0.5973368497408718,0.24367793203304866,0.6799731880236057,0.4928662508267282,0.5837606599416371,0.5246387702763823,0.5525696819323731,0.5399112302158162,0.5383134553841826,0.49186370240471045,-0.039505524780721814,0.7787561413782896,-0.04666337702237528,Estimated
spline_logistic__context,education,Intermediate,2811,1536,0.5647732498189988,0.6457851022299084,0.707619487702801,0.23011946434713737,0.6512484318347079,0.747862939058847,0.4076075251805484,0.6209559000472544,0.5547236023612898,0.5997746810451037,0.5777352321196977,0.5604123640101792,0.01897752987478893,0.9942600028634709,0.020283661529534844,Estimated
spline_logistic__context,education,Low,1008,606,0.6019000500203198,0.6361169397065991,0.7187867598076247,0.22690335134910622,0.6450277982971088,0.8547266409713249,0.27741610554172574,0.6413748693179339,0.5581144323787621,0.6248993456940591,0.5660713732565253,0.6031386861370784,-0.005475122154723123,0.9804233899258629,0.0023183565645807556,Estimated
spline_logistic__context_diet,sex,Female,3125,1579,0.5080101397128755,0.590069232433079,0.5844636491882662,0.24520789140984417,0.6839894460613667,0.6578886052054896,0.4349078052055216,0.5458929744954896,0.5518020443230311,0.548184312566794,0.5463982052055056,0.5234036528574226,-0.06442474606747853,0.7039852830370724,-0.03594879368565169,Estimated
spline_logistic__context_diet,sex,Male,1911,1110,0.5843928095576381,0.6430841498186873,0.703098320558422,0.23062923319101047,0.6534128016091678,0.7948737484031577,0.3446221082344251,0.6303699216784522,0.5443803988812685,0.6077459292405654,0.5697479283187914,0.5701663843324536,0.06128696616463509,1.0192747326430451,0.056306925723244826,Estimated
spline_logistic__context_diet,age_group,15–24,729,280,0.40858932174513063,0.5455982321827111,0.4682489256299672,0.2435044864719505,0.6804177272712341,0.28567287154069015,0.7680011725208968,0.45966655782057375,0.608795114280338,0.570926979164913,0.5268370220307935,0.4419424178000505,-0.14063402934011737,0.43763698133200996,-0.2666612567729535,Estimated
spline_logistic__context_diet,age_group,25–44,1569,828,0.5706988102525066,0.5793071748642127,0.6484674318084949,0.24272169347494021,0.6786728155183128,0.6908653506481204,0.3558400797506751,0.5877570375364678,0.464062484448355,0.5470386032563709,0.5233527151993977,0.5439308639726244,0.11294266394629539,0.6374377753332309,0.17174739787495785,Estimated
spline_logistic__context_diet,age_group,45–64,1759,1034,0.5956123883526976,0.6318977262131181,0.69523115806878,0.2307505293561384,0.6538391099179071,0.9274729974241837,0.1422967777253347,0.6142995831252666,0.5711977637540725,0.6099574612179084,0.5348848875747592,0.6085582944576745,-0.05590043688776789,1.127599678302908,-0.10998094880253917,Estimated
spline_logistic__context_diet,age_group,65+,979,547,0.572307948438002,0.6544016894025901,0.694590458119321,0.22989983969050082,0.6517523350202995,0.8902632475587201,0.24727782313812227,0.6127994120390212,0.6274176568876643,0.6152634922638126,0.5687705353484211,0.5760853936784069,-0.015953952745585337,1.52528529265238,-0.16817537708131525,Estimated
spline_logistic__context_diet,rural,Rural,760,431,0.5786100342788364,0.6406797257459611,0.6744428393415509,0.23304025708895887,0.6598915925728039,0.8401760672677163,0.290692619874185,0.6192562409743206,0.5698216643404033,0.6086292562062094,0.5654343435709507,0.5816615859738115,-0.01331678925264179,0.8325451445632772,0.03965036650590747,Estimated
spline_logistic__context_diet,rural,Urban,4276,2258,0.5425478430641759,0.6195708448674523,0.6526126092078308,0.2384603396549112,0.6696682064319892,0.7177011810111079,0.4046043961090314,0.5884184586153716,0.547194011735367,0.5744743814279812,0.5611527885600697,0.5427590001795224,-0.0008921056007386628,0.9101964187272396,0.01368941877196865,Estimated
spline_logistic__context_diet,education,High,1179,525,0.4824216379512012,0.5652136769669793,0.5838500073849111,0.24707132810299692,0.6870927171425447,0.5262914881326679,0.5161228715503243,0.5034203898500537,0.538944735913212,0.5210284322176761,0.5212071798414961,0.4998678029516211,-0.0722555736982665,0.6667584021975741,-0.0714803565530783,Estimated
spline_logistic__context_diet,education,Intermediate,2811,1536,0.5647732498189988,0.6305767379677369,0.6727445694861307,0.23426056080149937,0.6610934941799176,0.7722310036721166,0.37365322559960346,0.6153687799748876,0.5583427910684932,0.5987592926272525,0.57294211463586,0.5551532476418796,0.04105195624286864,0.9724873497552738,0.046762955273389445,Estimated
spline_logistic__context_diet,education,Low,1008,606,0.6019000500203198,0.5998738806799315,0.6656139361223892,0.23499257582212954,0.6640383956182193,0.9074920570684348,0.1541349146922814,0.6186243175459827,0.5242672884711873,0.6075806163716534,0.5308134858803581,0.6087506843314003,-0.029908926183450854,0.680796769067715,0.10696854989658375,Estimated
spline_logistic__symptoms,sex,Female,3125,1579,0.5080101397128755,0.6349206323792297,0.6307839150903745,0.2362779846205803,0.6651601641866631,0.6088919892125568,0.5645106223743782,0.5907855606821414,0.5829589553786758,0.5870568067424897,0.5867013057934676,0.5130111750001911,-0.02160064309439368,0.8599196998845512,-0.014593469880223208,Estimated
spline_logistic__symptoms,sex,Male,1911,1110,0.5843928095576381,0.6646881062865568,0.7457454965206722,0.2233765804883847,0.6361207698113671,0.7590678381473069,0.4005486618542893,0.6403558959657858,0.5417741515810761,0.610064690568456,0.5798082500007982,0.5795748632395152,0.0213388644777882,1.0871387042167473,-0.0037253008562206716,Estimated
spline_logistic__symptoms,age_group,15–24,729,280,0.40858932174513063,0.5892918374430962,0.5021683705128297,0.23578733882050396,0.6636532805090694,0.28234575213725654,0.7858966529515341,0.47673517333191745,0.6131654002666749,0.5801511319236788,0.5341212025443953,0.4249823286375599,-0.07089734116005107,0.7614984795853765,-0.13994589021139464,Estimated
spline_logistic__symptoms,age_group,25–44,1569,828,0.5706988102525066,0.6077555751994161,0.6729003785641603,0.23800462089807234,0.6683558145459221,0.6762030872403221,0.42237370710486816,0.6087996013629516,0.49526792404004444,0.567233832355303,0.5492883971725951,0.5527362877559605,0.07814481067759746,0.7153726989425306,0.132128294251137,Estimated
spline_logistic__symptoms,age_group,45–64,1759,1034,0.5956123883526976,0.6877800631424792,0.7678475539337843,0.2188908779546076,0.6264915141173633,0.8577840379155264,0.3013684737565557,0.6439259802825386,0.5899528999253788,0.6327764768418939,0.579576255836041,0.6122574251955324,-0.07417366660339209,1.3061251569791816,-0.20595780960050886,Estimated
spline_logistic__symptoms,age_group,65+,979,547,0.572307948438002,0.696818018460603,0.7464255285498634,0.21955032737116045,0.6295447670469139,0.7773885832788596,0.48436403974650843,0.6685896385440745,0.6191955766157693,0.6520643150974903,0.6308763115126841,0.5595867800301295,0.05499272652069163,1.4622369780761175,-0.043527458262227585,Estimated
spline_logistic__symptoms,rural,Rural,760,431,0.5786100342788364,0.6538372389675626,0.6936996044179208,0.2301232523288223,0.6531922552048889,0.8033147801000938,0.3638792446389566,0.6342349484712796,0.5739895806476877,0.6181410548754639,0.5835970123695252,0.5896072378756492,-0.04920614976625245,0.827437703128094,0.011087395775132274,Estimated
spline_logistic__symptoms,rural,Urban,4276,2258,0.5425478430641759,0.6539075231251426,0.7012146346720585,0.22975778475098613,0.6502596528469313,0.6751516424143048,0.5027624826887627,0.6169147920260155,0.5661488209993073,0.5962918494655012,0.5889570625515337,0.5413155413051591,0.005370256453935705,1.0032690179883255,0.004885422296405631,Estimated
spline_logistic__symptoms,education,High,1179,525,0.4824216379512012,0.6141552633894443,0.626529174375199,0.2375821087884053,0.6674621750942664,0.498326746226009,0.6417824669499648,0.5645805149186225,0.5785058668239922,0.572576323184844,0.5700546065879869,0.4886103301062723,-0.02615290256272731,0.9635098683960969,-0.02791522293138465,Estimated
spline_logistic__symptoms,education,Intermediate,2811,1536,0.5647732498189988,0.656134131010228,0.7159924279574832,0.22777054210127207,0.6460045733384546,0.7329083712661235,0.4447754664090902,0.6313948155798487,0.5620338964648685,0.6075052234649854,0.5888419188376068,0.56097828141395,0.01678684321454633,0.9603972971462894,0.025719473809911512,Estimated
