bin,n,predicted,observed,model
"(0.315, 0.486]",504,0.46637870686571015,0.4595492486592049,logistic
"(0.486, 0.508]",504,0.4976994062158644,0.49483011660857873,logistic
"(0.508, 0.525]",503,0.5170417099777601,0.4963513979292687,logistic
"(0.525, 0.539]",504,0.5320109690693385,0.49604619056947147,logistic
"(0.539, 0.553]",503,0.5458047343947482,0.5476307627634075,logistic
"(0.553, 0.568]",504,0.5593168203269654,0.5412157029818067,logistic
"(0.568, 0.583]",503,0.5751251473629827,0.5600946716720888,logistic
"(0.583, 0.601]",504,0.5914702631766778,0.6984331853497766,logistic
"(0.601, 0.625]",503,0.6119860684721441,0.6618272474494964,logistic
"(0.625, 0.85]",504,0.6482212927150702,0.6248155974546589,logistic
"(0.283, 0.452]",504,0.41815001644172917,0.41737460412384725,spline_logistic
"(0.452, 0.49]",504,0.4722400811267311,0.5022033563244978,spline_logistic
"(0.49, 0.519]",503,0.5056705850935286,0.4386928224246696,spline_logistic
"(0.519, 0.544]",504,0.5321324028591355,0.5024524535822477,spline_logistic
"(0.544, 0.565]",503,0.5543601801916093,0.4862712172920694,spline_logistic
"(0.565, 0.582]",504,0.5741345195184333,0.6504807373080119,spline_logistic
"(0.582, 0.601]",503,0.5917077306460368,0.6381139508025704,spline_logistic
"(0.601, 0.623]",504,0.6119731875127657,0.576634928770396,spline_logistic
"(0.623, 0.648]",503,0.6342651717301018,0.6776339637899488,spline_logistic
"(0.648, 0.86]",504,0.6733887815740606,0.710412665277651,spline_logistic
"(0.256, 0.449]",504,0.41070186061198427,0.4522370499987806,random_forest
"(0.449, 0.486]",504,0.47028533003871664,0.47335724075665647,random_forest
"(0.486, 0.513]",503,0.49981209593002507,0.46825191429304214,random_forest
"(0.513, 0.534]",504,0.5230956191308177,0.5252971939041418,random_forest
"(0.534, 0.552]",503,0.5431372331909419,0.5289863275356644,random_forest
"(0.552, 0.571]",504,0.5619617396983041,0.5382589099312193,random_forest
"(0.571, 0.592]",503,0.5816541576786048,0.5456616382615855,random_forest
"(0.592, 0.617]",504,0.6040567844051828,0.6322996045420125,random_forest
"(0.617, 0.656]",503,0.6354667017359529,0.6697389335618564,random_forest
"(0.656, 0.85]",504,0.6986325652279219,0.7080126242901861,random_forest
"(0.196, 0.403]",504,0.35409456281816193,0.4707941604070753,hist_gradient_boosting
"(0.403, 0.456]",504,0.4293625567569235,0.4711104879293046,hist_gradient_boosting
"(0.456, 0.493]",503,0.47592073476193336,0.48902406608459115,hist_gradient_boosting
"(0.493, 0.522]",504,0.5086356936198914,0.5342140652210982,hist_gradient_boosting
"(0.522, 0.552]",503,0.5378515174835131,0.4697013675078566,hist_gradient_boosting
"(0.552, 0.582]",504,0.5678091241325134,0.5454863060670448,hist_gradient_boosting
"(0.582, 0.618]",503,0.5997168295482295,0.5805747980399888,hist_gradient_boosting
"(0.618, 0.659]",504,0.6375778624949684,0.6234565741270565,hist_gradient_boosting
"(0.659, 0.704]",503,0.6817849229983345,0.6210750582103546,hist_gradient_boosting
"(0.704, 0.92]",504,0.752928842132082,0.7109761622290082,hist_gradient_boosting
"(0.248, 0.466]",504,0.42662204221417777,0.4965901539088335,svm
