term,coef,se,ci_low,ci_high,p_value,model,family
Intercept,-1.794083326824358,0.5780662902025904,-2.9283862092307413,-0.6597804444179745,0.0019632378078954502,Primary linear water,binomial
C(sex)[T.Male],0.3693325151938432,0.10989879443848384,0.153685068841504,0.5849799615461824,0.0008056921952190967,Primary linear water,binomial
C(region)[T.02 Tarapaca],-0.1131184772018839,0.26855083040220107,-0.6400787690588738,0.4138418146551061,0.6736824301137185,Primary linear water,binomial
C(region)[T.03 Antofagasta],-0.1883653472094009,0.2401042495510597,-0.6595067144881257,0.28277602006932395,0.43291587618994104,Primary linear water,binomial
C(region)[T.04 Atacama],-0.15347062019179333,0.23322397162117087,-0.6111112536967241,0.30417001331313753,0.5106575863783749,Primary linear water,binomial
C(region)[T.05 Coquimbo],0.4656422196089677,0.24572284130801156,-0.01652415454698175,0.9478085937649171,0.05836959310956429,Primary linear water,binomial
C(region)[T.06 Valparaiso],-0.23316581309764506,0.19857677734922696,-0.6228204508853952,0.156488824690105,0.2405885685637765,Primary linear water,binomial
C(region)[T.07 Metropolitan],0.12224969185650934,0.18236753941211806,-0.23559858457564276,0.48009796828866147,0.5027841679136061,Primary linear water,binomial
C(region)[T.08 O'Higgins],1.0273451477323787,0.2834234633580036,0.47120122985072177,1.5834890656140357,0.000303152948180778,Primary linear water,binomial
C(region)[T.09 Maule],0.13985985126688494,0.29735382266591603,-0.4436187287179434,0.7233384312517133,0.6382043750216352,Primary linear water,binomial
C(region)[T.10 Biobio],0.434960984616847,0.23761166599428477,-0.03128934376027076,0.9012113129939647,0.06745180990626452,Primary linear water,binomial
C(region)[T.11 La Araucania],0.06966306035806816,0.2733447370396225,-0.46670401097902003,0.6060301316951563,0.7988858392059228,Primary linear water,binomial
C(region)[T.12 Los Rios],0.47765611099738114,0.2715059676852699,-0.05510285965286066,1.010415081647623,0.0788218883335348,Primary linear water,binomial
C(region)[T.13 Los Lagos],0.4180510900050992,0.2502229897829385,-0.07294564058726755,0.9090478205974659,0.09507758812574325,Primary linear water,binomial
C(region)[T.14 Aysen],-0.44680621879737015,0.2560608818273169,-0.9492582753365154,0.05564583774177512,0.08129243283510837,Primary linear water,binomial
