variable,level,n,events,unweighted_prevalence,estimate,se,ci_low,ci_high,df
Overall,All,5036,2689,0.5339555202541699,0.5463828346116878,0.013651574680758066,0.519486557766872,0.573011049627725,1045
sex,Female,3125,1579,0.50528,0.5080101397128755,0.01762853752883814,0.47343561840567366,0.5425082083756313,1045
sex,Male,1911,1110,0.5808477237048666,0.5843928095576382,0.020297778403424303,0.5440963491526634,0.6235915623559374,1045
rural,Rural,760,431,0.5671052631578948,0.5786100342788364,0.035492745176748344,0.5078565674980828,0.6462763486073995,1045
rural,Urban,4276,2258,0.5280636108512629,0.5425478430641759,0.014695551669623262,0.5136011513006774,0.5712100673317414,1045
education,High,1179,525,0.44529262086513993,0.4824216379512012,0.026789759576996287,0.430239503813217,0.5349900072902033,1045
education,Intermediate,2811,1536,0.5464247598719317,0.5647732498189987,0.017884059137803134,0.5294135439101215,0.5994860598264459,1045
education,Low,1008,606,0.6011904761904762,0.6019000500203199,0.03006800990761215,0.5416927346497968,0.6591744617788441,1045
household_water_source,Other,133,98,0.7368421052631579,0.6455852170310855,0.07323221536101499,0.4929124883541344,0.7734211156999768,1045
household_water_source,Public network,4897,2590,0.5288952419848887,0.5438300351817491,0.013894232116072098,0.5164619741159546,0.5709359641130693,1045
age,15–24,729,280,0.3840877914951989,0.40858932174513063,0.026166825933228954,0.3584071850869876,0.4607518853597821,1045
age,25–44,1569,828,0.5277246653919694,0.5706988102525065,0.022157918626698556,0.526783943229131,0.6135281859490113,1045
age,45–64,1759,1034,0.587833996588971,0.5956123883526976,0.023638876967759927,0.5485054256454122,0.6410210812026944,1045
age,65+,979,547,0.5587334014300307,0.5723079484380021,0.024433919597945643,0.5238311117093735,0.6194350151981907,1045
water,0,392,217,0.5535714285714286,0.5529502355880266,0.042945229824258,0.46796895801168387,0.6349463206246984,1045
water,>0–2,1324,735,0.5551359516616314,0.5720669161067714,0.024118919549605114,0.5242222219514983,0.6186007809483844,1045
water,>2–4,1515,808,0.5333333333333333,0.5548639224598955,0.026109228747959713,0.5032288195233653,0.6053411075629165,1045
water,>4–6,840,428,0.5095238095238095,0.5172878447536354,0.02926938608064897,0.4598789773833872,0.574243950501496,1045
water,>6–10,811,424,0.5228113440197287,0.5212294119763922,0.031882711238760554,0.4586623427986358,0.583137452265941,1045
water,>10,150,74,0.49333333333333335,0.5316822558083842,0.0693482806795635,0.39661099333482236,0.6622650093532997,1045
