model,block,n_features,brier_increase,auc_drop,median_rank,best_rank,worst_rank,fraction_top3,minimum_fold_brier_increase,maximum_fold_brier_increase,minimum_fold_auc_drop,maximum_fold_auc_drop
random_forest,Beverages,3,0.00043478247127486585,0.006020917445826536,3.0,3.0,5.0,0.6,-0.00010697733769540752,0.0013389606037407576,0.0006840729977905635,0.012086458471639184
random_forest,Cooking fat,1,-1.116374527463928e-05,-0.0006436498203516292,4.0,3.0,5.0,0.4,-0.00015295820645147562,6.42867474904385e-05,-0.0029610793417419678,0.0002913137489517936
random_forest,Food intake,9,-0.0008922808308747962,-0.0048369765597942125,5.0,4.0,6.0,0.0,-0.0029559767874000886,2.7316838952995413e-05,-0.01636946484703341,0.0032900998453428087
random_forest,Label-related behaviours,6,-0.0005753816791406968,-0.004956130271472074,6.0,4.0,6.0,0.0,-0.0020915598404479705,0.00022050339318480106,-0.009145647091918941,-0.002267729750792413
random_forest,Remaining teeth,1,0.0048036732304980465,0.03480139141801778,1.0,1.0,2.0,1.0,0.0016856306807344734,0.007238833496314828,0.023310600018303783,0.04959432134668622
random_forest,Sociodemographic,7,0.005458898461608093,0.049570131251574695,2.0,1.0,2.0,1.0,0.002127990932113938,0.00925402678913675,0.020567330885252134,0.07845398856943844
spline_logistic,Beverages,3,8.064884033047883e-05,0.0005343316138083006,4.0,4.0,6.0,0.0,-0.0005912238100474032,0.0006633203606472571,-0.001373535141787796,0.0044765966008912805
spline_logistic,Cooking fat,1,-1.659998309469566e-06,4.4776796327574614e-05,5.0,3.0,6.0,0.2,-2.0280657422483418e-05,1.6170874615423213e-05,-0.00020823682378039442,0.0005479408325258283
spline_logistic,Food intake,9,0.00021400278928643076,0.0012005692499967226,3.0,3.0,6.0,0.6,-0.0009863589061247292,0.0011050066746412235,-0.009820148178204402,0.009841997746716147
spline_logistic,Label-related behaviours,6,0.00034149434608395665,-0.0003933156031273114,5.0,3.0,5.0,0.2,-0.0007870064750763406,0.001318502364294477,-0.006721923739709345,0.005050602409900629
spline_logistic,Remaining teeth,1,0.0046124013246868975,0.03898031326373689,2.0,1.0,2.0,1.0,0.002640049055396371,0.006968850586655956,0.02808629945042076,0.05415348893245755
spline_logistic,Sociodemographic,7,0.006034316441643036,0.0478423308041647,1.0,1.0,2.0,1.0,0.0013703569247711545,0.010201697583002068,0.013880160542784226,0.07748969508973313
