model,fold,block,repeat,n_features,brier_increase,auc_drop,n_test,test_weight_sum
random_forest,1,Sociodemographic,1,7,0.008105597420424548,0.06358180315321094,1006,2861322.5562906265
random_forest,1,Sociodemographic,2,7,0.007863768178549113,0.0700626467527834,1006,2861322.5562906265
random_forest,1,Sociodemographic,3,7,0.011641581705194581,0.10478681035728088,1006,2861322.5562906265
random_forest,1,Sociodemographic,4,7,0.009217659652475452,0.08680551706461537,1006,2861322.5562906265
random_forest,1,Sociodemographic,5,7,0.00944152698904005,0.06703316551930161,1006,2861322.5562906265
random_forest,1,Remaining teeth,1,1,0.008887221398246548,0.060700418640454945,1006,2861322.5562906265
random_forest,1,Remaining teeth,2,1,0.006322363174342399,0.04689188404722333,1006,2861322.5562906265
random_forest,1,Remaining teeth,3,1,0.006206960904320352,0.03111248293772806,1006,2861322.5562906265
random_forest,1,Remaining teeth,4,1,0.0035908158345458185,0.01423023038704796,1006,2861322.5562906265
random_forest,1,Remaining teeth,5,1,0.006345585899799555,0.04457606311008311,1006,2861322.5562906265
random_forest,1,Food intake,1,9,-0.004631362844897985,-0.03530160412422845,1006,2861322.5562906265
random_forest,1,Food intake,2,9,-0.0016211748820053606,-0.007190219511634788,1006,2861322.5562906265
random_forest,1,Food intake,3,9,-5.2255148451418876e-05,0.0025582110467317065,1006,2861322.5562906265
random_forest,1,Food intake,4,9,-0.0007045081908859108,-0.009290963160949683,1006,2861322.5562906265
random_forest,1,Food intake,5,9,0.0018162823747178702,0.013247294027563417,1006,2861322.5562906265
random_forest,1,Label-related behaviours,1,6,-0.005666811678034206,-0.034905626518670685,1006,2861322.5562906265
random_forest,1,Label-related behaviours,2,6,-0.0006363497942451501,0.001480741354629389,1006,2861322.5562906265
random_forest,1,Label-related behaviours,3,6,-0.0017341738580483324,-0.0014894242810352676,1006,2861322.5562906265
random_forest,1,Label-related behaviours,4,6,-0.002543374144584609,-0.013851797068343275,1006,2861322.5562906265
random_forest,1,Label-related behaviours,5,6,0.00012291027267244403,0.0030378710538251363,1006,2861322.5562906265
random_forest,1,Beverages,1,3,-7.508330634378724e-05,0.006945826062863425,1006,2861322.5562906265
random_forest,1,Beverages,2,3,0.0004758190437257892,0.014790724232852104,1006,2861322.5562906265
random_forest,1,Beverages,3,3,8.88463679760143e-06,0.014198388684914964,1006,2861322.5562906265
random_forest,1,Beverages,4,3,-0.0005941038215415695,0.00478493862526308,1006,2861322.5562906265
random_forest,1,Beverages,5,3,-0.0003504032411150715,0.006474516810969222,1006,2861322.5562906265
random_forest,1,Cooking fat,1,1,0.00010912632288859192,0.00030878408557122317,1006,2861322.5562906265
random_forest,1,Cooking fat,2,1,0.00014672484440003686,-6.279534158382116e-05,1006,2861322.5562906265
random_forest,1,Cooking fat,3,1,-5.267331442490586e-05,-0.001173265084614461,1006,2861322.5562906265
random_forest,1,Cooking fat,4,1,-7.47376202474559e-05,-0.0019408907875273496,1006,2861322.5562906265
random_forest,1,Cooking fat,5,1,-6.656966207990722e-05,-0.0012243999456276189,1006,2861322.5562906265
random_forest,2,Sociodemographic,1,7,0.0043398919670622205,0.04642137861724205,1007,2574325.41285038
random_forest,2,Sociodemographic,2,7,0.006098711994096506,0.055588463570267255,1007,2574325.41285038
random_forest,2,Sociodemographic,3,7,0.000636105564575884,0.016882019690031336,1007,2574325.41285038
random_forest,2,Sociodemographic,4,7,0.0035635173920496033,0.04574305176463167,1007,2574325.41285038
random_forest,2,Sociodemographic,5,7,0.003722751900932797,0.048284057755780596,1007,2574325.41285038
random_forest,2,Remaining teeth,1,1,0.00405710826697564,0.02908136406631534,1007,2574325.41285038
random_forest,2,Remaining teeth,2,1,0.011680211713500588,0.08459501732857944,1007,2574325.41285038
random_forest,2,Remaining teeth,3,1,0.003478608717483428,0.025951678795478994,1007,2574325.41285038
random_forest,2,Remaining teeth,4,1,0.007695284116308987,0.052718589439206265,1007,2574325.41285038
random_forest,2,Remaining teeth,5,1,0.009282954667305499,0.05562495710385107,1007,2574325.41285038
random_forest,2,Food intake,1,9,-0.00606250348706136,-0.039257096243170975,1007,2574325.41285038
random_forest,2,Food intake,2,9,-0.0018468702231612955,-0.006522183442813967,1007,2574325.41285038
random_forest,2,Food intake,3,9,-0.0021665526381731415,-0.0025094419894061692,1007,2574325.41285038
random_forest,2,Food intake,4,9,0.0005144354309150057,-0.003971415147607571,1007,2574325.41285038
random_forest,2,Food intake,5,9,-0.0052183930195196515,-0.02958718741216837,1007,2574325.41285038
random_forest,2,Label-related behaviours,1,6,0.0016931590859793622,0.004403867732305389,1007,2574325.41285038
random_forest,2,Label-related behaviours,2,6,-0.001464441818467277,-0.009729240426416652,1007,2574325.41285038
random_forest,2,Label-related behaviours,3,6,0.0011380325090527277,0.004728360263251297,1007,2574325.41285038
random_forest,2,Label-related behaviours,4,6,0.00028967540225391386,0.004884915090408226,1007,2574325.41285038
random_forest,2,Label-related behaviours,5,6,-0.0005539082128947215,-0.015626551413510326,1007,2574325.41285038
random_forest,2,Beverages,1,3,0.001011144320138213,0.0030874402783535038,1007,2574325.41285038
random_forest,2,Beverages,2,3,0.0010152453652875482,0.010798041370931544,1007,2574325.41285038
random_forest,2,Beverages,3,3,0.0018653168953984556,0.017112611811081146,1007,2574325.41285038
random_forest,2,Beverages,4,3,0.003530660881536085,0.0327118179324446,1007,2574325.41285038
random_forest,2,Beverages,5,3,-0.0007275644436565143,-0.003277619034614876,1007,2574325.41285038
random_forest,2,Cooking fat,1,1,-9.913262933494704e-05,-0.002545620530463588,1007,2574325.41285038
random_forest,2,Cooking fat,2,1,-0.0003062441625068524,-0.0030561641328137323,1007,2574325.41285038
random_forest,2,Cooking fat,3,1,-0.0002719640382743138,-0.0047831144573077244,1007,2574325.41285038
random_forest,2,Cooking fat,4,1,-4.496802284584267e-05,-0.002670749040902476,1007,2574325.41285038
random_forest,2,Cooking fat,5,1,-4.2482179295422196e-05,-0.0017497485472223184,1007,2574325.41285038
random_forest,3,Sociodemographic,1,7,0.007249595228613376,0.060303590371821425,1011,2776332.157348156
random_forest,3,Sociodemographic,2,7,0.005587538480080562,0.04340826915665308,1011,2776332.157348156
random_forest,3,Sociodemographic,3,7,0.005077650357370872,0.03552123902984883,1011,2776332.157348156
random_forest,3,Sociodemographic,4,7,0.010618708291230794,0.057997896299815666,1011,2776332.157348156
random_forest,3,Sociodemographic,5,7,-2.024225635596788e-05,0.00940723914564856,1011,2776332.157348156
random_forest,3,Remaining teeth,1,1,0.007837950184415576,0.053444414869533996,1011,2776332.157348156
random_forest,3,Remaining teeth,2,1,0.004508282627271959,0.021733853577846407,1011,2776332.157348156
random_forest,3,Remaining teeth,3,1,0.003890010401745303,0.021380113014713653,1011,2776332.157348156
random_forest,3,Remaining teeth,4,1,0.007020123397083411,0.04672373420257714,1011,2776332.157348156
random_forest,3,Remaining teeth,5,1,0.00760718735380797,0.045764192358345834,1011,2776332.157348156
random_forest,3,Food intake,1,9,-0.0010491906857940658,-0.003390120335574731,1011,2776332.157348156
random_forest,3,Food intake,2,9,0.0002591048317840128,0.006266210760233926,1011,2776332.157348156
random_forest,3,Food intake,3,9,-0.0019134032899936204,-0.009217643548813603,1011,2776332.157348156
random_forest,3,Food intake,4,9,-0.00011041959537225199,0.002825644202428923,1011,2776332.157348156
random_forest,3,Food intake,5,9,0.0013092134082961504,0.004491821095614412,1011,2776332.157348156
random_forest,3,Label-related behaviours,1,6,-0.0006005894700344128,-0.009263311221977877,1011,2776332.157348156
random_forest,3,Label-related behaviours,2,6,0.0005781532822709823,-0.0007381783894108152,1011,2776332.157348156
random_forest,3,Label-related behaviours,3,6,-0.00022981442844180466,-0.00572198169071203,1011,2776332.157348156
random_forest,3,Label-related behaviours,4,6,-0.0008465900128262482,-0.005487771183192325,1011,2776332.157348156
random_forest,3,Label-related behaviours,5,6,-0.0007415944780390094,-0.008897120078117826,1011,2776332.157348156
random_forest,3,Beverages,1,3,0.0032882633726468713,0.02319866201576981,1011,2776332.157348156
random_forest,3,Beverages,2,3,-0.00203155146740594,-0.011894211276909927,1011,2776332.157348156
random_forest,3,Beverages,3,3,-0.0019302946438529978,-0.011555919483964838,1011,2776332.157348156
random_forest,3,Beverages,4,3,-0.0002673867986513201,0.0048218955151041465,1011,2776332.157348156
random_forest,3,Beverages,5,3,0.003147026368593625,0.021014121747406134,1011,2776332.157348156
random_forest,3,Cooking fat,1,1,0.0,0.0,1011,2776332.157348156
random_forest,3,Cooking fat,2,1,0.0,0.0,1011,2776332.157348156
random_forest,3,Cooking fat,3,1,0.0,0.0,1011,2776332.157348156
random_forest,3,Cooking fat,4,1,0.0,0.0,1011,2776332.157348156
random_forest,3,Cooking fat,5,1,0.0,0.0,1011,2776332.157348156
random_forest,4,Sociodemographic,1,7,0.004320819894597122,0.03684926349540529,1007,2777806.4952178
random_forest,4,Sociodemographic,2,7,0.007596496588086338,0.0824018213017883,1007,2777806.4952178
random_forest,4,Sociodemographic,3,7,0.00560667479701582,0.0550180459042664,1007,2777806.4952178
random_forest,4,Sociodemographic,4,7,0.007884605755377139,0.07751517794438145,1007,2777806.4952178
random_forest,4,Sociodemographic,5,7,0.006232771600490322,0.06742787656580518,1007,2777806.4952178
random_forest,4,Remaining teeth,1,1,0.0017168031190686606,0.016902355253119783,1007,2777806.4952178
random_forest,4,Remaining teeth,2,1,-0.0006887996088960069,-0.0067687028541562055,1007,2777806.4952178
random_forest,4,Remaining teeth,3,1,0.004828635697437106,0.06307756185518731,1007,2777806.4952178
random_forest,4,Remaining teeth,4,1,0.0013921530583547448,0.021873067738239382,1007,2777806.4952178
random_forest,4,Remaining teeth,5,1,0.0011793611377078628,0.021468718099128647,1007,2777806.4952178
random_forest,4,Food intake,1,9,-0.0004061847652561401,-0.0031509620413768813,1007,2777806.4952178
random_forest,4,Food intake,2,9,0.0006467411691821467,0.005522921980763096,1007,2777806.4952178
random_forest,4,Food intake,3,9,0.0010269957053446466,0.009163617736884233,1007,2777806.4952178
random_forest,4,Food intake,4,9,-5.2012591622685456e-05,-0.007420435209534504,1007,2777806.4952178
random_forest,4,Food intake,5,9,-0.0029628363814750147,-0.02893043764471137,1007,2777806.4952178
random_forest,4,Label-related behaviours,1,6,-0.0011610741400564784,-0.01453853435932917,1007,2777806.4952178
random_forest,4,Label-related behaviours,2,6,0.00029051034741681137,-0.0019413180464601387,1007,2777806.4952178
random_forest,4,Label-related behaviours,3,6,-0.0005210154967529579,-0.013100428877159231,1007,2777806.4952178
random_forest,4,Label-related behaviours,4,6,0.0005014202027321113,0.0031767610317010586,1007,2777806.4952178
random_forest,4,Label-related behaviours,5,6,0.0009978644078148247,0.008264529925979813,1007,2777806.4952178
random_forest,4,Beverages,1,3,-0.001040619246398894,-0.0074922401426040786,1007,2777806.4952178
random_forest,4,Beverages,2,3,0.0019524808833699947,0.019584736410549475,1007,2777806.4952178
random_forest,4,Beverages,3,3,-3.431910546780603e-05,0.0004132777305358992,1007,2777806.4952178
random_forest,4,Beverages,4,3,-0.0009311021294881594,-0.007877847324500253,1007,2777806.4952178
random_forest,4,Beverages,5,3,-0.00010062183403106162,-0.0012075616850282245,1007,2777806.4952178
random_forest,4,Cooking fat,1,1,5.1766122416085913e-05,-0.0001113342431873221,1007,2777806.4952178
random_forest,4,Cooking fat,2,1,0.00013737206422329007,0.0002897400022082719,1007,2777806.4952178
random_forest,4,Cooking fat,3,1,0.00014003316369917695,0.0003793725230033518,1007,2777806.4952178
random_forest,4,Cooking fat,4,1,1.776080179952122e-05,0.00015117467973735366,1007,2777806.4952178
random_forest,4,Cooking fat,5,1,-2.5498414685881654e-05,-0.00022941582179936137,1007,2777806.4952178
random_forest,5,Sociodemographic,1,7,0.0014064765293984316,0.018604416210415198,1005,2807410.1710247993
random_forest,5,Sociodemographic,2,7,0.002960625559631752,0.03500031534401893,1005,2807410.1710247993
random_forest,5,Sociodemographic,3,7,0.007237740468574283,0.04899243619749294,1005,2807410.1710247993
random_forest,5,Sociodemographic,4,7,-0.0027431853328667433,-0.021380145920008364,1005,2807410.1710247993
random_forest,5,Sociodemographic,5,7,0.0017782974358319659,0.021619632594341964,1005,2807410.1710247993
random_forest,5,Remaining teeth,1,1,0.004121818140612465,0.030782971721318608,1005,2807410.1710247993
random_forest,5,Remaining teeth,2,1,0.003861565447856541,0.04224410460990513,1005,2807410.1710247993
random_forest,5,Remaining teeth,3,1,-0.0005242920058354528,-0.004738684302172724,1005,2807410.1710247993
random_forest,5,Remaining teeth,4,1,0.0017111295006080052,0.016837053838420046,1005,2807410.1710247993
random_forest,5,Remaining teeth,5,1,0.004864211083920128,0.039077527499860154,1005,2807410.1710247993
random_forest,5,Food intake,1,9,0.0007116053220664609,0.016755589840811824,1005,2807410.1710247993
random_forest,5,Food intake,2,9,0.0006740721360148083,0.007738081509460204,1005,2807410.1710247993
random_forest,5,Food intake,3,9,0.0008907194939014318,0.008751297766961708,1005,2807410.1710247993
random_forest,5,Food intake,4,9,0.0012467723631324201,0.006718577931951519,1005,2807410.1710247993
random_forest,5,Food intake,5,9,-0.003386585120350144,-0.02351304782247121,1005,2807410.1710247993
random_forest,5,Label-related behaviours,1,6,9.361165599353072e-06,-0.0010395110985772504,1005,2807410.1710247993
random_forest,5,Label-related behaviours,2,6,-0.0020098060219115588,-0.01229702168421587,1005,2807410.1710247993
random_forest,5,Label-related behaviours,3,6,0.001050862247973905,0.004024778473110335,1005,2807410.1710247993
random_forest,5,Label-related behaviours,4,6,-0.0005901512882640625,-0.0006965667215236282,1005,2807410.1710247993
random_forest,5,Label-related behaviours,5,6,-0.0012378785224928524,-0.007051352107101505,1005,2807410.1710247993
random_forest,5,Beverages,1,3,-0.0006131052358219202,-0.004439124206077727,1005,2807410.1710247993
random_forest,5,Beverages,2,3,0.0009430569028307245,0.0068122138251085484,1005,2807410.1710247993
random_forest,5,Beverages,3,3,0.0005669250407291382,0.00036387515586833175,1005,2807410.1710247993
random_forest,5,Beverages,4,3,0.0013166937773312626,0.009265992995172057,1005,2807410.1710247993
random_forest,5,Beverages,5,3,0.0008473709274104124,0.0037467273697293635,1005,2807410.1710247993
random_forest,5,Cooking fat,1,1,-3.026170661843408e-05,0.0010384059053893946,1005,2807410.1710247993
random_forest,5,Cooking fat,2,1,1.8065715156140305e-05,0.0001059332823005743,1005,2807410.1710247993
random_forest,5,Cooking fat,3,1,4.237229538120446e-05,0.00025181463865520115,1005,2807410.1710247993
random_forest,5,Cooking fat,4,1,1.1317374083053e-05,-6.108809767391143e-05,1005,2807410.1710247993
random_forest,5,Cooking fat,5,1,4.373027182591471e-06,0.00012150301608770953,1005,2807410.1710247993
spline_logistic,1,Sociodemographic,1,7,0.011424628796631364,0.08400976883035993,1006,2861322.5562906265
spline_logistic,1,Sociodemographic,2,7,0.009394419142446264,0.08206007384175096,1006,2861322.5562906265
spline_logistic,1,Sociodemographic,3,7,0.009580637284954896,0.0628455494153034,1006,2861322.5562906265
spline_logistic,1,Sociodemographic,4,7,0.009760084884723741,0.07940234231173038,1006,2861322.5562906265
spline_logistic,1,Sociodemographic,5,7,0.010848717806254071,0.079130741049521,1006,2861322.5562906265
spline_logistic,1,Remaining teeth,1,1,0.007085282532248077,0.045192547903317726,1006,2861322.5562906265
spline_logistic,1,Remaining teeth,2,1,0.006293384925334017,0.044237667833807226,1006,2861322.5562906265
spline_logistic,1,Remaining teeth,3,1,0.0065593461741640935,0.046998455788896165,1006,2861322.5562906265
spline_logistic,1,Remaining teeth,4,1,0.0032717525710998507,0.019745142271798022,1006,2861322.5562906265
spline_logistic,1,Remaining teeth,5,1,0.0071664994338932475,0.06638899027598666,1006,2861322.5562906265
spline_logistic,1,Food intake,1,9,-0.003087373039054153,-0.020334618586395847,1006,2861322.5562906265
spline_logistic,1,Food intake,2,9,0.0004503236452625681,0.008800740856444778,1006,2861322.5562906265
spline_logistic,1,Food intake,3,9,-0.00034020128812209394,-0.004879127019315588,1006,2861322.5562906265
spline_logistic,1,Food intake,4,9,-0.003043162979554759,-0.022984508942973547,1006,2861322.5562906265
spline_logistic,1,Food intake,5,9,0.0010886191308447923,0.010099046712425008,1006,2861322.5562906265
