model,fold,auc,brier,log_loss,n_train,n_test,n_psu_train,n_psu_test,psu_overlap,test_weight_sum,selected_params,weighted_training,n_encoded_columns,n_constant_training_columns,representation
rf_complete_modern,1,0.6096186959615605,0.24253178212151935,0.6777640969930085,3997,997,860,212,0,2854394.5302591324,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,105,9,"Modern coding, complete cohort"
rf_complete_modern,2,0.5987857841244131,0.24202994948362574,0.6770243624199103,3997,997,853,219,0,2550707.318306923,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",True,105,9,"Modern coding, complete cohort"
rf_complete_modern,3,0.6006490530256156,0.24149526978221678,0.6754648505214842,3989,1005,861,211,0,2756937.4032588005,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",True,105,9,"Modern coding, complete cohort"
rf_complete_modern,4,0.6003058242300003,0.23909979668298934,0.6709446586133951,3999,995,856,216,0,2760460.2584929466,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",True,105,9,"Modern coding, complete cohort"
rf_complete_modern,5,0.562883332602686,0.24401953625988446,0.6810379404943394,3994,1000,858,214,0,2793890.080402851,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,105,9,"Modern coding, complete cohort"
rf_complete_historical,1,0.6168722654871303,0.24175103164525635,0.676085160094326,3997,997,860,212,0,2854394.5302591324,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,90,0,"Historical 90-term coding, complete cohort"
rf_complete_historical,2,0.5927854708318836,0.24257828537472179,0.6781932250343435,3997,997,853,219,0,2550707.318306923,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",True,90,0,"Historical 90-term coding, complete cohort"
rf_complete_historical,3,0.6028563731373022,0.2408237883902392,0.6739664589865443,3989,1005,861,211,0,2756937.4032588005,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",True,90,0,"Historical 90-term coding, complete cohort"
rf_complete_historical,4,0.5993026633930697,0.23907781732464606,0.6709308788334868,3999,995,856,216,0,2760460.2584929466,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",True,90,0,"Historical 90-term coding, complete cohort"
rf_complete_historical,5,0.5600882609602731,0.24425842388722188,0.681526688582086,3994,1000,858,214,0,2793890.080402851,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,90,0,"Historical 90-term coding, complete cohort"
