feature,mdi,n_encoded_columns,mdi_scaled,rank,model,fold,test_weight_sum,representation
age,0.12098869821986565,2,100.0,1.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
sex,0.042349357340498814,2,34.91738097159654,8.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
region,0.0521624049533064,15,43.03874659025866,4.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
rural,0.004044946023141944,2,3.2163089509268445,26.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
education,0.0400854422645051,3,33.04374468782376,10.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
indigenous,0.00534456704132894,2,4.291886882559314,24.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
born_chile,0.00015867930952196064,2,0.0,27.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
teeth_remaining,0.11147431720042385,2,92.12581351451952,2.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
fish,0.03251871104460784,4,26.78145052604613,16.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
dairy_frequency,0.0428250397524349,7,35.311059973077995,6.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
dairy_type,0.03259103217784769,3,26.841304140149685,15.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
wholegrain,0.03419597741401569,6,28.169571114401244,13.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
legumes,0.03153644953516881,4,25.968522150881455,17.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
fruit_days,0.037561866785526865,2,30.955211141494736,11.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
fruit_portions,0.02890653039667425,2,23.791977644630926,19.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
vegetable_days,0.03692807894797262,2,30.430682681373817,12.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
vegetable_portions,0.024185002441008033,2,19.884399049307184,22.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
label_ingredients,0.020488715611769504,5,16.82531914302894,23.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
label_nutrition,0.027850387275635675,5,22.917904189571516,20.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
label_warnings,0.02924681387533794,5,24.07359928280693,18.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
label_health,0.025165568114354782,5,20.69592393541544,21.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
label_brand,0.042000269696951927,5,34.62847292813599,9.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
label_discounts,0.034113673097229694,5,28.101455328665025,14.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
water,0.04336619485352422,2,35.7589247553312,5.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
soda_frequency,0.05250639048395234,2,43.32343207963294,3.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
juice_frequency,0.042695632122711116,2,35.203961065959724,7.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
oil,0.004709254020683638,7,3.766096167325953,25.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
age,0.10274075345475041,2,100.0,1.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
sex,0.028707355797593467,2,25.020960055691745,20.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
region,0.060440117053019306,15,57.159049742350355,3.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
rural,0.008520668608698628,2,4.576424576060386,24.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
education,0.03229925318263375,3,28.65873741066305,16.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
indigenous,0.00814451964606192,2,4.195470993122655,26.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
born_chile,0.004001962304388529,2,0.0,27.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
teeth_remaining,0.08841813600701165,2,85.49443710939511,2.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
fish,0.04356635512544309,4,40.06975613141235,7.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
dairy_frequency,0.04770494413289819,7,44.26120810204946,6.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
dairy_type,0.03070198837255104,3,27.041070441608962,17.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
wholegrain,0.03796573333184554,6,34.39759655932605,10.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
legumes,0.03743268169505733,4,33.85773615534716,11.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
fruit_days,0.036591196900886296,2,33.005502920194836,12.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
fruit_portions,0.03582046024888644,2,32.22492150632462,13.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
vegetable_days,0.02955040209499354,2,25.874774739442792,19.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
vegetable_portions,0.029749491115291474,2,26.076406760635713,18.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
label_ingredients,0.025544457972504698,5,21.817661951431756,23.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
label_nutrition,0.026743536395209214,5,23.03205642470268,22.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
label_warnings,0.03443683358162461,5,30.82362151962049,15.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
label_health,0.02775643976249664,5,24.057897794124504,21.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
label_brand,0.03552517210832139,5,31.92586159570106,14.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
label_discounts,0.03842090330932751,5,34.858580507153434,9.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
water,0.050223474240152895,2,46.811907860383975,5.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
soda_frequency,0.050912055383018844,2,47.50928437760035,4.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
juice_frequency,0.03963829783050386,2,36.091525033811116,8.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
oil,0.008442810344829766,7,4.497571814180511,25.0,rf_complete_modern,2,2550707.318306923,"Modern coding, complete cohort"
age,0.29729508511248015,2,100.0,1.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
sex,0.0903297352228546,2,30.383864297211232,3.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
region,0.013129836823555638,15,4.416432521441795,11.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
rural,0.0,2,0.0,24.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
education,0.036374888918267886,3,12.235280951417552,8.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
indigenous,0.0,2,0.0,24.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
born_chile,0.0,2,0.0,24.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
teeth_remaining,0.19750817711838617,2,66.43506300942039,2.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
fish,0.010018849144255248,4,3.3700016064727967,17.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
dairy_frequency,0.018386362284337984,7,6.184549696602483,9.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
dairy_type,0.008891866479582851,3,2.9909227985449727,20.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
wholegrain,0.01005174521746415,6,3.3810667316148604,16.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
