model,feature,mdi,minimum_fold_mdi,maximum_fold_mdi,median_rank,best_rank,worst_rank,fraction_top3,min_encoded_columns,max_encoded_columns,mdi_scaled,mean_rank,mdi_mean,rank,representation
rf_complete_modern,age,0.16701398897064168,0.10274075345475041,0.29729508511248015,1.0,1.0,1.0,1.0,2,2,100.0,1.0,0.16701398897064168,1.0,"Modern coding, complete cohort"
rf_complete_modern,sex,0.05330432165609964,0.028707355797593467,0.0903297352228546,6.0,3.0,20.0,0.2,2,2,31.559838988690974,3.0,0.05330432165609964,3.0,"Modern coding, complete cohort"
rf_complete_modern,region,0.04162926441573034,0.013129836823555638,0.060440117053019306,4.0,3.0,11.0,0.2,15,15,24.532795323733062,6.0,0.04162926441573034,6.0,"Modern coding, complete cohort"
rf_complete_modern,rural,0.004256109954792085,0.0,0.008520668608698628,24.0,24.0,26.0,0.0,2,2,2.038448367887007,24.0,0.004256109954792085,24.0,"Modern coding, complete cohort"
rf_complete_modern,education,0.03880883681646945,0.03229925318263375,0.049092422468532196,10.0,5.0,16.0,0.0,3,3,22.83522181417211,8.0,0.03880883681646945,8.0,"Modern coding, complete cohort"
rf_complete_modern,indigenous,0.003548084042455001,0.0,0.00814451964606192,25.0,24.0,26.0,0.0,2,2,1.61229808018555,25.0,0.003548084042455001,25.0,"Modern coding, complete cohort"
rf_complete_modern,born_chile,0.0008693370085390562,0.0,0.004001962304388529,27.0,24.0,27.0,0.0,2,2,0.0,27.0,0.0008693370085390562,27.0,"Modern coding, complete cohort"
rf_complete_modern,teeth_remaining,0.13610722408978573,0.08841813600701165,0.19750817711838617,2.0,2.0,2.0,1.0,2,2,81.39767695447354,2.0,0.13610722408978573,2.0,"Modern coding, complete cohort"
rf_complete_modern,fish,0.02877206771491319,0.010018849144255248,0.04356635512544309,16.0,7.0,18.0,0.0,4,4,16.794239463536094,14.0,0.02877206771491319,14.0,"Modern coding, complete cohort"
rf_complete_modern,dairy_frequency,0.03877482374435686,0.018386362284337984,0.04770494413289819,6.0,6.0,9.0,0.0,7,7,22.814749850909433,9.0,0.03877482374435686,9.0,"Modern coding, complete cohort"
rf_complete_modern,dairy_type,0.023903688159647513,0.008891866479582851,0.03259103217784769,18.0,15.0,20.0,0.0,3,3,13.86403406855525,19.0,0.023903688159647513,19.0,"Modern coding, complete cohort"
rf_complete_modern,wholegrain,0.033609621653211456,0.01005174521746415,0.04474178954922939,10.0,5.0,16.0,0.0,6,6,19.705891377196068,12.0,0.033609621653211456,12.0,"Modern coding, complete cohort"
rf_complete_modern,legumes,0.026860408790101847,0.012051234931812788,0.03743268169505733,16.0,11.0,17.0,0.0,4,4,15.64364033065074,17.0,0.026860408790101847,17.0,"Modern coding, complete cohort"
rf_complete_modern,fruit_days,0.04071689157551026,0.02698072890278813,0.06886076603139897,12.0,5.0,15.0,0.0,2,2,23.98365165317532,7.0,0.04071689157551026,7.0,"Modern coding, complete cohort"
rf_complete_modern,fruit_portions,0.02987672901314242,0.015422473763344208,0.03591668724357747,10.0,10.0,19.0,0.0,2,2,17.459118702911912,13.0,0.02987672901314242,13.0,"Modern coding, complete cohort"
