encoded_column,feature,mdi,training_constant,mdi_scaled,rank,model,fold,test_weight_sum,representation
numeric__age,age,0.12098869821986565,False,100.0,1.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric__teeth_remaining,teeth_remaining,0.11147431720042385,False,92.13614068137846,2.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric__fruit_days,fruit_days,0.037561866785526865,False,31.045764883979405,6.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric__fruit_portions,fruit_portions,0.02890653039667425,False,23.891926123664962,8.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric__vegetable_days,vegetable_days,0.03692807894797262,False,30.52192435434374,7.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric__vegetable_portions,vegetable_portions,0.024185002441008033,False,19.989472402668596,9.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric__water,water,0.04336619485352422,False,35.84317832291855,4.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric__soda_frequency,soda_frequency,0.05250639048395234,False,43.397764631317514,3.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric__juice_frequency,juice_frequency,0.042695632122711116,False,35.28894248049752,5.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric_missing__missingindicator_age,age,0.0,True,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric_missing__missingindicator_teeth_remaining,teeth_remaining,0.0,True,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric_missing__missingindicator_fruit_days,fruit_days,0.0,True,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric_missing__missingindicator_fruit_portions,fruit_portions,0.0,True,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric_missing__missingindicator_vegetable_days,vegetable_days,0.0,True,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric_missing__missingindicator_vegetable_portions,vegetable_portions,0.0,True,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric_missing__missingindicator_water,water,0.0,True,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric_missing__missingindicator_soda_frequency,soda_frequency,0.0,True,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
numeric_missing__missingindicator_juice_frequency,juice_frequency,0.0,True,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__sex_Female,sex,0.02090149439296269,False,17.275575901295866,11.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__sex_Male,sex,0.02144786294753612,False,17.72716234086607,10.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_01 Arica and Parinacota,region,0.0,False,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_02 Tarapaca,region,0.00043648191018451295,False,0.36076254774749295,83.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_03 Antofagasta,region,0.0013629560060423364,False,1.1265151424024056,76.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_04 Atacama,region,0.00010078049336977568,False,0.08329744418493801,88.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_05 Coquimbo,region,0.0003472657890883584,False,0.2870233287883573,84.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_06 Valparaiso,region,0.012965363162522784,False,10.716177091980601,21.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_07 Metropolitan,region,0.012820298306011581,False,10.596277581823392,22.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_08 O'Higgins,region,0.011663458015966263,False,9.640121918471218,24.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_09 Maule,region,0.0010246625694535407,False,0.8469076736336824,81.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_10 Biobio,region,0.009050909479158169,False,7.480789207856822,32.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_11 La Araucania,region,0.0012067198998673002,False,0.9973823320872494,80.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_12 Los Rios,region,0.0003084479177721213,False,0.25493944666765245,85.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_13 Los Lagos,region,0.0007104995465562887,False,0.5872445583844035,82.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_14 Aysen,region,0.00016456185731336727,False,0.13601423912696264,86.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__region_15 Magallanes and Antarctica,region,0.0,False,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__rural_Rural,rural,0.0027026093028616944,False,2.233770048463867,61.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__rural_Urban,rural,0.0013423367202802497,False,1.1094728185610363,77.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__education_High,education,0.020187763767299555,False,16.68566078016107,12.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__education_Intermediate,education,0.014065428481078305,False,11.625406908270085,20.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__education_Low,education,0.005832250016127237,False,4.820491584700442,42.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__indigenous_No,indigenous,0.0030053945506141283,False,2.4840291653957642,59.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__indigenous_Yes,indigenous,0.0023391724907148117,False,1.9333809894077636,67.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__born_chile_No,born_chile,0.00015867930952196064,False,0.1311521752499577,87.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__born_chile_Yes,born_chile,0.0,False,0.0,89.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__fish_Less than once/month or never,fish,0.008826688899965367,False,7.295465634257131,33.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__fish_Less than three times/month,fish,0.00994400732389418,False,8.218955547255762,27.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__fish_More than once/week,fish,0.002012963495008835,False,1.6637615947820144,71.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__fish_Once/week,fish,0.01173505132573945,False,9.699295470072776,23.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_frequency_At least once/month,dairy_frequency,0.004746809550810035,False,3.923349553016876,49.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_frequency_At least once/week,dairy_frequency,0.006300683402903078,False,5.207662778099502,40.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_frequency_At least three times/day,dairy_frequency,0.0012223368417521457,False,1.0102901012546353,79.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_frequency_Every other day,dairy_frequency,0.004809179934388368,False,3.9749001395559516,47.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_frequency_Less than three times/day,dairy_frequency,0.0023574186856768096,False,1.948461897980596,66.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_frequency_Never,dairy_frequency,0.007604241631597942,False,6.285084262812053,36.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_frequency_Once/day,dairy_frequency,0.015784369705306524,False,13.046152192349833,16.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_type_Full fat,dairy_type,0.010073331216567062,False,8.325844781188893,26.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_type_No dairy,dairy_type,0.008254862128255947,False,6.822837380442652,34.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__dairy_type_Reduced fat,dairy_type,0.014262838833024677,False,11.788571199522833,19.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__wholegrain_At least once/month,wholegrain,0.002403910278353829,False,1.9868882909917291,63.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__wholegrain_At least once/week,wholegrain,0.002529201208391413,False,2.0904441866092687,62.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__wholegrain_Daily,wholegrain,0.008169785983848255,False,6.752519949426833,35.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__wholegrain_Every other day,wholegrain,0.0021096532941701856,False,1.743677984150583,70.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__wholegrain_More than once/day,wholegrain,0.0013001246728201767,False,1.0745835701592032,78.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__wholegrain_Never,wholegrain,0.017683301976431833,False,14.61566430303846,13.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__legumes_At least once/week,legumes,0.014647942590097822,False,12.106868497319457,18.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__legumes_At least twice/week,legumes,0.009072652272845884,False,7.49876013737968,31.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__legumes_Less than once/month or never,legumes,0.0037750687746473882,False,3.120182984188472,53.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__legumes_One to three times/month,legumes,0.004040785897577722,False,3.3398044255626584,51.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_ingredients_Almost always,label_ingredients,0.004910777984065348,False,4.058873313225736,46.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_ingredients_Always,label_ingredients,0.005035223821372707,False,4.161730719858222,45.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_ingredients_Never,label_ingredients,0.005470233116758824,False,4.521276116896548,44.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_ingredients_Rarely,label_ingredients,0.003347769855199145,False,2.7670103939092225,56.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_ingredients_Sometimes,label_ingredients,0.0017247108343734802,False,1.425514002340338,74.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_nutrition_Almost always,label_nutrition,0.010572839852551537,False,8.738700397733131,25.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_nutrition_Always,label_nutrition,0.004797951460602141,False,3.965619542317172,48.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_nutrition_Never,label_nutrition,0.006394529739791617,False,5.285228979132592,39.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_nutrition_Rarely,label_nutrition,0.0037263418713868123,False,3.0799090544929664,55.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_nutrition_Sometimes,label_nutrition,0.0023587243513035682,False,1.9495410612792918,65.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_warnings_Almost always,label_warnings,0.0029139596072133875,False,2.4084560377019844,60.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_warnings_Always,label_warnings,0.006737691124601676,False,5.568859921409905,37.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_warnings_Never,label_warnings,0.015825138579820843,False,13.079848624425027,15.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_warnings_Rarely,label_warnings,0.0019872181135048893,False,1.6424824324447518,72.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_warnings_Sometimes,label_warnings,0.0017828064501971455,False,1.473531392954866,73.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_health_Almost always,label_health,0.003998236426005781,False,3.3046362882093505,52.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_health_Always,label_health,0.00588862378914145,False,4.867085831802571,41.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_health_Never,label_health,0.009876708700147223,False,8.163331654497895,28.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
categorical__label_health_Rarely,label_health,0.0037565655433704223,False,3.104889629065879,54.0,rf_complete_modern,1,2854394.5302591324,"Modern coding, complete cohort"
