model,fold,candidate,params,inner_weighted_log_loss,inner_fold_log_losses,selected
logistic,1,0,"{""C"": 0.0001}",0.6857381688494787,"[0.6862752218418151, 0.6847784336115669, 0.6861204176125221]",False
logistic,1,1,"{""C"": 0.001}",0.681096169058508,"[0.6841591405507907, 0.6812110209041498, 0.6777052490658795]",True
logistic,1,2,"{""C"": 0.01}",0.6865116020932869,"[0.692642508954305, 0.6889074664923481, 0.6775650776438761]",False
logistic,1,3,"{""C"": 0.1}",0.7030564204476784,"[0.709129670843562, 0.7032209508487166, 0.6963959142810934]",False
logistic,1,4,"{""C"": 1.0}",0.7141811973985043,"[0.7187213236764209, 0.7142870716602151, 0.7092191301396485]",False
logistic,1,5,"{""C"": 10.0}",0.716827055707096,"[0.7210865559876051, 0.7173568893492442, 0.7117425398659385]",False
logistic,2,0,"{""C"": 0.0001}",0.6882598470490036,"[0.6877155341197007, 0.6841921292213592, 0.6921827416776604]",False
logistic,2,1,"{""C"": 0.001}",0.6862136954986392,"[0.688797882612082, 0.6807899462429471, 0.6884074147183133]",True
logistic,2,2,"{""C"": 0.01}",0.6962530035550314,"[0.707917363634508, 0.6889548138791359, 0.6916931113464146]",False
logistic,2,3,"{""C"": 0.1}",0.7194380466585738,"[0.7311339744944564, 0.7182390225517858, 0.709715999663308]",False
logistic,2,4,"{""C"": 1.0}",0.7361787467131954,"[0.7416815683032639, 0.7437067793736987, 0.7247940768364667]",False
logistic,2,5,"{""C"": 10.0}",0.7404375529635778,"[0.7442173667983555, 0.7502711869931562, 0.7286933215255875]",False
logistic,3,0,"{""C"": 0.0001}",0.6874116694896922,"[0.6852094563361186, 0.6930635575254344, 0.6837791829273681]",False
logistic,3,1,"{""C"": 0.001}",0.6839263257917767,"[0.6816873366799409, 0.6897535341894242, 0.6801441863562481]",True
logistic,3,2,"{""C"": 0.01}",0.693530134075702,"[0.6908098418872102, 0.7026826116724544, 0.686656054123527]",False
logistic,3,3,"{""C"": 0.1}",0.7114069961203586,"[0.7098962943917779, 0.7273943045136579, 0.6955996585965228]",False
logistic,3,4,"{""C"": 1.0}",0.7223008587770902,"[0.7191258968192197, 0.7440544233514774, 0.7021045730622081]",False
logistic,3,5,"{""C"": 10.0}",0.72505391032441,"[0.7204665978159578, 0.7481011944013245, 0.705091018879673]",False
logistic,4,0,"{""C"": 0.0001}",0.6887327153242091,"[0.6871430901625399, 0.6863187487875645, 0.6925986180327179]",False
logistic,4,1,"{""C"": 0.001}",0.6833496755178069,"[0.6841447659081356, 0.6782633501016208, 0.6874355191919994]",True
logistic,4,2,"{""C"": 0.01}",0.6895940488964388,"[0.6918681820022408, 0.6792305477052187, 0.6972782995286995]",False
logistic,4,3,"{""C"": 0.1}",0.7086477803216085,"[0.7117812448617284, 0.6944198143408391, 0.7191863308567285]",False
logistic,4,4,"{""C"": 1.0}",0.7216609328147097,"[0.7234761742167464, 0.7051787429577414, 0.7356467506373241]",False
logistic,4,5,"{""C"": 10.0}",0.7254241548983463,"[0.7260612659424647, 0.7081691967441778, 0.7413031124550169]",False
logistic,5,0,"{""C"": 0.0001}",0.6881203559786754,"[0.69094705439923, 0.6881754045631358, 0.6851228930377216]",False
logistic,5,1,"{""C"": 0.001}",0.6813804699016497,"[0.6843663150456544, 0.6810032821024916, 0.6786041290342004]",True
logistic,5,2,"{""C"": 0.01}",0.683959705811752,"[0.6811662058891719, 0.6870967493187746, 0.6840637323301716]",False
logistic,5,3,"{""C"": 0.1}",0.7015040516645412,"[0.6902041440303349, 0.7106344982076258, 0.7051123645388923]",False
logistic,5,4,"{""C"": 1.0}",0.713469091020911,"[0.6969281068575908, 0.7269996000540817, 0.7186030301894105]",False
logistic,5,5,"{""C"": 10.0}",0.7162457019343179,"[0.6989651649864684, 0.7308592509688364, 0.721181010827094]",False
spline_logistic,1,0,"{""C"": 0.0001}",0.6823119790746912,"[0.6830331774641992, 0.6809738032680903, 0.6828745044769933]",False
spline_logistic,1,1,"{""C"": 0.001}",0.673583361050884,"[0.6776618100559939, 0.671542745345474, 0.6712549105899801]",True
spline_logistic,1,2,"{""C"": 0.01}",0.67992336933156,"[0.6897196637027767, 0.6755986253235675, 0.6737555733327504]",False
spline_logistic,1,3,"{""C"": 0.1}",0.6974801653272661,"[0.7079401080971128, 0.6875511152941846, 0.6961892208229961]",False
