model,feature,brier_increase,auc_drop,median_rank,best_rank,worst_rank,fraction_top3,minimum_fold_brier_increase,maximum_fold_brier_increase
random_forest,age,0.0031970008873085944,0.025408479419328688,2.0,1.0,13.0,0.8,0.00013412254854544003,0.004813169457166538
random_forest,born_chile,-0.00011350685520285585,-0.0005828774985590683,17.0,14.0,20.0,0.0,-0.0005305654312180331,8.259931276383137e-06
random_forest,dairy_frequency,0.00023824292550705164,0.002262007425637406,10.0,2.0,22.0,0.2,-0.00012418141794771632,0.0008508947863558214
random_forest,dairy_type,-0.00045742548227236177,-0.002164378028876286,10.0,9.0,27.0,0.0,-0.0027589124640999664,0.0002771293701599398
random_forest,education,0.00028616902052083256,0.0034736088193123814,7.0,5.0,25.0,0.0,-0.00043997194794431207,0.000922880967382439
random_forest,fish,-0.0005062270066636227,-0.002362365128343929,14.0,9.0,27.0,0.0,-0.002224905929127258,0.00023150753256975242
random_forest,fruit_days,-0.0005511148609994699,-0.0025558519708973487,23.0,7.0,27.0,0.0,-0.0012072024944764393,0.00032125778446054907
random_forest,fruit_portions,-3.23346107005294e-05,0.000951252041536453,11.0,5.0,27.0,0.0,-0.00110986019333289,0.0005880961348783576
random_forest,indigenous,-9.853981659242438e-05,-0.0003766155917117968,17.0,15.0,21.0,0.0,-0.0004169384849559921,1.9942659724891954e-05
random_forest,juice_frequency,5.33270445835322e-05,0.0010952091160501877,11.0,6.0,25.0,0.0,-0.0003412369938978033,0.0005395139621540756
random_forest,label_brand,-0.00016785583014998284,-0.0001473653707286292,14.0,8.0,27.0,0.0,-0.0011261312471688213,0.00027661780284925496
random_forest,label_discounts,-0.0002506145022195458,1.4371859829124548e-05,22.0,11.0,23.0,0.0,-0.0008227214406395566,0.0001254143224455162
random_forest,label_health,-0.00027073082565726885,-0.0013317779243260859,20.0,15.0,26.0,0.0,-0.0009238457654460297,3.961843826968403e-05
random_forest,label_ingredients,-0.0004396792561945953,-0.002634979142403953,22.0,21.0,25.0,0.0,-0.0007111514511063177,-8.558092897834046e-05
random_forest,label_nutrition,-0.00023235617654165596,-0.0009271979826613707,20.0,9.0,24.0,0.0,-0.0005986989599562232,0.0002663563893741172
random_forest,label_warnings,-0.00019549068037197996,-0.0005609635056063108,8.0,5.0,26.0,0.0,-0.0013602917820392801,0.0006349896982425329
random_forest,legumes,0.00011838535437782464,0.0025444018609310673,13.0,5.0,16.0,0.0,-0.00013631950230000856,0.00043112931417847445
random_forest,oil,-2.6371891693031344e-06,-0.0007137488461800519,16.0,12.0,18.0,0.0,-0.0001330214193560275,0.0001189471432356537
random_forest,region,0.0007014459408920078,0.0073869313562136335,4.0,3.0,11.0,0.2,0.00022330188437374442,0.0014914108912173207
random_forest,rural,-7.546798087713363e-05,-0.00035872954114656605,19.0,9.0,22.0,0.0,-0.0003496934826725584,0.00025402831786268675
random_forest,sex,0.0014318959665490913,0.008899191411462483,3.0,2.0,4.0,0.6,0.0005201355345208769,0.002086193427972521
random_forest,soda_frequency,0.00015305550693905693,0.003486446808426869,13.0,4.0,23.0,0.0,-0.0002957042749592353,0.0006032371311649965
random_forest,teeth_remaining,0.004375532713914719,0.03329076246649354,1.0,1.0,3.0,1.0,0.0013848470383479028,0.00861005309027078
random_forest,vegetable_days,-0.00011919036085767529,-0.0006462632082681203,17.0,6.0,26.0,0.0,-0.0005344808391216594,0.000290682779547724
random_forest,vegetable_portions,-0.00015988555576345792,-0.0006707487633590753,17.0,12.0,24.0,0.0,-0.0006819202555836846,0.0001342343746657926
random_forest,water,-0.0001556113862937438,0.000381606660661925,15.0,10.0,24.0,0.0,-0.0010650164481821101,0.00022860723238978808
random_forest,wholegrain,0.00028396251739453993,0.0007488224814532006,6.0,3.0,26.0,0.2,-0.0007713490886340546,0.0010524316000869282
spline_logistic,age,0.0043254054109240535,0.0314656737607693,1.0,1.0,25.0,0.8,-0.0004906297450359253,0.007405857300350055
spline_logistic,born_chile,-4.6778709822688595e-05,-0.00031299974325884385,17.0,15.0,24.0,0.0,-9.048336506624622e-05,1.2362636057250409e-06
spline_logistic,dairy_frequency,0.00010191730305181081,0.00018962851896304813,11.0,7.0,23.0,0.0,-9.899684610174541e-05,0.0002870252767130599
spline_logistic,dairy_type,4.813684380989499e-05,-0.0004968663528395516,10.0,7.0,26.0,0.0,-0.000475785632209752,0.0003710430487008476
spline_logistic,education,9.700794438948606e-05,0.0011837884842466596,12.0,5.0,25.0,0.0,-0.00025090539630009403,0.00040194001913319567
spline_logistic,fish,-0.00029295510801759396,-0.0018804908120062407,21.0,18.0,27.0,0.0,-0.0007282397872516889,2.9837475628313738e-05
spline_logistic,fruit_days,8.083548040968554e-05,-0.0004334408439267315,20.0,4.0,27.0,0.0,-0.00019443068463276258,0.0004661050920538867
spline_logistic,fruit_portions,0.00015225820449948013,0.0022451106539545028,4.0,3.0,27.0,0.2,-0.0008205023417740487,0.0008574435454122897
spline_logistic,indigenous,3.262127506965624e-06,7.67799604812029e-05,15.0,13.0,19.0,0.0,-1.3441663606961197e-05,2.186754266283453e-05
spline_logistic,juice_frequency,2.4120201513864422e-05,0.0002725843253418894,14.0,11.0,18.0,0.0,-4.615800700941142e-05,0.00010609805938165407
spline_logistic,label_brand,0.0001153019819327383,0.00013967145848338156,12.0,9.0,17.0,0.0,-9.047852283901592e-05,0.00021279760113131484
spline_logistic,label_discounts,-0.0001065550042037988,-0.0002399276197212068,19.0,13.0,25.0,0.0,-0.000434525460163776,0.00011131222506440275
spline_logistic,label_health,-0.00012087896121554628,-0.001172186875784003,21.0,12.0,24.0,0.0,-0.0003571509240912818,3.5945407928478224e-05
spline_logistic,label_ingredients,8.392407581772801e-06,-0.0002945367470162719,15.0,12.0,20.0,0.0,-8.705941614646773e-05,6.844902706345523e-05
spline_logistic,label_nutrition,3.144020646803048e-05,-0.0002084498150210768,13.0,8.0,24.0,0.0,-0.00024676107708770934,0.0002965886801423845
spline_logistic,label_warnings,0.00027541830920514015,0.0006613180464346323,6.0,3.0,26.0,0.2,-0.00011078021925776671,0.0005257776180242757
spline_logistic,legumes,3.7814656222404684e-05,0.00015992650394865948,14.0,11.0,22.0,0.0,-0.00012011760221914414,0.00020932408805635072
spline_logistic,oil,-1.059776086048415e-05,-4.367381029630571e-05,17.0,13.0,22.0,0.0,-4.067118075898879e-05,3.7657313966654725e-06
spline_logistic,region,0.00040469114981864544,0.0030405920992512625,6.0,5.0,8.0,0.0,0.00024786350412290826,0.0006427341542779242
spline_logistic,rural,-5.522642748743046e-05,-0.00036135678221623673,19.0,16.0,21.0,0.0,-0.0001298865146519723,1.1649487651749224e-05
spline_logistic,sex,0.0006610629117371215,0.004106783839964714,3.0,3.0,7.0,0.6,0.00044694536514831016,0.0010592892824725253
spline_logistic,soda_frequency,7.594200575458733e-05,0.0005257862614220566,10.0,2.0,27.0,0.2,-0.0011976413863091172,0.0007803098995891155
spline_logistic,teeth_remaining,0.0044156112225321575,0.03772322242855386,2.0,1.0,2.0,1.0,0.002385318852191043,0.005840358486304559
spline_logistic,vegetable_days,9.272976939969536e-05,-0.0001142220010846803,11.0,5.0,26.0,0.0,-0.0005925890584963401,0.0007292258294638143
spline_logistic,vegetable_portions,-0.00014666604335750535,-0.00012936153647821725,10.0,7.0,27.0,0.0,-0.0012249364665114781,0.0003018584220653042
