model,fold,candidate,params,inner_weighted_log_loss,inner_fold_log_losses,selected
logistic,1,0,"{""C"": 0.1}",0.7030564204476784,"[0.709129670843562, 0.7032209508487166, 0.6963959142810934]",True
logistic,1,1,"{""C"": 1.0}",0.7141811973985043,"[0.7187213236764209, 0.7142870716602151, 0.7092191301396485]",False
logistic,1,2,"{""C"": 10.0}",0.716827055707096,"[0.7210865559876051, 0.7173568893492442, 0.7117425398659385]",False
logistic,2,0,"{""C"": 0.1}",0.7194380466585738,"[0.7311339744944564, 0.7182390225517858, 0.709715999663308]",True
logistic,2,1,"{""C"": 1.0}",0.7361787467131954,"[0.7416815683032639, 0.7437067793736987, 0.7247940768364667]",False
logistic,2,2,"{""C"": 10.0}",0.7404375529635778,"[0.7442173667983555, 0.7502711869931562, 0.7286933215255875]",False
logistic,3,0,"{""C"": 0.1}",0.7114069961203586,"[0.7098962943917779, 0.7273943045136579, 0.6955996585965228]",True
logistic,3,1,"{""C"": 1.0}",0.7223008587770902,"[0.7191258968192197, 0.7440544233514774, 0.7021045730622081]",False
logistic,3,2,"{""C"": 10.0}",0.72505391032441,"[0.7204665978159578, 0.7481011944013245, 0.705091018879673]",False
logistic,4,0,"{""C"": 0.1}",0.7086477803216085,"[0.7117812448617284, 0.6944198143408391, 0.7191863308567285]",True
logistic,4,1,"{""C"": 1.0}",0.7216609328147097,"[0.7234761742167464, 0.7051787429577414, 0.7356467506373241]",False
logistic,4,2,"{""C"": 10.0}",0.7254241548983463,"[0.7260612659424647, 0.7081691967441778, 0.7413031124550169]",False
logistic,5,0,"{""C"": 0.1}",0.7015040516645412,"[0.6902041440303349, 0.7106344982076258, 0.7051123645388923]",True
logistic,5,1,"{""C"": 1.0}",0.713469091020911,"[0.6969281068575908, 0.7269996000540817, 0.7186030301894105]",False
logistic,5,2,"{""C"": 10.0}",0.7162457019343179,"[0.6989651649864684, 0.7308592509688364, 0.721181010827094]",False
spline_logistic,1,0,"{""C"": 0.1}",0.6974801653272661,"[0.7079401080971128, 0.6875511152941846, 0.6961892208229961]",True
spline_logistic,1,1,"{""C"": 1.0}",0.7090318360173444,"[0.7176861998009554, 0.6978532723490566, 0.7109178993205282]",False
spline_logistic,1,2,"{""C"": 10.0}",0.7118008669628403,"[0.7200972587435552, 0.7003043403861798, 0.7143868159097174]",False
spline_logistic,2,0,"{""C"": 0.1}",0.7074678922855282,"[0.7304478441026833, 0.6967663459115345, 0.6953901310418642]",True
spline_logistic,2,1,"{""C"": 1.0}",0.7241829466700986,"[0.7418523366817747, 0.7216082334225865, 0.7101379774171473]",False
spline_logistic,2,2,"{""C"": 10.0}",0.7289061077341416,"[0.7442209595984477, 0.7285044793658593, 0.715192543362197]",False
spline_logistic,3,0,"{""C"": 0.1}",0.7031966946637193,"[0.7012584701834657, 0.7237829876432448, 0.6828338748876738]",True
spline_logistic,3,1,"{""C"": 1.0}",0.715889320760523,"[0.7112664833455549, 0.7431745941447709, 0.6913082834126953]",False
spline_logistic,3,2,"{""C"": 10.0}",0.7196449101398102,"[0.713573761488357, 0.7484250828368616, 0.6951182251032714]",False
spline_logistic,4,0,"{""C"": 0.1}",0.7022874954754771,"[0.716887463164542, 0.6919044125325882, 0.6979166140965413]",True
spline_logistic,4,1,"{""C"": 1.0}",0.7160790213455916,"[0.7343636693238756, 0.7019809013596272, 0.7116519327738978]",False
spline_logistic,4,2,"{""C"": 10.0}",0.719913730770831,"[0.738231985146739, 0.703914660676317, 0.7172718358149649]",False
spline_logistic,5,0,"{""C"": 0.1}",0.6952401347306336,"[0.694412619785127, 0.7016431475470966, 0.6903687225269738]",True
spline_logistic,5,1,"{""C"": 1.0}",0.7091625295824672,"[0.7063493509189023, 0.7174423231898889, 0.7046812758122672]",False
spline_logistic,5,2,"{""C"": 10.0}",0.7124375557169137,"[0.7096343684234004, 0.7216244639049139, 0.7071334769006322]",False
random_forest,1,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.6779725132503271,"[0.6866292929609207, 0.6733521221759768, 0.6733183648118474]",False
random_forest,1,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6767475040441367,"[0.6833830039056245, 0.6753339656475219, 0.6710586907143744]",True
random_forest,1,2,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6888368209699198,"[0.7027012004085366, 0.6812839478755778, 0.6815354538971303]",False
