reported_glasses_per_day,original_r_factor_index,n_dentate_before_complete_case_deletion,level_selection
0.0,1,392,"Observed among dentate participants before drop_na, as in original QMD"
1.0,2,590,"Observed among dentate participants before drop_na, as in original QMD"
2.0,3,734,"Observed among dentate participants before drop_na, as in original QMD"
3.0,4,677,"Observed among dentate participants before drop_na, as in original QMD"
4.0,5,838,"Observed among dentate participants before drop_na, as in original QMD"
5.0,6,429,"Observed among dentate participants before drop_na, as in original QMD"
6.0,7,411,"Observed among dentate participants before drop_na, as in original QMD"
7.0,8,116,"Observed among dentate participants before drop_na, as in original QMD"
8.0,9,477,"Observed among dentate participants before drop_na, as in original QMD"
9.0,10,31,"Observed among dentate participants before drop_na, as in original QMD"
10.0,11,187,"Observed among dentate participants before drop_na, as in original QMD"
11.0,12,8,"Observed among dentate participants before drop_na, as in original QMD"
12.0,13,80,"Observed among dentate participants before drop_na, as in original QMD"
13.0,14,1,"Observed among dentate participants before drop_na, as in original QMD"
14.0,15,5,"Observed among dentate participants before drop_na, as in original QMD"
15.0,16,23,"Observed among dentate participants before drop_na, as in original QMD"
16.0,17,4,"Observed among dentate participants before drop_na, as in original QMD"
18.0,18,3,"Observed among dentate participants before drop_na, as in original QMD"
20.0,19,15,"Observed among dentate participants before drop_na, as in original QMD"
24.0,20,4,"Observed among dentate participants before drop_na, as in original QMD"
25.0,21,1,"Observed among dentate participants before drop_na, as in original QMD"
28.0,22,1,"Observed among dentate participants before drop_na, as in original QMD"
30.0,23,3,"Observed among dentate participants before drop_na, as in original QMD"
32.0,24,1,"Observed among dentate participants before drop_na, as in original QMD"
40.0,25,1,"Observed among dentate participants before drop_na, as in original QMD"
