model,weighting,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status,auc_low,auc_high,brier_low,brier_high,log_loss_low,log_loss_high
decision_tree,Survey weighted,5036,2689,0.5463828346116878,0.5530849600574096,0.587724850521772,0.24663596682829234,0.6866676394867988,0.533957185734011,0.5650723606562509,0.5965720917306969,0.5016524916877216,0.5480715631827988,0.5495147731951309,0.5472639029090532,-0.003650785006705992,0.5775181334316641,0.0749458804681516,Estimated,0.5264080530134297,0.5785464423854172,0.24190756012490147,0.25108531845798593,0.6769430859537178,0.6958614584080902
decision_tree,Unweighted,5036,2689,0.5339555202541699,0.5709654745469201,0.5879429194002121,0.24629988701700012,0.6858655579706805,0.6314615098549647,0.4801874733702599,0.5819054146675805,0.5321057601510859,0.5609610802223988,0.5558244916126123,0.5612990593746964,-0.11344001989148281,0.7359987350257743,-0.04835842887073957,Estimated,,,,,,
hist_gradient_boosting,Survey weighted,5036,2689,0.5463828346116878,0.5854138631725608,0.6277153047854399,0.24418950087801464,0.6817660376320119,0.6768988172205511,0.41489329661415303,0.5821957895767287,0.5159919283180386,0.5580486156469877,0.5458960569173521,0.5440406029612012,0.010010275668609766,0.6101886962812124,0.07531485058208308,Estimated,0.5570212719837967,0.6127369539764606,0.23833201126864498,0.25036307153669846,0.6693384976099339,0.6951458368412431
hist_gradient_boosting,Unweighted,5036,2689,0.5339555202541699,0.612920080436274,0.6355047965120728,0.23973659606540332,0.672430148436147,0.7385645221271848,0.39923306348530035,0.5848056537102473,0.5713414634146341,0.5804209690230341,0.5688987928062426,0.5547391192916773,-0.0885884991823508,0.8368059134424541,-0.053295657204890254,Estimated,,,,,,
knn,Survey weighted,5036,2689,0.5463828346116878,0.597980094878629,0.6330786595228544,0.2410590112711366,0.6749973449190323,0.7561957611106016,0.3751381873823033,0.5931097726423886,0.5609115995704949,0.5833415046662231,0.5656669742464524,0.5382235587280872,0.03344301092268157,1.3279538555002317,-0.015216758950482624,Estimated,0.5695087851236481,0.6249274487785389,0.23752317556834399,0.2449707194752831,0.6678190048302725,0.6829115021153931
knn,Unweighted,5036,2689,0.5339555202541699,0.6032132678337461,0.6228804905763887,0.2415071334616236,0.6759157029295164,0.8099665303086651,0.30038346825734985,0.5701570680628272,0.5797697368421053,0.5724781572676727,0.5551749992830075,0.5460322308045329,-0.049432377814337444,1.4385152197276057,-0.12966712597610827,Estimated,,,,,,
logistic,Survey weighted,5036,2689,0.5463828346116878,0.5744616775848411,0.6041821036734243,0.2443571996157246,0.6818663336905034,0.8342061825084047,0.22111191723045015,0.5633279539567635,0.525442440450354,0.5560960997771891,0.5276590498694275,0.5458676743833881,0.0021004793395463708,1.1601161088799146,-0.026886773785383487,Estimated,0.5440498209685173,0.6012353378055749,0.24109861504557387,0.24774635757147664,0.6752263192343879,0.6887432778619512
logistic,Unweighted,5036,2689,0.5339555202541699,0.5824588267972393,0.5868846792362715,0.24509291148141094,0.6834273167021379,0.876534027519524,0.20707285896889646,0.5587956377430062,0.5941320293398533,0.5645353455123113,0.5418034432442103,0.5545409418333737,-0.0839753765113152,1.2132218822646255,-0.1303564369006082,Estimated,,,,,,
prevalence_only,Survey weighted,5036,2689,0.5463828346116878,0.47664141225536083,0.5324945534767592,0.2480954463142797,0.6893361603947805,1.0,0.0,0.5463828346116878,,0.5463828346116878,0.5,0.5464025427913923,-7.952627803987748e-05,,,Within-fold constant benchmark; pooled slope not interpretable,0.445288916694293,0.5061960348836784,0.24565043930832486,0.2505095583591393,0.6844299327646601,0.694180510530034
prevalence_only,Unweighted,5036,2689,0.5339555202541699,0.49997829215682954,0.5339309680052325,0.2490289090913358,0.6912061883613332,1.0,0.0,0.53395552025417,,0.5339555202541699,0.5,0.5463898778326319,-0.05006881538619307,,,Within-fold constant benchmark; pooled slope not interpretable,,,,,,
random_forest,Survey weighted,5036,2689,0.5463828346116878,0.5922480221277648,0.6329908095520442,0.24184305628658087,0.676507099311015,0.7468422577637693,0.3600461419759265,0.584317855728704,0.5414429802454918,0.5713849001368787,0.5534441998698479,0.5446093791004024,0.007361228699423513,0.926120309904146,0.020103974403348247,Estimated,0.5650750627116737,0.618364346398794,0.23740946493550144,0.24637742447783553,0.6673184757076976,0.6858123113387724
random_forest,Unweighted,5036,2689,0.5339555202541699,0.6122792237085143,0.634858679976996,0.2400001941371987,0.6727096866029809,0.8051320193380439,0.31785257775884107,0.5748805098247477,0.5874015748031496,0.5780381254964257,0.5614922985484425,0.5527617920389265,-0.07781870092994925,1.2294787701420946,-0.1256403796695156,Estimated,,,,,,
rf_base,Survey weighted,5036,2689,0.5463828346116878,0.600776526730866,0.6371683662584788,0.24069230782424433,0.674663314046384,0.6876537552320416,0.4202801667665973,0.5882672326285808,0.5276574706502352,0.5663685059326456,0.5539669609993194,0.5466869886163099,-0.0012804718774094986,0.822479769843451,0.029994450517649766,Estimated,0.573038540176896,0.6266947448716952,0.23565706382974178,0.24608791223010532,0.6640972993991463,0.6860023371498939
rf_base,Unweighted,5036,2689,0.5339555202541699,0.6221051917713649,0.6403164632814574,0.2386421501201293,0.6702645526503286,0.7504648568240981,0.39923306348530035,0.588681446907818,0.5827114427860697,0.5867752184273233,0.5748489601546992,0.5541236372762335,-0.08477222257533677,1.0104371642327734,-0.08696829425905825,Estimated,,,,,,
rf_no_water,Survey weighted,5036,2689,0.5463828346116878,0.5937958765605917,0.6420181058705541,0.24130038053273203,0.6752552672023635,0.7528939515738783,0.3420818535877855,0.5795460479548247,0.5347354967517999,0.5665425321782014,0.5474879025808319,0.5447371435967197,0.0068233377927179525,0.9918289674142455,0.008237767963276686,Estimated,0.5653543078121097,0.6210649523223436,0.23688370438308406,0.24588736288848112,0.665985475015769,0.68467388210153
rf_no_water,Unweighted,5036,2689,0.5339555202541699,0.6097359201265458,0.6363461711290769,0.240259492853339,0.6731873376990855,0.8110821866865006,0.30592245419684705,0.5724409448818898,0.5856443719412724,0.5756552819698173,0.5585023204416738,0.5531649226625612,-0.0794074343276172,1.2432161155503694,-0.13060652448404036,Estimated,,,,,,
spline_base,Survey weighted,5036,2689,0.5463828346116878,0.6182979586304783,0.6541145578963754,0.23798043604514954,0.668681134287822,0.7101989113880458,0.41454824518298394,0.5936867974145704,0.5428765045359476,0.5760866942389395,0.5623735782855148,0.5465834789849889,-0.0008540274787220724,0.8705023489101255,0.02225351059449985,Estimated,0.5941490990801745,0.6432170045013083,0.232835934289659,0.24311368126787844,0.6577623531673813,0.6795949439213106
spline_base,Unweighted,5036,2689,0.5339555202541699,0.6318719782325793,0.6503549904712744,0.2366462269740227,0.6659991831856129,0.7519523986612123,0.4196847038772902,0.5975177304964538,0.5962469733656174,0.5971008737092931,0.5858185512692513,0.5498728657114651,-0.06757546618337168,0.9834278805332998,-0.06429548619231552,Estimated,,,,,,
spline_extended,Survey weighted,5036,2689,0.5463828346116878,0.6104905903466691,0.6468499784967328,0.2392668842675557,0.6713129314882189,0.7614357760025207,0.3549885648498714,0.587103479192766,0.5526492875735689,0.5770643441994712,0.558212170426196,0.5457744816515437,0.002516372239882467,1.212637472096213,-0.035422436452470986,Estimated,0.5837724928720839,0.6371060867076628,0.23504016605882372,0.243877981293996,0.6625995049237666,0.6806748701412577
spline_extended,Unweighted,5036,2689,0.5339555202541699,0.6234612981638811,0.6384342513842167,0.23930127650292007,0.6714594844943238,0.8248419486798066,0.3042181508308479,0.5759542975850429,0.6025316455696202,0.5822081016679904,0.5645300497553273,0.5563896207832815,-0.09263626981928724,1.394407900195401,-0.18181101938179536,Estimated,,,,,,
spline_logistic,Survey weighted,5036,2689,0.5463828346116878,0.6055506351706725,0.6407101431281326,0.23993433249254253,0.6727143754849232,0.7586097775339109,0.3522327056602859,0.5851672551283796,0.5478062556298622,0.5742701621117947,0.5554212415970984,0.5457840478186642,0.0024755389330894245,1.1672356056788056,-0.027415753073739325,Estimated,0.579303426724771,0.6318202090841653,0.23573297961716533,0.24445917027505815,0.6640929193560495,0.6819568135554488
spline_logistic,Unweighted,5036,2689,0.5339555202541699,0.6166293487187543,0.6301074617684703,0.24018244319348228,0.6733048943262491,0.8289326887318706,0.29867916489135066,0.5752258064516129,0.6037898363479759,0.5818109610802225,0.5638059268116107,0.5565198651455702,-0.09312268460886042,1.3307180545188404,-0.16812301591537668,Estimated,,,,,,
spline_no_teeth,Survey weighted,5036,2689,0.5463828346116878,0.5900735626590511,0.6138329918859702,0.2419745556561525,0.6770307608946393,0.8007619550466624,0.3011903482514665,0.5798728924864359,0.5565509574112856,0.5741476988637412,0.5509761516490644,0.5457655166345141,0.0025385625876290117,1.1224600023315543,-0.019612465493880307,Estimated,0.5618254485751443,0.6173913005356246,0.2379645606058493,0.24620219844651797,0.6688324629183064,0.6856119169199488
spline_no_teeth,Unweighted,5036,2689,0.5339555202541699,0.5981589847574499,0.6081812620948575,0.2424184963719947,0.6779539663503126,0.8624023800669395,0.24627183638687689,0.5672700587084148,0.609704641350211,0.5752581413820492,0.5543371082269082,0.5549315083097164,-0.08604481381954834,1.321233980831527,-0.15709628123066469,Estimated,,,,,,
spline_no_water,Survey weighted,5036,2689,0.5463828346116878,0.608373140756287,0.644401180414784,0.23960829719521604,0.6720384438351605,0.7632648186977526,0.3563606104833453,0.5882008473194055,0.5555039948689019,0.5786860851829576,0.5598127145905489,0.5460597563405158,0.0013352099611062104,1.2087306182609796,-0.03621004288888093,Estimated,0.5815459802306404,0.6347839395527279,0.2354017037509224,0.24402169795504558,0.6634631245349336,0.6811459086707178
spline_no_water,Unweighted,5036,2689,0.5339555202541699,0.6169492621155516,0.6317578643276648,0.2402017818864182,0.6733340854552672,0.8319077724060989,0.2952705581593523,0.5749164739141609,0.6052401746724891,0.5818109610802225,0.5635891652827256,0.5568046972905344,-0.09427568877781799,1.341914704062822,-0.1722311097261248,Estimated,,,,,,
svm,Survey weighted,5036,2689,0.5463828346116878,0.5402300466517045,0.5842652953595435,0.24751402872630168,0.6881708582134688,0.7646853244372928,0.2782334961223083,0.5606570346736164,0.4953678109879772,0.5440224249790877,0.5214594102798005,0.5412331963220793,0.021095591970825982,0.5425621892108153,0.09600012698839541,Estimated,0.5097932943651323,0.5680122400768446,0.24376482466290025,0.25119546057676634,0.6805281571987559,0.6957478521001459
