model,fold,auc,brier,log_loss,n_train,n_test,test_weight_sum,selected_params,weighted_training,elapsed_seconds
logistic,1,0.5762210700447805,0.24795296484896753,0.689038197694359,4030,1006,2861322.5562906265,"{""C"": 0.001}",True,0.39082849999977043
logistic,2,0.6162798894010243,0.24112443972146874,0.6751631938088838,4029,1007,2574325.41285038,"{""C"": 0.001}",True,0.3858241249999992
logistic,3,0.5966049101607092,0.24390347295819587,0.6809607802571221,4025,1011,2776332.157348156,"{""C"": 0.001}",True,0.3943177500004822
logistic,4,0.5626380497616587,0.24369476037149768,0.6808343850735087,4029,1007,2777806.4952178,"{""C"": 0.001}",True,0.4109112919995823
logistic,5,0.5514444658334676,0.24476090112587937,0.6826199527406916,4031,1005,2807410.1710247993,"{""C"": 0.001}",True,0.40669858300134365
spline_logistic,1,0.6205960702275236,0.24141534299308937,0.6757709128786711,4030,1006,2861322.5562906265,"{""C"": 0.001}",True,1.3876785000011296
spline_logistic,2,0.635696897952244,0.2362186219639675,0.6649555181025104,4029,1007,2574325.41285038,"{""C"": 0.001}",True,1.3519012500000827
spline_logistic,3,0.6090457593794654,0.2403688910262898,0.6734414891649934,4025,1011,2776332.157348156,"{""C"": 0.001}",True,1.3809971249993396
spline_logistic,4,0.6178507572123344,0.23770121042987596,0.6686229261919907,4029,1007,2777806.4952178,"{""C"": 0.001}",True,1.321520583000165
spline_logistic,5,0.5665843339173744,0.2436119217292505,0.6800430622177831,4031,1005,2807410.1710247993,"{""C"": 0.001}",True,1.314374958001281
random_forest,1,0.6165872766450629,0.24229568495173714,0.6771452165846961,4030,1006,2861322.5562906265,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,8.91083529199932
random_forest,2,0.6011690856306762,0.24236889413127416,0.6780552994232482,4029,1007,2574325.41285038,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",True,8.924616625001363
random_forest,3,0.5980751280571369,0.24154148883576482,0.6756018945194434,4025,1011,2776332.157348156,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",True,8.946500707999803
random_forest,4,0.5982674213417851,0.2393377833876425,0.6714357506212577,4029,1007,2777806.4952178,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",True,8.908623291001277
random_forest,5,0.5655162309123893,0.24367663958678232,0.6803501231666874,4031,1005,2807410.1710247993,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,8.879926499999783
hist_gradient_boosting,1,0.6051035896037067,0.24292956656472742,0.6780779210442904,4030,1006,2861322.5562906265,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 3}",True,4.694238209000105
hist_gradient_boosting,2,0.5646332140392325,0.25161640006103936,0.6997313691483672,4029,1007,2574325.41285038,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 3}",True,4.771794999998747
hist_gradient_boosting,3,0.6128757767259633,0.23887856868827378,0.6700365795727412,4025,1011,2776332.157348156,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,4.702243208999789
hist_gradient_boosting,4,0.5975682261612747,0.24062533264257774,0.673905272637634,4029,1007,2777806.4952178,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,4.7218185830006405
hist_gradient_boosting,5,0.5628380487240365,0.24744207321570794,0.6884287040139594,4031,1005,2807410.1710247993,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,4.670892500000264
svm,1,0.5460767550437441,0.24947453991600807,0.6920271992876499,4030,1006,2861322.5562906265,"{""C"": 1.0}",True,9.337469000000056
svm,2,0.5697502761355143,0.24503509137792273,0.6831749020577786,4029,1007,2574325.41285038,"{""C"": 10.0}",True,9.453468125000654
svm,3,0.5117642033488058,0.24952106811584288,0.692167325170017,4025,1011,2776332.157348156,"{""C"": 10.0}",True,9.404525708998335
svm,4,0.5721298275542721,0.24324598583913318,0.6795017659789973,4029,1007,2777806.4952178,"{""C"": 0.1}",True,9.398210667000967
svm,5,0.5290490589305791,0.25002720825818703,0.6934470812374387,4031,1005,2807410.1710247993,"{""C"": 0.1}",True,9.330286500000511
decision_tree,1,0.5686765305728034,0.24830887797149134,0.6911881828815213,4030,1006,2861322.5562906265,"{""max_depth"": 2, ""min_samples_leaf"": 50}",True,0.7526212920001853
decision_tree,2,0.5708508738382395,0.24255779962659732,0.678013534698785,4029,1007,2574325.41285038,"{""max_depth"": 1, ""min_samples_leaf"": 20}",True,0.7504243749990565
decision_tree,3,0.541485577509503,0.24824526667178964,0.6896953819067428,4025,1011,2776332.157348156,"{""max_depth"": 1, ""min_samples_leaf"": 20}",True,0.7543241670009593
decision_tree,4,0.550639421754902,0.24338673661086027,0.6796553196884341,4029,1007,2777806.4952178,"{""max_depth"": 1, ""min_samples_leaf"": 20}",True,0.7568462910003291
decision_tree,5,0.5104452385992754,0.2502939905394646,0.6939400352869375,4031,1005,2807410.1710247993,"{""max_depth"": 1, ""min_samples_leaf"": 20}",True,0.7577502089989139
knn,1,0.5994955974071662,0.24411002855931915,0.6813112091838539,4030,1006,2861322.5562906265,"{""n_neighbors"": 300}",False,0.5378234580002754
knn,2,0.646341522171743,0.23683574197653126,0.666378440428154,4029,1007,2574325.41285038,"{""n_neighbors"": 300}",False,0.5415220410013717
knn,3,0.5965163804638247,0.2412041370382249,0.6752106512225078,4025,1011,2776332.157348156,"{""n_neighbors"": 150}",False,0.5222491669992451
knn,4,0.6061074810690272,0.23788513429637226,0.6683986864909334,4029,1007,2777806.4952178,"{""n_neighbors"": 150}",False,0.5223556660002941
knn,5,0.5550938759065611,0.24481892627555743,0.6827836847779918,4031,1005,2807410.1710247993,"{""n_neighbors"": 150}",False,0.5222263329997077
spline_base,1,0.6566235030425198,0.2350670503642331,0.6619936794629161,4030,1006,2861322.5562906265,"{""C"": 0.01}",True,0.2833518749994255
spline_base,2,0.620041138964642,0.2399954428188701,0.6749971500487046,4029,1007,2574325.41285038,"{""C"": 0.1}",True,0.2788888750001206
spline_base,3,0.6176744212629683,0.23892356230957099,0.670008306389289,4025,1011,2776332.157348156,"{""C"": 0.1}",True,0.28192241699980514
spline_base,4,0.6332840719792749,0.23297948671362134,0.6578636882405215,4029,1007,2777806.4952178,"{""C"": 0.01}",True,0.2696814170012658
spline_base,5,0.5851756125605788,0.24311758733397695,0.679096280269509,4031,1005,2807410.1710247993,"{""C"": 0.01}",True,0.2711119579998922
spline_no_water,1,0.6269999439241719,0.24057584481735772,0.6740338191505985,4030,1006,2861322.5562906265,"{""C"": 0.001}",True,0.45028233300035936
spline_no_water,2,0.6402604196894864,0.2356185014693421,0.6637181695897785,4029,1007,2574325.41285038,"{""C"": 0.001}",True,0.4512433339987183
spline_no_water,3,0.6086685486800303,0.2404719304369898,0.6736576958435688,4025,1011,2776332.157348156,"{""C"": 0.001}",True,0.45245941699977266
spline_no_water,4,0.6162491283584879,0.2378282174527486,0.6688745528016631,4029,1007,2777806.4952178,"{""C"": 0.001}",True,0.44906150000133493
spline_no_water,5,0.5697716205644907,0.24318794904899266,0.6791634364283725,4031,1005,2807410.1710247993,"{""C"": 0.001}",True,0.4472628330004227
rf_no_water,1,0.6085182775211524,0.24352139236916617,0.6796563867187961,4030,1006,2861322.5562906265,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,5.447317792000831
rf_no_water,2,0.6094528209025636,0.2396854595236768,0.6718288108093928,4029,1007,2574325.41285038,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",True,5.388603958999738
rf_no_water,3,0.5952122628587371,0.2418980610871062,0.6763645726160491,4025,1011,2776332.157348156,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",True,5.397084624999479
rf_no_water,4,0.6029803521068061,0.23848585374765616,0.6696602801608803,4029,1007,2777806.4952178,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",True,5.333272833999217
rf_no_water,5,0.5694733727308092,0.24271134356566534,0.6783505691874424,4031,1005,2807410.1710247993,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",True,5.33685370800049
rf_base,1,0.6385636688446594,0.23757384231565903,0.6671180866224959,4030,1006,2861322.5562906265,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,4.047586541000783
rf_base,2,0.5595959933662343,0.25263422736693497,0.7025859826817582,4029,1007,2574325.41285038,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",True,4.104131083999164
rf_base,3,0.6198987910650542,0.23771845624488677,0.667846869329267,4025,1011,2776332.157348156,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,4.088376042000164
rf_base,4,0.6266618112813009,0.23505822736829177,0.6623652712691173,4029,1007,2777806.4952178,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,4.089753917000053
rf_base,5,0.5868036486249734,0.24143581649333215,0.6756583919151539,4031,1005,2807410.1710247993,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,3.928715166999609
spline_extended,1,0.62240861109066,0.24121598689437498,0.6753786924973131,4030,1006,2861322.5562906265,"{""C"": 0.001}",True,0.5024699999994482
spline_extended,2,0.6387858227761732,0.23553461285518904,0.663485210165503,4029,1007,2574325.41285038,"{""C"": 0.001}",True,0.5068274590012152
spline_extended,3,0.6173056210542627,0.23928402684123104,0.6712066145327935,4025,1011,2776332.157348156,"{""C"": 0.001}",True,0.5024624159996165
spline_extended,4,0.6230794359715108,0.23682113510504035,0.6667944031672234,4029,1007,2777806.4952178,"{""C"": 0.001}",True,0.5013100420001138
spline_extended,5,0.5685948291821801,0.24310575839284507,0.6789229405148931,4031,1005,2807410.1710247993,"{""C"": 0.001}",True,0.4944898749999993
spline_no_teeth,1,0.6034761084197735,0.24407273670958898,0.6813955043023612,4030,1006,2861322.5562906265,"{""C"": 0.001}",True,0.45757291699919733
spline_no_teeth,2,0.6316474899219798,0.23799167613974828,0.6687148062615774,4029,1007,2574325.41285038,"{""C"": 0.001}",True,0.4522858330001327
spline_no_teeth,3,0.5944086367326946,0.2424471925533837,0.6778994194232558,4025,1011,2776332.157348156,"{""C"": 0.001}",True,0.45718850000048405
spline_no_teeth,4,0.6045153102863489,0.23943275159827285,0.6722179301832856,4029,1007,2777806.4952178,"{""C"": 0.001}",True,0.44886145899909025
spline_no_teeth,5,0.540211261285359,0.24553587992868942,0.6841107603146891,4031,1005,2807410.1710247993,"{""C"": 0.001}",True,0.45222370800001954
