model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic,1,age,1,0.006443214649070467,0.05103224452922561,1006,2861322.5562906265
spline_logistic,1,age,2,0.008359750245233805,0.048680332320514164,1006,2861322.5562906265
spline_logistic,1,age,3,0.006650646611327277,0.04179260996418621,1006,2861322.5562906265
spline_logistic,1,age,4,0.007853496293261486,0.05294509112424206,1006,2861322.5562906265
spline_logistic,1,age,5,0.007722178702857241,0.053306960478672116,1006,2861322.5562906265
spline_logistic,1,sex,1,0.0005840341046255693,0.005082595947444313,1006,2861322.5562906265
spline_logistic,1,sex,2,0.0005637660597978822,0.005623694981094163,1006,2861322.5562906265
spline_logistic,1,sex,3,0.0004932102408843897,0.006884004989659243,1006,2861322.5562906265
spline_logistic,1,sex,4,0.0005139342894866783,0.003810400868155983,1006,2861322.5562906265
spline_logistic,1,sex,5,0.0009603009842289179,0.009133451136240534,1006,2861322.5562906265
spline_logistic,1,region,1,0.0005630539016550362,0.00607359906396121,1006,2861322.5562906265
spline_logistic,1,region,2,0.000179265497334824,0.0025667496762166175,1006,2861322.5562906265
spline_logistic,1,region,3,0.0004393516464397673,0.004130812831112385,1006,2861322.5562906265
spline_logistic,1,region,4,0.00030918597750689836,0.0017301354909191602,1006,2861322.5562906265
spline_logistic,1,region,5,0.00043856779620499164,0.0045768026311373555,1006,2861322.5562906265
spline_logistic,1,rural,1,3.306846095232907e-05,-0.0002741665397471005,1006,2861322.5562906265
spline_logistic,1,rural,2,-0.00011454405794117384,-0.0003932336264558245,1006,2861322.5562906265
spline_logistic,1,rural,3,-0.00012269117580798738,-0.0011397596646773867,1006,2861322.5562906265
spline_logistic,1,rural,4,-0.00031442967679790046,-0.0019705332989191637,1006,2861322.5562906265
spline_logistic,1,rural,5,-0.00013083612366512898,-0.000642512440291565,1006,2861322.5562906265
spline_logistic,1,education,1,0.00020270698179863933,0.0004567717420475015,1006,2861322.5562906265
spline_logistic,1,education,2,4.27911408324988e-05,-0.0006762112370517492,1006,2861322.5562906265
spline_logistic,1,education,3,0.0007474879206489649,0.005573800815893981,1006,2861322.5562906265
spline_logistic,1,education,4,0.0009453327693393909,0.005210451395168514,1006,2861322.5562906265
spline_logistic,1,education,5,7.138128304648439e-05,-1.0906451602621381e-05,1006,2861322.5562906265
spline_logistic,1,indigenous,1,-5.850010851043974e-05,-0.0008207831130968568,1006,2861322.5562906265
spline_logistic,1,indigenous,2,-5.2634865452039215e-05,-0.00010819503511727557,1006,2861322.5562906265
spline_logistic,1,indigenous,3,-3.0402047658806275e-05,-0.00013240370143496882,1006,2861322.5562906265
spline_logistic,1,indigenous,4,7.454334646531113e-05,0.0008957770753906802,1006,2861322.5562906265
spline_logistic,1,indigenous,5,-2.1464287883188327e-07,-0.0002589803233221666,1006,2861322.5562906265
spline_logistic,1,born_chile,1,-5.353217651843378e-05,-0.00031675269933861827,1006,2861322.5562906265
spline_logistic,1,born_chile,2,-7.971924882677062e-05,-0.0007972029698847249,1006,2861322.5562906265
spline_logistic,1,born_chile,3,-0.00010973120305551864,-0.0009032514865257024,1006,2861322.5562906265
spline_logistic,1,born_chile,4,-9.251580590280417e-05,-0.0008915499472872401,1006,2861322.5562906265
spline_logistic,1,born_chile,5,-0.00011691839102770385,-0.0007520071935031014,1006,2861322.5562906265
spline_logistic,1,teeth_remaining,1,0.006006557185520872,0.04788191810028175,1006,2861322.5562906265
spline_logistic,1,teeth_remaining,2,0.0031829824626008474,0.019068593988980864,1006,2861322.5562906265
spline_logistic,1,teeth_remaining,3,0.004690074741213884,0.025326254517876623,1006,2861322.5562906265
spline_logistic,1,teeth_remaining,4,0.006266259370107746,0.04184074479382782,1006,2861322.5562906265
spline_logistic,1,teeth_remaining,5,0.009055918672079444,0.07116055590090242,1006,2861322.5562906265
spline_logistic,1,fish,1,-0.00010335095167174346,-0.0004347111999538633,1006,2861322.5562906265
spline_logistic,1,fish,2,-2.8628337382680114e-05,0.0005946500735999338,1006,2861322.5562906265
spline_logistic,1,fish,3,-9.992117991694527e-05,-0.0006291778550434612,1006,2861322.5562906265
spline_logistic,1,fish,4,-0.00023162408514487698,-0.0026466140431976592,1006,2861322.5562906265
spline_logistic,1,fish,5,-6.0119647230655326e-05,-0.0007079549355692993,1006,2861322.5562906265
spline_logistic,1,dairy_frequency,1,0.000290152092367324,0.001309463127229571,1006,2861322.5562906265
spline_logistic,1,dairy_frequency,2,0.00010455649252674726,-0.0005368350903632857,1006,2861322.5562906265
spline_logistic,1,dairy_frequency,3,0.00038451715741077974,0.002159436853272023,1006,2861322.5562906265
spline_logistic,1,dairy_frequency,4,0.00047561367920911923,0.004184978918296722,1006,2861322.5562906265
spline_logistic,1,dairy_frequency,5,-0.00013496376499849694,-0.0031011162571860096,1006,2861322.5562906265
spline_logistic,1,dairy_type,1,-0.0008136227521592099,-0.005865340227165339,1006,2861322.5562906265
spline_logistic,1,dairy_type,2,-0.00046223678843065885,-0.003922717350603011,1006,2861322.5562906265
spline_logistic,1,dairy_type,3,0.0002502377558034896,0.0006566454520504639,1006,2861322.5562906265
