variable,n,missing,percent_missing
age,5036,0,0.0
sex,5036,0,0.0
region,5036,0,0.0
rural,5036,0,0.0
education,5036,38,0.7545671167593329
indigenous,5036,0,0.0
born_chile,5036,0,0.0
teeth_remaining,5036,0,0.0
fish,5036,0,0.0
dairy_frequency,5036,0,0.0
dairy_type,5036,0,0.0
wholegrain,5036,0,0.0
legumes,5036,0,0.0
fruit_days,5036,0,0.0
fruit_portions,5036,0,0.0
vegetable_days,5036,0,0.0
vegetable_portions,5036,0,0.0
label_ingredients,5036,0,0.0
label_nutrition,5036,0,0.0
label_warnings,5036,0,0.0
label_health,5036,0,0.0
label_brand,5036,0,0.0
label_discounts,5036,0,0.0
water,5036,4,0.07942811755361398
soda_frequency,5036,0,0.0
juice_frequency,5036,0,0.0
oil,5036,0,0.0
household_water_source,5036,6,0.11914217633042098
rural_water_consumption,5036,1,0.019857029388403495
dental_visit,5036,0,0.0
