model,variable,level,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status
logistic,sex,Female,3125,1579,0.5080101397128755,0.5372722701431596,0.5266043415450447,0.25035227072626093,0.6940940878709964,0.7523683440039318,0.3027252621347633,0.526996175782608,0.5421100079291339,0.5311485069760475,0.5275468030693475,0.5305186968987008,-0.09103243841030671,0.49289103764728975,-0.028809295708704413,Estimated
logistic,sex,Male,1911,1110,0.5843928095576381,0.5964958167365753,0.6570925065829462,0.23841879723581438,0.6697541630110302,0.9046749945263171,0.12541244120084574,0.5925835895765876,0.4833768428972152,0.5808078741217767,0.5150437178635814,0.5610715648366744,0.09627031064088365,1.5584862718967951,-0.03699820691502478,Estimated
logistic,age_group,15–24,729,280,0.40858932174513063,0.5571803283375361,0.450154694498341,0.2509212580669965,0.6951636206423826,0.712007707449812,0.36744837285616505,0.4374609228226121,0.6487272145952119,0.5082316376787368,0.5397280401529885,0.5152944230692991,-0.4336138899974058,1.2084762883180715,-0.4473968333361476,Estimated
logistic,age_group,25–44,1569,828,0.5706988102525066,0.5641320240148082,0.6432315986320073,0.24384062109179305,0.6806700511792373,0.7436453641340917,0.2976151082217982,0.5846241948154325,0.4661858028252483,0.5521640446075651,0.5206302361779449,0.5289642527116897,0.17005994397719373,1.2674963723938475,0.14025814200723777,Estimated
logistic,age_group,45–64,1759,1034,0.5956123883526976,0.5522231135538207,0.6321517307828429,0.24059660324455076,0.6743613369791778,0.945957128932042,0.0571628012200263,0.5964078414995178,0.4179753042500133,0.5865397135029102,0.5015599650760342,0.5688577886342567,0.11087634629012784,0.739127922852122,0.18230567507483816,Estimated
logistic,age_group,65+,979,547,0.572307948438002,0.5362907773106274,0.5903930700694178,0.2449555657762264,0.6833132145149927,1.0,0.0,0.572307948438002,,0.572307948438002,0.5,0.6011018526363953,-0.11967703271155039,0.6386040801926223,0.02826845716423327,Estimated
logistic,education,High,1179,525,0.4824216379512012,0.5171508908020237,0.5070187284395244,0.2512182080974097,0.6957113265433609,0.615562655960514,0.398076963912312,0.48801847128248027,0.5262775119050419,0.5029967677011562,0.506819809936413,0.513615943378585,-0.12571193698872443,0.3292609777161812,-0.08851378625929224,Estimated
logistic,education,Intermediate,2811,1536,0.5647732498189988,0.5844331945360349,0.633858959608383,0.24191918741385537,0.6769382249654315,0.893425444725511,0.1558124776921395,0.5786527885598223,0.5297775362308252,0.5723965501922106,0.5246189612088252,0.5504498707664129,0.05855040361699203,1.5155060962524665,-0.043560258180594745,Estimated
logistic,education,Low,1008,606,0.6019000500203198,0.5151180772699977,0.6095053082883932,0.24067607292772453,0.6744759080593371,0.9655988725681566,0.04193984857742021,0.6037766398502653,0.44639648410735133,0.5978902613191642,0.5037693605727884,0.5929507669468719,0.037556839563395575,0.2761997054671738,0.30879811437943294,Estimated
logistic,rural,Rural,760,431,0.5786100342788364,0.6033512830057343,0.6554602360181839,0.23789757118741842,0.6686088261894797,0.9357321785296268,0.10397594915481453,0.5891450272786085,0.5409159274033567,0.5852384495450104,0.5198540638422207,0.5701710282278881,0.03487505658018153,1.7332616533050555,-0.1678383075046454,Estimated
logistic,rural,Urban,4276,2258,0.5425478430641759,0.5698593139978215,0.5965793922155742,0.24512588633621166,0.6834439584836167,0.8213216988272964,0.23395208276237867,0.55978119945289,0.5247111917954839,0.5526282010398329,0.5276368907948376,0.5429756093720786,-0.001741573141708176,1.088422568449711,-0.01675545439257039,Estimated
spline_logistic,sex,Female,3125,1579,0.5080101397128755,0.5724456729632891,0.5614794257564686,0.24644373433520422,0.6861091158169508,0.703700866624732,0.37474245298180664,0.5374877735648104,0.5505334217286681,0.5418566626562751,0.5392216598032693,0.531940518373303,-0.09809757635044018,0.8534514888244368,-0.07901793527999644,Estimated
spline_logistic,sex,Male,1911,1110,0.5843928095576381,0.6279651625429684,0.695679349569035,0.23348646111928767,0.6594462496529885,0.8058906660773655,0.3258378675764655,0.6269864688600851,0.5441709329733565,0.6063772712284132,0.5658642668269155,0.5594967205608123,0.1042424872904696,1.370804867458262,0.020686089891193415,Estimated
spline_logistic,age_group,15–24,729,280,0.40858932174513063,0.5562403158693771,0.4563507094707202,0.24150562233158485,0.6760731278769433,0.18572064608380467,0.8528642419248615,0.46582532738502913,0.6025489206037729,0.5802764925935565,0.5192924440043332,0.4534147036914604,-0.18470583119193992,0.95607931003801,-0.19270911975889404,Estimated
spline_logistic,age_group,25–44,1569,828,0.5706988102525066,0.5750272421484777,0.6583005685420462,0.24197075960407674,0.6767081063243919,0.7375747197318574,0.31463782910044796,0.5885859480677537,0.4742111517385113,0.5560074093956878,0.5261062744161527,0.5386810665532135,0.13180100546574877,1.0266953437400776,0.12786794202045157,Estimated
spline_logistic,age_group,45–64,1759,1034,0.5956123883526976,0.5872218996274722,0.670134002254479,0.23633352041158184,0.66544447775484,0.968553629706826,0.03479871274672679,0.5964472116476293,0.4290031537696608,0.5909547089734062,0.5016761712267764,0.6012239724010437,-0.02363246267673013,1.2906077779047294,-0.14115427451846593,Estimated
