model,fold,auc,brier,log_loss,n_train,n_test,test_weight_sum,selected_params,weighted_training,elapsed_seconds,unseen_nonmissing_water_categories_n,base_model,encoding,encoding_label
random_forest,1,0.6165872766450629,0.24229568495173714,0.6771452165846961,4030,1006,2861322.5562906265,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,8.91083529199932,0,random_forest,physical,Reported glasses/day
random_forest,2,0.6011690856306762,0.24236889413127416,0.6780552994232482,4029,1007,2574325.41285038,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",True,8.924616625001363,0,random_forest,physical,Reported glasses/day
random_forest,3,0.5980751280571369,0.24154148883576482,0.6756018945194434,4025,1011,2776332.157348156,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",True,8.946500707999803,0,random_forest,physical,Reported glasses/day
random_forest,4,0.5982674213417851,0.2393377833876425,0.6714357506212577,4029,1007,2777806.4952178,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",True,8.908623291001277,0,random_forest,physical,Reported glasses/day
random_forest,5,0.5655162309123893,0.24367663958678232,0.6803501231666874,4031,1005,2807410.1710247993,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,8.879926499999783,0,random_forest,physical,Reported glasses/day
spline_logistic,1,0.6205960702275236,0.24141534299308937,0.6757709128786711,4030,1006,2861322.5562906265,"{""C"": 0.001}",True,1.3876785000011296,0,spline_logistic,physical,Reported glasses/day
spline_logistic,2,0.635696897952244,0.2362186219639675,0.6649555181025104,4029,1007,2574325.41285038,"{""C"": 0.001}",True,1.3519012500000827,0,spline_logistic,physical,Reported glasses/day
spline_logistic,3,0.6090457593794654,0.2403688910262898,0.6734414891649934,4025,1011,2776332.157348156,"{""C"": 0.001}",True,1.3809971249993396,0,spline_logistic,physical,Reported glasses/day
spline_logistic,4,0.6178507572123344,0.23770121042987596,0.6686229261919907,4029,1007,2777806.4952178,"{""C"": 0.001}",True,1.321520583000165,0,spline_logistic,physical,Reported glasses/day
spline_logistic,5,0.5665843339173744,0.2436119217292505,0.6800430622177831,4031,1005,2807410.1710247993,"{""C"": 0.001}",True,1.314374958001281,0,spline_logistic,physical,Reported glasses/day
random_forest_water_index,1,0.6165872766450629,0.24229568495173714,0.6771452165846961,4030,1006,2861322.5562906265,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,0.35605287500220584,0,random_forest,index,Historical factor index
random_forest_water_index,2,0.6011690856306762,0.24236889413127416,0.6780552994232482,4029,1007,2574325.41285038,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",True,0.3635099999992235,0,random_forest,index,Historical factor index
random_forest_water_index,3,0.5980751280571369,0.24154148883576482,0.6756018945194434,4025,1011,2776332.157348156,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",True,0.46785525000086636,0,random_forest,index,Historical factor index
random_forest_water_index,4,0.5982674213417851,0.23933778338764244,0.6714357506212577,4029,1007,2777806.4952178,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",True,0.3388809169991873,0,random_forest,index,Historical factor index
random_forest_water_index,5,0.5655162309123893,0.24367663958678232,0.6803501231666874,4031,1005,2807410.1710247993,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,0.363029167001514,0,random_forest,index,Historical factor index
random_forest_water_nominal,1,0.6090619441334291,0.24335455604208778,0.6794141816265307,4030,1006,2861322.5562906265,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,0.3268439580024278,1,random_forest,nominal,Nominal water categories
random_forest_water_nominal,2,0.5990358103734742,0.24208433837894375,0.6770247783836634,4029,1007,2574325.41285038,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",True,0.3557199169990781,2,random_forest,nominal,Nominal water categories
random_forest_water_nominal,3,0.5995465214559208,0.2414485592083574,0.6754498870334945,4025,1011,2776332.157348156,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",True,0.47927020900169737,0,random_forest,nominal,Nominal water categories
random_forest_water_nominal,4,0.5969693307527016,0.23923053267018382,0.6712070521326507,4029,1007,2777806.4952178,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",True,0.35752320800020243,2,random_forest,nominal,Nominal water categories
random_forest_water_nominal,5,0.5648439803597933,0.24346191369449766,0.6798600781816225,4031,1005,2807410.1710247993,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",True,0.3467131249999511,0,random_forest,nominal,Nominal water categories
spline_logistic_water_index,1,0.6190168511758898,0.24155699970513722,0.6760651625109985,4030,1006,2861322.5562906265,"{""C"": 0.001}",True,0.06539066599725629,0,spline_logistic,index,Historical factor index
spline_logistic_water_index,2,0.6345267747878893,0.236419270811654,0.6653747280561076,4029,1007,2574325.41285038,"{""C"": 0.001}",True,0.06395241700010956,0,spline_logistic,index,Historical factor index
spline_logistic_water_index,3,0.6090570560270163,0.24037000035007677,0.6734454415366673,4025,1011,2776332.157348156,"{""C"": 0.001}",True,0.06357654100065702,0,spline_logistic,index,Historical factor index
spline_logistic_water_index,4,0.6183749276636626,0.23766657243509742,0.6685540539653506,4029,1007,2777806.4952178,"{""C"": 0.001}",True,0.0636770000019169,0,spline_logistic,index,Historical factor index
spline_logistic_water_index,5,0.5660848369268806,0.2436492534147519,0.6801203902197503,4031,1005,2807410.1710247993,"{""C"": 0.001}",True,0.062294458999531344,0,spline_logistic,index,Historical factor index
spline_logistic_water_nominal,1,0.6265110769346836,0.24063791389316821,0.6741689649505361,4030,1006,2861322.5562906265,"{""C"": 0.001}",True,0.06837712500055204,1,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,2,0.6367488539326529,0.23608795562310242,0.664675896641105,4029,1007,2574325.41285038,"{""C"": 0.001}",True,0.06492466700001387,2,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,3,0.6090207927467501,0.24051044184888756,0.673739337271421,4025,1011,2776332.157348156,"{""C"": 0.001}",True,0.06705820799834328,0,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,4,0.6167832196664996,0.2378346152595025,0.6688905203850282,4029,1007,2777806.4952178,"{""C"": 0.001}",True,0.06360670800131629,2,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,5,0.5692458579227427,0.24335614083023277,0.6794963458162889,4031,1005,2807410.1710247993,"{""C"": 0.001}",True,0.06700283299869625,0,spline_logistic,nominal,Nominal water categories
